match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_keyPass,stat_aerialLost,stat_wasFouled,stat_challengeLost,stat_dispossessed,stat_bigChanceCreated,stat_unsuccessfulTouch,player_sofascoreId,captain,stat_bigChanceMissed,player_firstName,player_lastName,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_expectedGoalsOnTarget,stat_punches,stat_outfielderBlock,stat_errorLeadToAShot,stat_hitWoodwork
13473365,home,Bahia,Ronaldo,ronaldo,Ronaldo,G,96,193,1025,M,840106,EUR,840672000,G,96,96,False,23.0,18.0,7.0,3.0,0.0,17.0,19.0,1.0,4.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,90.0,32.0,7.1,5.0,0.00016601,0,0.1573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13473365,home,Bahia,Gilberto,gilberto,Gilberto,D,2,181,1500,M,261687,EUR,731462400,D,2,2,False,43.0,39.0,3.0,1.0,0.0,18.0,20.0,21.0,23.0,1.0,6.0,,,,,,76.0,58.0,7.2,6.0,0.204879,2,,2.0,1.0,1.0,3.0,5.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,0.1164,2.0,,,,,,,,,,,,,,,,,,,
13473365,home,Bahia,Kanu,kanu,Kanu,D,4,186,926,M,871705,EUR,857692800,D,4,4,False,12.0,12.0,1.0,1.0,0.0,12.0,12.0,,,1.0,,,,,,,13.0,15.0,6.7,,3.482e-05,0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
13473365,home,Bahia,Santiago Ramos Mingo,ramos-mingo-santiago,S. R. Mingo,D,21,185,2035,M,989843,EUR,1006300800,D,21,21,False,64.0,55.0,3.0,,0.0,29.0,32.0,26.0,32.0,2.0,5.0,,,,,,90.0,68.0,6.5,9.0,0.110653,0,,1.0,1.0,2.0,5.0,3.0,,,,,,,,,,,5.0,1.0,,,,,,,,,,,,,,,,,
13473365,home,Bahia,Luciano Juba,luciano-juba,L. Juba,D,46,176,3659,M,1017264,EUR,935884800,D,46,46,False,66.0,60.0,7.0,4.0,1.0,19.0,19.0,41.0,47.0,1.0,2.0,,,,,,90.0,90.0,7.4,21.0,0.478472,2,,12.0,1.0,2.0,5.0,4.0,3.0,2.0,,2.0,,,,2.0,0.06,1.0,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,
13473365,home,Bahia,Everton Ribeiro,everton-ribeiro,E. Ribeiro,M,10,174,5845,M,145063,EUR,608169600,M,10,10,False,39.0,35.0,1.0,1.0,0.0,8.0,9.0,27.0,30.0,,3.0,,,,,,66.0,46.0,7.2,9.0,0.213801,0,,3.0,1.0,,4.0,1.0,1.0,,,,,1.0,1.0,2.0,,2.0,1.0,,,,1.0,,evertonri,True,,,,,,,,,,,
13473365,home,Bahia,Caio Alexandre,caio-alexandre,C. Alexandre,M,19,174,1777,M,1008832,EUR,919814400,M,19,19,False,54.0,49.0,1.0,1.0,0.0,20.0,23.0,29.0,31.0,,10.0,,,,,,76.0,69.0,6.8,10.0,0.0228518,1,,1.0,1.0,1.0,8.0,4.0,,,1.0,,3.0,3.0,,2.0,0.0581,,2.0,,3.0,1.0,,3.0,,,,,,,,,,,,,
13473365,home,Bahia,Jean Lucas,jean-lucas,J. Lucas,M,6,181,3752,M,927975,EUR,898473600,M,6,6,False,35.0,31.0,3.0,3.0,0.0,11.0,11.0,20.0,24.0,,5.0,,,,,,90.0,55.0,7.1,9.0,0.0239939,3,,,,1.0,6.0,5.0,,,1.0,2.0,2.0,2.0,,1.0,0.0923,,2.0,2.0,,3.0,,1.0,,,,,,,,,,,,,
13473365,home,Bahia,Ademir,ademir,Ademir,F,7,172,1700,M,922546,EUR,792892800,F,7,7,False,19.0,16.0,,,0.0,4.0,5.0,12.0,14.0,,3.0,,,,,,75.0,37.0,6.3,13.0,0.048681,1,,4.0,,,6.0,5.0,4.0,2.0,1.0,,1.0,,,1.0,0.427,,1.0,3.0,1.0,1.0,,1.0,,,1.0,,,,,,,,,,
13473365,home,Bahia,Willian José,willian-jose,W. José,F,12,189,3025,M,123223,EUR,690854400,F,12,12,False,14.0,11.0,,,0.0,3.0,4.0,8.0,10.0,2.0,3.0,,,,,,90.0,25.0,6.6,5.0,0.115122,1,,,,2.0,9.0,3.0,1.0,1.0,1.0,,1.0,,,,0.3067,3.0,7.0,,,2.0,,,,,1.0,,,,,,,,,,
