match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_ballRecovery,stat_errorLeadToAShot,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_keyPass,stat_totalShots,stat_goalsPrevented,captain,stat_totalCross,stat_aerialLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialWon,stat_outfielderBlock,stat_onTargetScoringAttempt,stat_goalAssist,stat_accurateCross,stat_bigChanceCreated,stat_bigChanceMissed,stat_shotOffTarget,stat_blockedScoringAttempt,player_firstName,player_lastName,stat_goals,player_sofascoreId,stat_totalOffside,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
10408263,home,Getafe,David Soria,david-soria,D. Soria,G,13,192.0,676,M,604258,EUR,733881600,G,13,13,False,26.0,13.0,25.0,12.0,2.0,3.0,11.0,23.0,1.0,1.0,5.0,1.0,1.0,3.0,3.0,90.0,32.0,6.6,13.0,0.0,0.0,0.0306445,1.0,0,0.4596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408263,home,Getafe,Djené,djene,Djené,D,2,178.0,2527,M,307702,EUR,694137600,D,2,2,False,29.0,23.0,3.0,,6.0,7.0,17.0,24.0,6.0,1.0,6.0,,,,,90.0,56.0,6.7,13.0,0.0,0.0,0.0125315,,0,,True,2.0,1.0,6.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,
10408263,home,Getafe,Stefan Mitrović,stefan-mitrovic,S. Mitrović,D,23,189.0,417,M,108736,EUR,643334400,D,23,23,False,17.0,13.0,2.0,,10.0,13.0,3.0,4.0,3.0,,1.0,,,,,90.0,27.0,6.8,4.0,0.0,0.0,0.00072417,,0,,,,3.0,3.0,,,,6.0,1.0,1.0,,,,,2.0,1.0,,,,,,,,,,,,,,
10408263,home,Getafe,Omar Alderete,omar-alderete,O. Alderete,D,15,187.0,5163,M,805137,EUR,851558400,D,15,15,False,26.0,16.0,12.0,6.0,6.0,7.0,10.0,19.0,3.0,,4.0,,,,,90.0,34.0,6.9,11.0,0.0212,0.0163,0.0102709,,1,,,,,4.0,,2.0,2.0,1.0,1.0,,,,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,
10408263,home,Getafe,Damián Suárez,damian-suarez,D. Suárez,D,22,172.0,368,M,36982,EUR,578102400,M,22,22,False,11.0,9.0,,,2.0,2.0,8.0,10.0,4.0,,,,,,,56.0,30.0,7.1,4.0,0.7091,0.0,0.116528,1.0,2,,,1.0,,6.0,,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
10408263,home,Getafe,Mauro Arambarri,mauro-arambarri,M. Arambarri,M,8,175.0,1414,M,385888,EUR,812419200,M,18,18,False,9.0,8.0,1.0,1.0,1.0,1.0,7.0,9.0,1.0,,3.0,,,,,37.0,10.0,6.5,2.0,0.0,0.0,0.00731862,,0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408263,home,Getafe,Nemanja Maksimović,nemanja-maksimovic,N. Maksimović,M,88,184.0,1287,M,331449,EUR,791078400,M,20,20,False,26.0,19.0,2.0,1.0,9.0,12.0,10.0,14.0,5.0,1.0,4.0,,,,,90.0,45.0,7.0,8.0,0.0,0.0,0.034725,1.0,0,,,,2.0,5.0,,,,7.0,,3.0,3.0,1.0,,2.0,2.0,1.0,,,,,,,,,,,,,,
10408263,home,Getafe,Gastón Álvarez,gaston-alvarez,G. Álvarez,D,17,184.0,491,M,980578,EUR,953856000,M,4,4,False,14.0,9.0,2.0,,5.0,5.0,4.0,9.0,3.0,,5.0,,,,,69.0,34.0,6.6,13.0,0.0,0.0,0.0126689,,0,,,,2.0,1.0,,,,,1.0,1.0,1.0,2.0,,1.0,,,,,,,,,,,,,,,,
10408263,home,Getafe,Carles Aleñá,carles-alena,C. Aleñá,M,10,180.0,1587,M,794937,EUR,883958400,F,11,11,False,18.0,15.0,1.0,1.0,3.0,4.0,12.0,17.0,3.0,,3.0,,,,,69.0,32.0,6.9,9.0,0.1339,0.0,0.0147016,,1,,,3.0,1.0,4.0,,3.0,2.0,,,,,2.0,1.0,2.0,1.0,,,,,,,1.0,,,,,,,,
10408263,home,Getafe,Munir El Haddadi,munir-el-haddadi,M. E. Haddadi,F,17,175.0,3412,M,350170,EUR,809913600,F,17,17,False,7.0,3.0,,,2.0,2.0,1.0,7.0,7.0,2.0,1.0,,,,,56.0,22.0,6.9,12.0,0.2312,0.7721,0.00075714,,1,,,2.0,3.0,2.0,2.0,,,,,,,4.0,1.0,,1.0,,1.0,,,,,,,,,1.0,,,,
