match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_totalContest,stat_blockedScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_aerialLost,stat_onTargetScoringAttempt,stat_goals,captain,stat_goalAssist,stat_bigChanceCreated,stat_fouls,stat_shotOffTarget,stat_dispossessed,stat_wonContest,stat_totalOffside,stat_bigChanceMissed
10909910,home,Chesterfield,Ross Fitzsimons,,,ross-fitzsimons,R. Fitzsimons,G,34,185.0,16,M,213116,EUR,770083200,G,1,1,False,32.0,20.0,23.0,11.0,13.0,15.0,7.0,17.0,2.0,2.0,11.0,1.0,5.0,7.0,90.0,45.0,7.5,13.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
10909910,home,Chesterfield,Jeff King,,,jeff-king,J. King,D,15,178.0,20,M,891786,EUR,819331200,D,20,20,False,43.0,28.0,10.0,3.0,12.0,17.0,17.0,34.0,,3.0,8.0,,,,90.0,78.0,6.8,28.0,2,8.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,
10909910,home,Chesterfield,Tyrone Williams,,,tyrone-williams,T. Williams,D,12,188.0,11,M,557574,EUR,782697600,D,12,12,False,26.0,20.0,9.0,6.0,15.0,16.0,5.0,10.0,1.0,3.0,2.0,,,,90.0,38.0,7.2,6.0,1,,,2.0,,,,4.0,,3.0,,,,2.0,,2.0,1.0,1.0,,,,,,,,,
10909910,home,Chesterfield,Jamie Grimes,,,jamie-grimes,J. Grimes,D,5,188.0,15,M,73451,EUR,661824000,D,5,5,False,44.0,35.0,9.0,8.0,23.0,25.0,12.0,19.0,1.0,1.0,3.0,,,,90.0,44.0,6.7,9.0,0,,,2.0,,,,,,,,,,,1.0,1.0,,,True,1.0,1.0,1.0,,,,,
10909910,home,Chesterfield,Bailey Clements,,,bailey-clements,B. Clements,D,,188.0,6,M,990364,EUR,974246400,D,33,33,False,27.0,16.0,5.0,,5.0,10.0,12.0,20.0,,3.0,3.0,,,,72.0,51.0,6.6,15.0,0,3.0,1.0,,,,,2.0,1.0,,3.0,1.0,1.0,,,,,,,,,,,,,,
10909910,home,Chesterfield,Mike Jones,,,mike-jones,M. Jones,M,35,183.0,5,M,20565,EUR,555984000,M,35,35,False,27.0,18.0,4.0,2.0,10.0,13.0,8.0,14.0,2.0,5.0,5.0,,,,90.0,37.0,6.9,9.0,0,,,1.0,,,,2.0,,2.0,3.0,2.0,,,1.0,1.0,,,,,,,,,,,
10909910,home,Chesterfield,Liam Mandeville,,,liam-mandeville,L. Mandeville,M,7,180.0,23,M,793690,EUR,856137600,M,7,7,False,24.0,22.0,1.0,1.0,6.0,6.0,18.0,20.0,,3.0,2.0,,,,90.0,46.0,7.9,4.0,3,2.0,2.0,,,,,,,5.0,3.0,1.0,1.0,,2.0,,2.0,,,1.0,,,1.0,,,,
10909910,home,Chesterfield,Tim Akinola,Tim,Akinola,tim-akinola,T. Akinola,M,23,175.0,98,M,966466,EUR,989280000,M,4,4,False,10.0,8.0,1.0,1.0,1.0,1.0,7.0,10.0,,8.0,6.0,,,,87.0,33.0,6.6,11.0,1,1.0,,9.0,,3.0,,1.0,,,5.0,2.0,2.0,1.0,,2.0,,,,,,1.0,1.0,5.0,2.0,,
10909910,home,Chesterfield,Darren Oldaker,,,darren-oldaker,D. Oldaker,M,44,176.0,24,M,806343,EUR,915408000,M,26,26,False,24.0,23.0,1.0,1.0,8.0,8.0,15.0,18.0,,1.0,5.0,,,,71.0,28.0,6.3,3.0,0,2.0,,2.0,2.0,,,,,,,,,1.0,,,,,,,,,,,,,
10909910,home,Chesterfield,Armando Dobra,,,armando-dobra,A. Dobra,M,17,167.0,114,M,990361,EUR,987206400,M,17,17,False,28.0,20.0,2.0,2.0,6.0,7.0,16.0,23.0,1.0,10.0,4.0,,,,87.0,59.0,9.0,16.0,2,2.0,2.0,8.0,1.0,2.0,,1.0,,3.0,7.0,3.0,2.0,2.0,2.0,,2.0,2.0,,,,2.0,,3.0,,,
