match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_aerialWon,stat_blockedScoringAttempt,stat_aerialLost,stat_onTargetScoringAttempt,stat_wasFouled,captain,stat_outfielderBlock,stat_fouls,player_firstName,player_lastName,player_sofascoreId,stat_accurateCross,stat_totalOffside,stat_errorLeadToAShot,stat_goalAssist,stat_bigChanceCreated,stat_goals,stat_bigChanceMissed
11392835,home,Metz,Arthur Atta,atta-arthur,A. Atta,M,14,189,2507,M,1444690,EUR,1042502400,M,25,25,True,11.0,8.0,1.0,1.0,1.0,2.0,7.0,9.0,1.0,1.0,,,,,12.0,15.0,6.6,3.0,0.0,0.0,0.00326859,0,,,2.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,
11392835,home,Metz,Simon Elisor,elisor-simon,S. Elisor,F,12,186,169,M,1049526,EUR,932515200,F,11,11,True,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,12.0,4.0,6.6,1.0,0.0,0.0,0.00059863,0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
11392835,home,Metz,Guillaume Dietsch,guillaume-dietsch,G. Dietsch,G,30,184,78,M,986770,EUR,987465600,G,1,1,True,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11392835,home,Metz,Christophe Herelle,christophe-herelle,C. Herelle,D,4,188,67,M,225092,EUR,714441600,D,29,29,True,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11392835,home,Metz,Jean N'Guessan,jean-nguessan,J. N'Guessan,M,79,170,159,M,1110705,EUR,1050537600,M,21,21,True,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,Jean N'Guessan,,,,,,,,,
11392835,home,Metz,Kévin N'Doram,kevin-ndoram,K. N'Doram,M,96,184,91,M,823476,EUR,822268800,M,6,6,True,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11392835,away,Nice,Marcin Bułka,marcin-bulka,M. Bułka,G,99,198,4805,M,889590,EUR,938995200,G,1,1,False,44.0,41.0,6.0,4.0,39.0,41.0,2.0,3.0,,7.0,2.0,,3.0,,90.0,56.0,7.5,3.0,0.0,0.0,0.00035901,0,0.2426,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,marcinbulka1,,,1.0,,,,
11392835,away,Nice,Jordan Lotomba,jordan-lotomba,J. Lotomba,D,30,177,509,M,796279,EUR,907027200,D,23,23,False,51.0,48.0,2.0,,33.0,34.0,15.0,17.0,,3.0,,,,,90.0,66.0,6.8,5.0,0.0,0.0,0.0187244,0,,,2.0,2.0,,,,,,1.0,1.0,,1.0,,,,1.0,,1.0,,,1.0,,,,,,,,,,
11392835,away,Nice,Jean-Clair Todibo,jean-clair-todibo,J-C. Todibo,D,25,189,2607,M,945217,EUR,946512000,D,6,6,False,180.0,164.0,17.0,8.0,113.0,118.0,51.0,62.0,3.0,11.0,,,,,90.0,190.0,7.7,16.0,0.0,0.0,0.0278493,0,,,1.0,3.0,,,,,,4.0,,,,,3.0,,1.0,,1.0,,,,,,,,,,,,,
11392835,away,Nice,Dante,dante,Dante,D,4,188,1257,M,3577,EUR,435283200,D,4,4,False,115.0,106.0,8.0,4.0,86.0,90.0,20.0,25.0,1.0,11.0,,,,,90.0,128.0,8.3,9.0,0.09,0.0,0.158919,1,,,3.0,5.0,1.0,,,,1.0,3.0,2.0,2.0,,1.0,3.0,,2.0,,,True,3.0,,,,,,,,,,,
