match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_bestBallCarryProgression,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_shotValueNormalized,captain,stat_bigChanceMissed,stat_shotOffTarget,stat_bigChanceCreated,stat_outfielderBlock,stat_keyPass,stat_dispossessed,stat_blockedScoringAttempt,stat_hitWoodwork,stat_penaltyWon,stat_penaltyMiss,stat_errorLeadToAGoal,stat_goodHighClaim,stat_penaltyFaced,stat_punches,stat_errorLeadToAShot,stat_penaltyConceded,stat_totalOffside
14062187,home,Borussia Dortmund,Gregor Kobel,gregor-kobel,G. Kobel,G,1,193,6864,M,gregorkobel,556866,EUR,881366400,G,1,1,False,34.0,25.0,14.0,5.0,0.0,22.0,24.0,3.0,10.0,1.0,1.0,3.0,1.0,1.0,1.0,90.0,39.0,6.8,9.0,0.0003175,110.25475185036,16.0,42.327535946072,0.3996,0,-0.5893,0.04,0.01,-0.19,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14062187,home,Borussia Dortmund,Filippo Mané,filippo-calixte-mane,F. Mané,D,39,188,2258,M,,1137131,EUR,1110240000,D,39,39,False,34.0,28.0,5.0,1.0,0.0,16.0,16.0,12.0,18.0,1.0,4.0,2.0,2.0,,,45.0,44.0,6.9,7.0,0.143402,100.04730335566,13.0,34.530142270023,,0,,0.34,0.03,-0.17,,,,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14062187,home,Borussia Dortmund,Waldemar Anton,waldemar-anton,W. Anton,D,3,189,2193,M,,799046,EUR,837820800,D,3,3,False,52.0,46.0,2.0,1.0,0.0,33.0,34.0,13.0,18.0,4.0,9.0,4.0,,,,90.0,70.0,7.9,7.0,0.02219,197.11915909044,20.0,89.04503517466,,1,,0.13,0.28,-0.33,,,,,,8.0,,4.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3126,0.8701,17.558964628886,24.366889419866,1.0,0.56,,,,,,,,,,,,,,,,,,
14062187,home,Borussia Dortmund,Nico Schlotterbeck,nico-schlotterbeck,N. Schlotterbeck,D,4,191,10353,M,nico.schlotterbeck,940871,EUR,944006400,D,4,4,False,58.0,48.0,10.0,5.0,0.0,29.0,32.0,19.0,26.0,2.0,2.0,3.0,,,,90.0,76.0,6.3,17.0,0.0305081,136.64797272723,20.0,63.195564384201,,2,,0.21,0.16,-0.26,,,,1.0,,4.0,,,1.0,1.0,2.0,,1.0,,,,,,0.4079,,14.283542484003,29.267920796049,2.0,-0.58,True,1.0,2.0,,,,,,,,,,,,,,,
14062187,home,Borussia Dortmund,Yan Couto,couto-yan,Y. Couto,D,2,169,7173,M,yan.couto,1002813,EUR,1023062400,M,2,2,False,18.0,16.0,1.0,,0.0,3.0,3.0,13.0,15.0,,3.0,,1.0,,,58.0,40.0,6.7,13.0,0.297283,46.467616539069,5.0,10.699344317411,,0,,0.42,0.05,-0.2,,,,8.0,2.0,,,,4.0,1.0,6.0,2.0,3.0,2.0,,,,2.0,,,16.430265560584,19.956645234107,1.0,,,,,1.0,1.0,2.0,,,,,,,,,,,,
14062187,home,Borussia Dortmund,Jobe Bellingham,jobe-bellingham,J. Bellingham,M,7,189,41442,M,Jobe,1134083,EUR,1127433600,M,7,7,False,37.0,35.0,6.0,5.0,0.0,12.0,12.0,23.0,25.0,,6.0,6.0,1.0,,,58.0,54.0,7.1,8.0,0.0528139,130.71173024837,20.0,39.487385910129,,2,,0.27,0.2,-0.11,,Jobe Bellingham,,1.0,,,,4.0,1.0,,4.0,,3.0,1.0,,,2.0,,0.1217,,12.943319868342,15.737745232402,1.0,-0.41,,,1.0,,,,2.0,1.0,,,,,,,,,,
14062187,home,Borussia Dortmund,Felix Nmecha,nmecha-felix,F. Nmecha,M,8,190,3992,M,,907463,EUR,971136000,M,8,8,False,48.0,39.0,1.0,,0.0,16.0,16.0,23.0,32.0,,5.0,5.0,1.0,,,90.0,65.0,7.0,13.0,0.081458,188.15616434199,17.0,103.49578009727,,3,,0.32,0.24,-0.04,,,,1.0,,1.0,2.0,2.0,2.0,,1.0,,3.0,2.0,,,2.0,,0.1066,,31.962289526629,77.906181766981,2.0,-0.52,,,1.0,,,,,2.0,,,,,,,,,,
14062187,home,Borussia Dortmund,Daniel Svensson,daniel-svensson,D. Svensson,M,24,183,3298,M,,1021272,EUR,1013472000,M,24,24,False,27.0,21.0,4.0,,0.0,9.0,10.0,12.0,17.0,,5.0,7.0,1.0,,,90.0,48.0,7.4,16.0,0.398529,55.571106460545,9.0,24.063114671689,,0,,0.27,0.07,0.41,,,,11.0,2.0,,,3.0,1.0,,,,1.0,1.0,,,2.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,
14062187,home,Borussia Dortmund,Karim Adeyemi,karim-adeyemi,K. Adeyemi,F,27,177,17028,M,karim_adeyemi,940054,EUR,1011312000,F,27,27,False,21.0,14.0,,,0.0,3.0,4.0,11.0,17.0,1.0,6.0,2.0,1.0,,,69.0,35.0,6.9,12.0,0.122888,63.912876171023,10.0,33.200742614922,,1,,0.25,0.23,-0.07,,,,,,,,,2.0,1.0,6.0,1.0,6.0,4.0,1.0,,,1.0,0.0279,0.0196,16.103117701487,27.481494776644,2.0,-0.01,,,,,,1.0,1.0,,,,,,,,,,,
14062187,home,Borussia Dortmund,Julian Brandt,julian-brandt,J. Brandt,M,10,186,9499,M,julianbrandt,226978,EUR,830995200,F,10,10,False,51.0,42.0,4.0,3.0,0.0,9.0,11.0,33.0,40.0,1.0,5.0,2.0,,,,90.0,62.0,7.3,13.0,0.486739,173.53133099912,21.0,95.868509706671,,1,,0.21,0.34,0.18,,,,2.0,,1.0,,3.0,,,2.0,,1.0,1.0,,,3.0,,0.1044,,15.807349149869,45.988850294391,3.0,-0.49,,,,1.0,,5.0,2.0,1.0,,,,,,,,,,
