match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,captain,stat_keyPass,stat_challengeLost,stat_fouls,player_sofascoreId,stat_dispossessed,stat_totalContest,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,player_firstName,player_lastName,stat_totalOffside,stat_goodHighClaim,stat_accurateCross,stat_errorLeadToAShot,stat_blockedScoringAttempt,stat_goals,stat_goalAssist,stat_bigChanceMissed
11352448,home,Wolverhampton,José Sá,jose-sa,J. Sá,G,1,192.0,4016,M,252669,EUR,727228800,G,1,1,False,56.0,37.0,23.0,7.0,33.0,38.0,4.0,18.0,1.0,9.0,6.0,7.0,90.0,69.0,7.7,19.0,0.00046103,0,-0.4702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352448,home,Wolverhampton,Matt Doherty,matt-doherty,M. Doherty,D,2,182.0,1449,M,143047,EUR,695520000,D,2,2,False,33.0,24.0,2.0,1.0,8.0,13.0,16.0,21.0,2.0,3.0,,,75.0,51.0,7.0,13.0,0.0252021,0,,1.0,2.0,4.0,2.0,8.0,1.0,3.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11352448,home,Wolverhampton,Santiago Bueno,santiago-bueno,S. Bueno,D,4,189.0,1175,M,846308,EUR,910569600,D,4,4,False,46.0,42.0,2.0,1.0,33.0,36.0,9.0,10.0,3.0,2.0,,,90.0,58.0,6.9,4.0,0.00289224,0,,,6.0,3.0,6.0,4.0,3.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11352448,home,Wolverhampton,Max Kilman,max-kilman,M. Kilman,D,3,192.0,1250,M,894474,EUR,864345600,D,23,23,False,91.0,76.0,17.0,6.0,57.0,65.0,19.0,26.0,7.0,8.0,,,90.0,103.0,6.6,15.0,0.0096852,0,,,,1.0,,3.0,1.0,2.0,1.0,,,True,1.0,,,,,,,,,,,,,,,,,,,,,,
11352448,home,Wolverhampton,Toti Gomes,toti-gomes,T. Gomes,D,24,187.0,1047,M,973418,EUR,916444800,D,24,24,False,43.0,38.0,4.0,1.0,30.0,33.0,8.0,10.0,3.0,1.0,,,90.0,52.0,6.1,5.0,0.00114796,0,,,3.0,,7.0,,1.0,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,
11352448,home,Wolverhampton,João Gomes,joao-gomes,J. Gomes,M,8,176.0,14959,M,1015267,EUR,981936000,M,8,8,False,17.0,15.0,,,5.0,5.0,10.0,12.0,2.0,5.0,,,90.0,33.0,6.8,6.0,0.0130922,1,,,4.0,,9.0,5.0,,3.0,3.0,1.0,2.0,,,,3.0,joaogomes.01,2.0,1.0,1.0,1.0,0.0688,0.0786,,,,,,,,,,,,,
11352448,home,Wolverhampton,Tommy Doyle,tommy-doyle,T. Doyle,M,7,172.0,746,M,932628,EUR,1003276800,M,20,20,False,72.0,59.0,13.0,4.0,33.0,36.0,26.0,38.0,2.0,5.0,,,90.0,79.0,6.6,15.0,0.0131168,0,,2.0,,,2.0,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
11352448,home,Wolverhampton,Boubacar Traoré,boubacar-traore,B. Traoré,M,8,183.0,1011,M,982613,EUR,998265600,M,6,6,False,38.0,35.0,1.0,,21.0,23.0,14.0,15.0,,9.0,,,90.0,53.0,6.8,6.0,0.00383073,1,,,,1.0,6.0,9.0,,6.0,4.0,1.0,1.0,,,2.0,2.0,,1.0,2.0,,,0.0273,,1.0,1.0,1.0,,,,,,,,,,
11352448,home,Wolverhampton,Hugo Bueno,hugo-bueno,H. Bueno,D,3,180.0,695,M,1013928,EUR,1032307200,M,17,17,False,20.0,15.0,,,14.0,17.0,1.0,5.0,2.0,3.0,,,90.0,29.0,6.7,7.0,0.00036039,1,,2.0,2.0,2.0,3.0,4.0,1.0,1.0,1.0,,1.0,,,,1.0,,,,,,0.0287,,,1.0,,,,,,,,,,,
11352448,home,Wolverhampton,Hee-Chan Hwang,hee-chan-hwang,H. Hwang,F,11,177.0,6362,M,786186,EUR,822614400,F,11,11,False,10.0,9.0,,,3.0,3.0,6.0,7.0,,,,,51.0,18.0,6.8,3.0,0.0086342,0,,,,,3.0,5.0,,2.0,1.0,1.0,2.0,,1.0,,2.0,Hwangso,1.0,1.0,,,,,1.0,,,,,,,,,,,,
