match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialLost,stat_outfielderBlock,stat_interceptionWon,player_firstName,player_lastName,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_clearanceOffLine,stat_keyPass,stat_challengeLost,stat_totalOffside,captain,stat_penaltyWon,stat_bigChanceCreated,stat_goals,player_sofascoreId,stat_bigChanceMissed,stat_penaltyFaced,stat_punches,stat_penaltyConceded
10406978,home,Club Brugge KV,Simon Mignolet,simon-mignolet,S. Mignolet,G,22,193,1240,M,10406,EUR,573609600,G,22,22,False,25.0,17.0,15.0,8.0,10.0,14.0,7.0,11.0,1.0,1.0,6.0,1.0,2.0,2.0,90.0,30.0,6.6,8.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10406978,home,Club Brugge KV,Clinton Mata,clinton-mata,C. Mata,D,22,180,1323,M,152813,EUR,721094400,D,77,77,False,53.0,48.0,6.0,3.0,22.0,22.0,27.0,37.0,,9.0,9.0,,,,90.0,81.0,7.0,15.0,0,6.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,
10406978,home,Club Brugge KV,Brandon Mechele,brandon-mechele,B. Mechele,D,44,188,823,M,248331,EUR,728179200,D,44,44,False,50.0,45.0,4.0,1.0,28.0,30.0,17.0,20.0,2.0,6.0,1.0,,,,90.0,64.0,7.4,5.0,0,,,2.0,,,,5.0,4.0,2.0,,,,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,
10406978,home,Club Brugge KV,Abakar Sylla,abakar-sylla,A. Sylla,D,4,188,880,M,1170197,EUR,1040774400,D,94,94,False,66.0,61.0,6.0,5.0,19.0,20.0,42.0,46.0,,1.0,7.0,,,,70.0,74.0,6.9,6.0,2,,,4.0,,,,1.0,1.0,,1.0,,3.0,1.0,,,Abakar Sylla,,1.0,1.0,,,,,,,,,,,,,,
10406978,home,Club Brugge KV,Bjorn Meijer,bjorn-meijer,B. Meijer,D,14,190,695,M,1047509,EUR,1047945600,D,14,14,False,33.0,23.0,3.0,2.0,7.0,11.0,17.0,25.0,1.0,1.0,5.0,,,,90.0,65.0,7.6,20.0,1,3.0,1.0,5.0,4.0,,,2.0,,,1.0,,,1.0,3.0,4.0,Bjorn Meijer,,,,1.0,2.0,1.0,,,,,,,,,,,
10406978,home,Club Brugge KV,Casper Nielsen,casper-nielsen,C. Nielsen,M,94,182,403,M,247471,EUR,767577600,M,27,27,False,21.0,19.0,4.0,4.0,7.0,7.0,15.0,19.0,,2.0,2.0,,,,69.0,36.0,7.2,6.0,1,5.0,3.0,4.0,,,,1.0,1.0,,,1.0,2.0,1.0,,1.0,,,1.0,,,,3.0,1.0,1.0,,,,,,,,,
10406978,home,Club Brugge KV,Raphael Onyedika,raphael-onyedika,R. Onyedika,M,15,184,6213,M,1129862,EUR,987638400,M,15,15,False,50.0,47.0,7.0,6.0,15.0,16.0,32.0,35.0,2.0,8.0,8.0,,,,90.0,66.0,7.0,8.0,2,1.0,,7.0,3.0,1.0,1.0,,4.0,,1.0,1.0,1.0,2.0,,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,
10406978,home,Club Brugge KV,Hans Vanaken,hans-vanaken,H. Vanaken,M,20,194,2941,M,118085,EUR,714614400,M,20,20,False,73.0,60.0,1.0,,11.0,11.0,49.0,62.0,2.0,4.0,3.0,,,,90.0,81.0,6.8,16.0,0,,,3.0,2.0,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,5.0,,,True,,,,,,,,
10406978,home,Club Brugge KV,Tajon Buchanan,tajon-buchanan,T. Buchanan,M,17,183,7500,M,973290,EUR,918432000,F,17,17,False,26.0,21.0,1.0,,5.0,8.0,17.0,25.0,,4.0,3.0,,,,90.0,52.0,7.0,21.0,2,7.0,1.0,5.0,1.0,2.0,,1.0,,,5.0,4.0,1.0,1.0,,,,,,1.0,1.0,,1.0,,,,1.0,,,,,,,
10406978,home,Club Brugge KV,Ferran Jutglà,ferran-jutgla,F. Jutglà,F,9,175,3732,M,949962,EUR,917827200,F,9,9,False,20.0,16.0,3.0,3.0,5.0,6.0,11.0,14.0,3.0,8.0,3.0,,,,90.0,49.0,7.7,13.0,8,,,8.0,2.0,5.0,1.0,1.0,,,3.0,4.0,,2.0,,1.0,,,2.0,3.0,3.0,,2.0,,1.0,,,1.0,1.0,,,,,
