match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,id,injury,isHome,incidentClass,playerName,reason,rescinded,player_id,player_name,length
11453085,FT,0.0,0.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,
11453085,,,,,90,7.0,,1,,,substitution,122236369.0,False,False,regular,,,,,,
11453085,,,,,90,5.0,,1,,,card,121032403.0,,True,yellow,Abdulbaset Hindi,Argument,False,949218.0,Abdulbaset Hindi,
11453085,,,,,90,5.0,,1,,,card,121032274.0,,False,yellow,Fawaz Al-Sagour,Foul,False,818572.0,Fawaz Al-Sagour,
11453085,,,,,90,4.0,,1,,,card,121032273.0,,True,yellow,Gabri Veiga,Argument,False,1010505.0,Gabri Veiga,
11453085,,,,,90,0.0,,1,,,injuryTime,,,,,,,,,,6.0
11453085,,,,,89,,,2,,,substitution,122236323.0,False,False,regular,,,,,,
11453085,,,,,87,,,4,,,substitution,122236307.0,False,True,regular,,,,,,
11453085,,,,,79,,,12,,,substitution,122236261.0,False,True,regular,,,,,,
11453085,,,,,76,,,15,,,card,121032215.0,,False,yellow,Iago Santos,Foul,False,584430.0,Iago Santos,
11453085,,,,,67,,,24,,,substitution,122236163.0,False,False,regular,,,,,,
11453085,,,,,62,,,29,,,substitution,122236095.0,False,True,regular,,,,,,
11453085,,,,,61,,,30,,,substitution,122236094.0,False,True,regular,,,,,,
11453085,,,,,47,,,44,,,card,121032125.0,,False,yellow,Romain Saïss,Foul,False,187729.0,Romain Saïss,
11453085,,,,,46,,,45,,,substitution,122235969.0,False,True,regular,,,,,,
11453085,HT,0.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,
11453085,,,,,45,0.0,,1,,,injuryTime,,,,,,,,,,4.0
11453085,,,,,29,,,17,,,card,121031996.0,,True,yellow,Bassam Al-Hurayji,Handball,False,1085357.0,Bassam Al-Hurayji,
11453085,,,,,-5,,,6,,,card,121032272.0,,True,yellow,Matthias Jaissle,Argument,False,,,
