match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_jerseyNumber,stat_totalCross,stat_aerialLost,stat_duelLost,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,captain,stat_blockedScoringAttempt,player_firstName,player_lastName,stat_challengeLost,stat_shotOffTarget,stat_dispossessed,stat_totalContest,stat_wonContest,stat_errorLeadToAShot,stat_keyPass,stat_accurateCross,stat_bigChanceMissed,stat_goals,stat_penaltyWon,stat_totalOffside,stat_bigChanceCreated,stat_penaltyConceded,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,player_sofascoreId
12514008,home,Rio Ave,Jhonatan,jhonatan,Jhonatan,G,189,96,M,798688,EUR,673660800,G,18,18,False,44.0,28.0,21.0,5.0,0.0,25.0,27.0,3.0,17.0,1.0,1.0,1.0,8.0,2.0,3.0,1.0,90.0,51.0,7.2,16.0,0.00032658,0,0.2158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514008,home,Rio Ave,Renato Pantalon,renato-pantalon,R. Pantalon,D,196,88,M,826561,EUR,877910400,D,42,42,False,56.0,50.0,5.0,3.0,0.0,38.0,39.0,12.0,18.0,,5.0,3.0,,,,,90.0,73.0,7.7,8.0,0.00340859,1,,84,1.0,2.0,3.0,1.0,1.0,3.0,1.0,4.0,2.0,1.0,1.0,1.0,0.0231,0.0475,,,,,,,,,,,,,,,,,,,,,,
12514008,home,Rio Ave,Aderllan Santos,aderllan-santos,A. Santos,D,193,103,M,129617,EUR,608083200,D,33,33,False,49.0,45.0,6.0,4.0,0.0,41.0,42.0,4.0,7.0,4.0,5.0,10.0,7.0,,,,90.0,68.0,7.6,4.0,0.00116723,1,,33,,,,,,2.0,,1.0,1.0,,,,0.0439,,True,1.0,,,,,,,,,,,,,,,,,,,,
12514008,home,Rio Ave,Jonathan Panzo,jonathan-panzo,J. Panzo,D,186,230,M,867438,EUR,971568000,D,2,2,False,53.0,50.0,4.0,3.0,0.0,39.0,40.0,11.0,13.0,1.0,1.0,5.0,4.0,,,,90.0,62.0,7.1,4.0,0.003504,1,,37,,,1.0,,,1.0,,,,,,,0.0466,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
12514008,home,Rio Ave,Marios Vrousai,marios-vrousai,M. Vrousai,D,183,243,M,848521,EUR,899337600,M,17,17,False,36.0,27.0,2.0,1.0,0.0,16.0,19.0,11.0,18.0,,6.0,3.0,5.0,,,,90.0,67.0,7.0,17.0,0.0154898,1,,17,1.0,,6.0,,,,,2.0,1.0,3.0,2.0,2.0,0.0999,,,,,,1.0,1.0,3.0,2.0,2.0,1.0,3.0,,,,,,,,,,,
12514008,home,Rio Ave,Amine Oudrhiri,amine-oudrhiri,A. Oudrhiri,M,184,104,M,374560,EUR,720835200,M,10,10,False,31.0,29.0,6.0,6.0,0.0,19.0,20.0,10.0,11.0,,1.0,,4.0,,,,85.0,39.0,7.0,3.0,0.00517197,0,,95,,,2.0,,,2.0,,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
12514008,home,Rio Ave,João Novais,joao-novais,J. Novais,M,183,160,M,233370,EUR,742262400,M,6,6,False,39.0,28.0,10.0,5.0,0.0,17.0,18.0,14.0,27.0,,1.0,,4.0,,,,86.0,49.0,7.1,14.0,0.130937,0,,7,6.0,,1.0,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,3.0,3.0,,,,,,,,,,
12514008,home,Rio Ave,Omar Richards,omar-richards,O. Richards,D,174,528,M,892483,EUR,887500800,M,98,98,False,26.0,23.0,2.0,1.0,0.0,15.0,15.0,8.0,12.0,,6.0,4.0,3.0,,,,76.0,51.0,7.1,5.0,0.00675469,0,,77,1.0,,1.0,,,,,1.0,1.0,,4.0,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,
12514008,home,Rio Ave,Tiago Morais,tiago-morais,T. Morais,F,168,233,M,1067284,EUR,1062547200,F,11,11,False,25.0,19.0,3.0,3.0,0.0,7.0,11.0,12.0,14.0,,6.0,,6.0,,,,90.0,48.0,7.4,11.0,0.272184,3,,21,,,6.0,1.0,,1.0,,2.0,1.0,,3.0,5.0,0.4457,0.2728,,,,,,2.0,,3.0,1.0,,3.0,,1.0,,,,,,,,,
12514008,home,Rio Ave,Clayton,clayton,Clayton,F,184,1602,M,1017023,EUR,916012800,F,9,9,False,16.0,10.0,2.0,1.0,0.0,3.0,3.0,7.0,13.0,2.0,10.0,,3.0,,,,90.0,33.0,8.1,8.0,0.00808628,5,,19,,5.0,10.0,3.0,,,,,,1.0,5.0,4.0,0.9696,1.0972,,,,,,2.0,,4.0,3.0,,,,,1.0,1.0,2.0,,,,,,
