match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,id,injury,isHome,incidentClass,length,playerName,reason,rescinded,player_id,player_name,from,confirmed
12514041,FT,2.0,1.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,,
12514041,,,,,90,4.0,,1,,,substitution,123147891.0,False,True,regular,,,,,,,,
12514041,,,,,90,0.0,,1,,,injuryTime,,,,,6.0,,,,,,,
12514041,,,,,88,,,3,,,substitution,123147856.0,False,False,regular,,,,,,,,
12514041,,,,,81,,,10,,,substitution,123147828.0,False,True,regular,,,,,,,,
12514041,,,,,81,,,10,,,substitution,123147830.0,False,False,regular,,,,,,,,
12514041,,,,,81,,,10,,,substitution,123147829.0,False,False,regular,,,,,,,,
12514041,,,,,81,,,10,,,substitution,123147827.0,False,True,regular,,,,,,,,
12514041,,,,,75,,,16,,,card,121620322.0,,False,yellow,,Vítor Carvalho,Foul,False,887754.0,Vítor Carvalho,,
12514041,,,,,69,,,22,,,substitution,123147739.0,False,True,regular,,,,,,,,
12514041,,,,,63,,,28,,,substitution,123147721.0,False,False,regular,,,,,,,,
12514041,,,,,63,,,28,,,substitution,123147720.0,False,False,regular,,,,,,,,
12514041,,2.0,1.0,,59,,,32,,,goal,188120061.0,,True,regular,,,,,882664.0,Pepê,,
12514041,,1.0,1.0,,54,,,37,,,goal,188119865.0,,False,regular,,,,,1128560.0,Roger Fernandes,,
12514041,,,,,47,,,44,,,card,121620171.0,,True,yellow,,Pepê,Foul,False,882664.0,Pepê,,
12514041,,,,,46,,,45,,,substitution,123147614.0,False,True,regular,,,,,,,,
12514041,HT,1.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,,
12514041,,1.0,0.0,,45,1.0,,1,,,goal,188118876.0,,True,penalty,,,,,845754.0,Wenderson Galeno,penalty,
12514041,,,,,45,0.0,,1,,,injuryTime,,,,,3.0,,,,,,,
12514041,,,,,44,,,2,,,card,121620058.0,,False,yellow,,João Ferreira,Foul,False,976401.0,João Ferreira,,
12514041,,,,,19,,,27,,,card,121619976.0,,True,yellow,,João Mário,Foul,False,902031.0,João Mário,,
12514041,,,,,4,,,42,,,varDecision,28643.0,,True,goalAwarded,,,,,1503836.0,Samu Aghehowa,,False
12514041,,,,,-5,,,6,,,card,121619803.0,,True,yellow,,Vítor Bruno,Argument,False,,,,
