match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelWon,stat_totalContest,stat_fouls,stat_keyPass,stat_dispossessed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,stat_totalTackle,stat_wonTackle,stat_accurateCross,stat_wonContest,stat_onTargetScoringAttempt,captain,stat_unsuccessfulTouch,stat_bigChanceMissed,stat_bigChanceCreated,stat_totalOffside,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_punches,stat_goalAssist,stat_goals,player_sofascoreId
10438000,home,Vitória SC,Pedro Rafael Oliveira,,,pedro-rafael-oliveira,P. R. Oliveira,G,1,183,24,M,1395098,EUR,1064707200,G,53,53,False,16.0,12.0,7.0,3.0,11.0,12.0,1.0,4.0,1.0,1.0,1.0,10.0,1.0,2.0,1.0,1.0,90.0,26.0,5.5,4.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10438000,home,Vitória SC,André Amaro,André Amaro,,andre-amaro,A. Amaro,D,13,185,207,M,1095752,EUR,1029196800,D,13,13,False,59.0,54.0,4.0,3.0,30.0,32.0,24.0,30.0,7.0,1.0,1.0,9.0,,,,,90.0,67.0,6.1,10.0,0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
10438000,home,Vitória SC,Ibrahima Bamba,Ibrahima Bamba,,ibrahima-bamba,I. Bamba,D,22,184,312,M,1131044,EUR,1019433600,D,22,22,False,53.0,45.0,10.0,4.0,35.0,38.0,10.0,15.0,9.0,,,11.0,,,,,90.0,66.0,6.6,9.0,4,,7.0,2.0,3.0,,1.0,,1.0,3.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,
10438000,home,Vitória SC,Mikel Villanueva,,,mikel-villanueva,M. Villanueva,D,17,192,343,M,836279,EUR,734745600,D,3,3,False,64.0,55.0,9.0,8.0,33.0,36.0,22.0,29.0,3.0,1.0,1.0,5.0,,,,,90.0,73.0,7.1,10.0,0,1.0,2.0,8.0,13.0,,,,,,,,,1.0,4.0,2.0,,,,,,,,,,,,,,
10438000,home,Vitória SC,Miguel Maga,Miguel Maga,,miguel-maga,M. Maga,D,2,175,180,M,1131047,EUR,1037404800,M,2,2,False,32.0,26.0,2.0,1.0,7.0,8.0,22.0,32.0,4.0,,,5.0,,,,,90.0,64.0,7.2,21.0,0,8.0,1.0,,3.0,,,3.0,3.0,,,,,,3.0,1.0,3.0,,,,,,,,,,,,,
10438000,home,Vitória SC,Dani Silva,,,daniel-silva,D. Silva,M,80,180,228,M,974863,EUR,955411200,M,80,80,False,44.0,37.0,2.0,1.0,19.0,21.0,18.0,23.0,5.0,1.0,,9.0,,,,,67.0,59.0,7.1,10.0,5,,1.0,1.0,7.0,4.0,1.0,1.0,1.0,,4.0,,1.0,,3.0,1.0,,3.0,1.0,,,,,,,,,,,
10438000,home,Vitória SC,Tiago Silva,,,tiago-silva,T. Silva,M,77,170,351,M,252095,EUR,738979200,M,10,10,False,61.0,55.0,7.0,5.0,21.0,23.0,37.0,46.0,2.0,1.0,,6.0,,,,,79.0,74.0,7.4,11.0,0,8.0,1.0,,5.0,3.0,1.0,1.0,,,,,,,2.0,2.0,3.0,3.0,,True,,,,,,,,,,
10438000,home,Vitória SC,Afonso Freitas,,,afonso-freitas,A. Freitas,D,25,180,35,M,928812,EUR,955065600,M,72,72,False,25.0,21.0,,,4.0,4.0,17.0,25.0,2.0,1.0,,4.0,,,,,61.0,46.0,6.5,14.0,2,4.0,,1.0,2.0,1.0,,,,,,,1.0,1.0,,,,,2.0,,4.0,,,,,,,,,
10438000,home,Vitória SC,Jota Silva,,,jota-silva,J. Silva,F,26,179,2828,M,1011895,EUR,933465600,F,11,11,False,12.0,8.0,2.0,2.0,1.0,2.0,7.0,13.0,11.0,3.0,,1.0,,,,,61.0,33.0,6.4,14.0,3,3.0,2.0,,3.0,6.0,1.0,2.0,1.0,2.0,1.0,,,,1.0,1.0,,2.0,,,,1.0,,,,,,,,
10438000,home,Vitória SC,André Silva,,,andre-silva,A. Silva,F,17,181,2951,M,925072,EUR,865296000,F,17,17,False,38.0,27.0,4.0,2.0,7.0,8.0,20.0,31.0,6.0,,,5.0,,,,,90.0,59.0,7.7,19.0,3,1.0,1.0,2.0,11.0,9.0,1.0,3.0,,1.0,,,,2.0,2.0,2.0,,5.0,2.0,,3.0,,1.0,,,,,,,
