match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,player_firstName,player_lastName,stat_dispossessed,stat_shotOffTarget,stat_outfielderBlock,stat_expectedGoals,stat_shotValueNormalized,stat_unsuccessfulTouch,stat_wasFouled,captain,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_keyPass,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_totalOffside,stat_expectedGoalsOnTarget,stat_goals,stat_hitWoodwork,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAShot,stat_blockedScoringAttempt,stat_errorLeadToAGoal
14025142,home,Manchester City,Gianluigi Donnarumma,gianluigi-donnarumma,G. Donnarumma,G,25,196,69953,M,donnarumma,824509,EUR,919900800,G,25,25,False,30.0,17.0,19.0,6.0,0.0,15.0,19.0,2.0,11.0,1.0,1.0,3.0,6.0,1.0,2.0,3.0,90.0,39.0,7.0,13.0,0.00012469,0.1531,0,0.1434,0.03,0.0,0.2,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14025142,home,Manchester City,Abdukodir Khusanov,abdukodir-khusanov,A. Khusanov,D,45,186,85407,M,abdukodir_khusanov,1194333,EUR,1078012800,D,45,45,False,41.0,32.0,5.0,3.0,0.0,20.0,23.0,12.0,18.0,2.0,5.0,6.0,5.0,,,,90.0,70.0,7.4,13.0,0.0146778,,0,,0.21,0.02,0.47,,2.0,5.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
14025142,home,Manchester City,Rúben Dias,ruben-dias,R. Dias,D,3,188,40519,M,RúbenD,318941,EUR,863568000,D,3,3,False,49.0,44.0,,,0.0,35.0,37.0,9.0,12.0,4.0,4.0,7.0,1.0,,,,90.0,58.0,7.0,5.0,0.00488437,,0,,0.03,0.06,0.24,,2.0,4.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
14025142,home,Manchester City,Joško Gvardiol,josko-gvardiol,J. Gvardiol,D,24,186,50085,M,JGvardiol,964994,EUR,1011744000,D,24,24,False,56.0,50.0,7.0,2.0,0.0,30.0,33.0,20.0,23.0,,,3.0,,,,,90.0,61.0,6.8,6.0,0.00551948,,0,,0.21,0.04,0.17,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
14025142,home,Manchester City,Nico O'Reilly,nico-o-reilly,N. O’Reilly,D,33,193,15962,M,,1142703,EUR,1111363200,D,33,33,False,38.0,27.0,5.0,,0.0,13.0,16.0,14.0,22.0,3.0,8.0,2.0,5.0,,,,90.0,67.0,7.0,15.0,0.00560396,,1,,-0.04,0.01,0.27,,2.0,7.0,2.0,1.0,,1.0,5.0,3.0,1.0,Nico,O’Reilly,1.0,1.0,1.0,0.0503,-0.24,,,,,,,,,,,,,,,,,,
14025142,home,Manchester City,Rodri,rodri,Rodri,M,16,191,88553,M,Rodri,827606,EUR,835401600,M,16,16,False,57.0,47.0,5.0,4.0,0.0,24.0,27.0,23.0,30.0,1.0,4.0,,5.0,,,,76.0,65.0,7.0,13.0,0.0168304,,0,,0.01,0.22,0.15,,1.0,2.0,,,,1.0,2.0,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,
14025142,home,Manchester City,Bernardo Silva,bernardo-silva,B. Silva,M,20,173,62967,M,BSilva,331209,EUR,776476800,M,20,20,False,20.0,18.0,2.0,2.0,1.0,9.0,10.0,9.0,10.0,2.0,5.0,,7.0,,,,88.0,38.0,6.9,13.0,0.548563,,1,,0.4,0.07,-0.07,,1.0,11.0,1.0,5.0,,,2.0,2.0,2.0,,,2.0,1.0,,0.0539,-0.3,3.0,1.0,True,1.0,1.0,1.0,2.0,,,,,,,,,,,
14025142,home,Manchester City,Tijjani Reijnders,tijjani-reijnders,T. Reijnders,M,4,185,38485,M,tijjanireijnders,893549,EUR,901670400,M,4,4,False,35.0,30.0,3.0,,0.0,18.0,19.0,12.0,16.0,1.0,3.0,3.0,3.0,,,,90.0,49.0,6.9,8.0,0.0192078,,3,,0.04,0.35,0.31,,,2.0,,2.0,,,1.0,,,,,,2.0,,0.4092,-0.51,1.0,1.0,,,,,1.0,1.0,1.0,1.0,0.18,,,,,,,
14025142,home,Manchester City,Phil Foden,phil-foden,P. Foden,M,47,171,175652,M,Foden,859765,EUR,959472000,M,47,47,False,54.0,46.0,8.0,4.0,0.0,24.0,26.0,22.0,28.0,,2.0,,11.0,,,,90.0,66.0,7.6,12.0,0.032859,,2,,0.07,0.26,0.14,,3.0,5.0,,3.0,1.0,1.0,1.0,1.0,,,,,1.0,,0.2691,0.45,1.0,,,1.0,,,1.0,,1.0,,0.7249,1.0,,,,,,
14025142,home,Manchester City,Jérémy Doku,jeremy-doku,J. Doku,M,11,173,69678,M,Dokss,934386,EUR,1022457600,M,11,11,False,24.0,20.0,1.0,1.0,2.0,6.0,6.0,14.0,18.0,1.0,7.0,,3.0,,,,77.0,48.0,8.3,17.0,0.750193,,0,,0.79,0.27,0.15,,,7.0,,6.0,2.0,1.0,,,,,,3.0,,,,,5.0,4.0,,,,2.0,4.0,,,1.0,,,,,,,,
