match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,captain,stat_aerialLost,stat_aerialWon,stat_wonTackle,stat_fouls,player_firstName,player_lastName,stat_challengeLost,stat_blockedScoringAttempt,stat_goalAssist,stat_bigChanceCreated,player_sofascoreId,stat_accurateCross,stat_bigChanceMissed,stat_punches,stat_clearanceOffLine,stat_errorLeadToAShot,stat_totalOffside
10382021,home,FC Twente,Lars Unnerstall,lars-unnerstall,L. Unnerstall,G,1,198,265,M,94835,EUR,648432000,G,1,1,False,16.0,5.0,13.0,2.0,3.0,4.0,2.0,12.0,11.0,1.0,1.0,90.0,22.0,7.3,11.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382021,home,FC Twente,Joshua Brenet,joshua-brenet,J. Brenet,D,30,181,142,M,296438,EUR,764121600,D,20,20,False,34.0,25.0,3.0,2.0,2.0,5.0,23.0,31.0,9.0,,,90.0,59.0,7.8,16.0,2,2.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,
10382021,home,FC Twente,Robin Pröpper,robin-propper,R. Pröpper,D,3,190,269,M,196082,EUR,748742400,D,3,3,False,39.0,30.0,12.0,7.0,12.0,15.0,18.0,25.0,2.0,,,90.0,53.0,7.4,14.0,2,1.0,6.0,7.0,,2.0,,1.0,1.0,,4.0,1.0,1.0,1.0,2.0,,1.0,True,2.0,6.0,1.0,2.0,,,,,,,,,,,,,
10382021,home,FC Twente,Julio Pleguezuelo,julio-pleguezuelo,J. Pleguezuelo,D,5,180,108,M,788238,EUR,854236800,D,4,4,False,31.0,21.0,8.0,3.0,16.0,21.0,5.0,10.0,11.0,,,90.0,47.0,7.0,11.0,1,,8.0,9.0,,3.0,2.0,,,,5.0,,,1.0,,2.0,,,5.0,4.0,1.0,1.0,,,1.0,1.0,,,,,,,,,
10382021,home,FC Twente,Gijs Smal,gijs-smal,G. Smal,D,5,183,339,M,860160,EUR,872985600,D,5,5,False,48.0,44.0,5.0,3.0,20.0,21.0,24.0,33.0,10.0,,,90.0,79.0,8.3,13.0,1,6.0,2.0,5.0,,1.0,1.0,1.0,,,,,3.0,2.0,1.0,2.0,2.0,,1.0,,,1.0,,,,,1.0,1.0,,,,,,,
10382021,home,FC Twente,Ramiz Zerrouki,ramiz-zerrouki,R. Zerrouki,M,6,183,8083,M,989882,EUR,896140800,M,8,8,False,40.0,35.0,4.0,2.0,11.0,13.0,26.0,30.0,5.0,,,69.0,51.0,6.9,6.0,1,3.0,3.0,2.0,,,,,1.0,,,,1.0,,,1.0,2.0,,,1.0,,2.0,,,1.0,,,,rramizz_,2.0,1.0,,,,
10382021,home,FC Twente,Michal Sadílek,michal-sadilek,M. Sadílek,M,23,168,329,M,825731,EUR,928108800,M,23,23,False,44.0,32.0,7.0,2.0,13.0,17.0,19.0,33.0,6.0,,,90.0,61.0,7.1,20.0,2,6.0,7.0,5.0,1.0,,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,2.0,,3.0,3.0,,2.0,,,1.0,,,1.0,,,,,,,
10382021,home,FC Twente,Daan Rots,daan-rots,D. Rots,M,11,179,509,M,1048430,EUR,996019200,M,11,11,False,24.0,19.0,2.0,2.0,5.0,6.0,14.0,22.0,1.0,,,83.0,48.0,6.7,12.0,2,4.0,5.0,5.0,1.0,3.0,2.0,2.0,,,1.0,,,1.0,1.0,,,,1.0,2.0,,3.0,,,,,,,,,1.0,,,,
10382021,home,FC Twente,Michel Vlap,michel-vlap,M. Vlap,M,14,189,423,M,798181,EUR,865209600,M,18,18,False,19.0,17.0,1.0,1.0,2.0,4.0,16.0,16.0,2.0,,,69.0,26.0,7.4,6.0,0,1.0,1.0,1.0,,,,,,,,,,,4.0,1.0,3.0,,1.0,,,,,,,,1.0,1.0,,1.0,,,,,
10382021,home,FC Twente,Virgil Misidjan,virgil-misidjan,V. Misidjan,F,7,173,282,M,148623,EUR,743472000,M,10,10,False,25.0,18.0,1.0,,2.0,4.0,16.0,25.0,2.0,,,83.0,51.0,8.1,23.0,2,4.0,6.0,6.0,3.0,2.0,,1.0,1.0,1.0,1.0,,1.0,1.0,6.0,3.0,2.0,,,2.0,,1.0,,,,,1.0,1.0,,,,,,,
