match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_accurateLongBalls,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,captain,stat_accurateCross,stat_shotOffTarget,stat_outfielderBlock,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_totalOffside,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_bigChanceMissed,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches
11373444,home,Bolton Wanderers,Joel Coleman,joel-coleman,J. Coleman,G,43,198,27,M,344873,EUR,812073600,G,13,13,False,30.0,26.0,4.0,26.0,26.0,4.0,11.0,1.0,1.0,1.0,90.0,40.0,6.9,4.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11373444,home,Bolton Wanderers,William Forrester,william-forrester,W. Forrester,D,6,180,24,M,1007040,EUR,993772800,D,15,15,False,109.0,97.0,6.0,27.0,31.0,80.0,4.0,,,,84.0,123.0,7.6,16.0,1,,,4.0,70.0,2.0,1.0,2.0,3.0,5.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
11373444,home,Bolton Wanderers,Ricardo Santos,ricardo-santos,R. Santos,D,23,196,94,M,555376,EUR,803433600,D,5,5,False,102.0,93.0,9.0,45.0,50.0,52.0,7.0,,,,90.0,111.0,7.8,9.0,0,,,6.0,48.0,,1.0,9.0,1.0,12.0,,,,,,3.0,1.0,3.0,3.0,True,,,,,,,,,,,,,,,
11373444,home,Bolton Wanderers,Jack Iredale,jack-iredale,J. Iredale,D,15,184,73,M,892093,EUR,830995200,D,3,3,False,110.0,96.0,9.0,44.0,49.0,65.0,5.0,,,,90.0,131.0,7.8,19.0,2,,,5.0,53.0,4.0,3.0,3.0,5.0,5.0,,,1.0,,1.0,2.0,2.0,1.0,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,
11373444,home,Bolton Wanderers,Josh Dacres-Cogley,josh-dacres-cogley,J. Dacres-Cogley,M,2,174,26,M,845903,EUR,826588800,M,12,12,False,96.0,87.0,2.0,18.0,18.0,80.0,4.0,,,,90.0,122.0,7.4,15.0,1,,,,69.0,2.0,1.0,,4.0,2.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,1.0,,2.0,,2.0,1.0,1.0,,,,,,,
11373444,home,Bolton Wanderers,Edmond-Paris Maghoma,maghoma-edmond-paris,E. Maghoma,M,25,178,297,M,907500,EUR,989280000,M,19,19,False,34.0,32.0,1.0,3.0,4.0,33.0,2.0,,,,73.0,49.0,7.8,7.0,4,,,1.0,30.0,3.0,2.0,,4.0,3.0,,1.0,1.0,1.0,2.0,,,1.0,1.0,,1.0,2.0,,1.0,1.0,1.0,4.0,,1.0,,,,,,
11373444,home,Bolton Wanderers,George Thomason,george-thomason,G. Thomason,M,14,177,81,M,1014623,EUR,1010793600,M,4,4,False,84.0,70.0,9.0,23.0,28.0,56.0,13.0,,,,90.0,99.0,7.6,19.0,1,,,6.0,47.0,,,2.0,3.0,4.0,,,1.0,,1.0,2.0,3.0,2.0,2.0,,,,,3.0,,2.0,1.0,,,,,,,,
11373444,home,Bolton Wanderers,Zachary Ashworth,zachary-ashworth,Z. Ashworth,D,26,176,28,M,1083027,EUR,1031270400,M,26,26,False,63.0,48.0,2.0,12.0,15.0,57.0,5.0,,,,90.0,97.0,8.1,25.0,1,Zachary Ashworth,,,37.0,9.0,2.0,3.0,4.0,9.0,1.0,,3.0,2.0,,,1.0,2.0,1.0,,1.0,,,,2.0,,2.0,,,1.0,1.0,,,,
11373444,home,Bolton Wanderers,Dan N'Lundulu,dan-nlundulu,D. N'Lundulu,F,14,185,92,M,920374,EUR,918172800,F,11,11,False,24.0,16.0,,1.0,1.0,23.0,,,,,74.0,30.0,6.8,12.0,1,,,,15.0,,1.0,2.0,2.0,2.0,,1.0,,,,1.0,,,,,,,,3.0,,,,1.0,,1.0,,,,,
11373444,home,Bolton Wanderers,Cameron Jerome,cameron-jerome,C. Jerome,F,,185,35,M,16303,EUR,524361600,F,35,35,False,26.0,21.0,1.0,2.0,2.0,24.0,,,,,64.0,29.0,6.8,6.0,0,,,1.0,19.0,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,
