match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_aerialLost,stat_bigChanceCreated,stat_shotOffTarget,stat_expectedGoals,stat_keyPass,stat_totalCross,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_expectedGoalsOnTarget,player_firstName,player_lastName,stat_totalContest,stat_wonContest,captain,stat_accurateCross,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_totalOffside,stat_lastManTackle,stat_errorLeadToAShot,stat_errorLeadToAGoal
12436986,home,Chelsea,Filip Jørgensen,filip-jorgensen,F. Jørgensen,G,12,190,13907,M,filipjorgensen1,962053,EUR,1018915200,G,12,12,False,35.0,31.0,8.0,4.0,0.0,30.0,31.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,90.0,39.0,7.2,4.0,0.00035912,0,0.6621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436986,home,Chelsea,Malo Gusto,gusto-malo,M. Gusto,D,27,179,19313,M,malogst,996958,EUR,1053302400,D,27,27,False,68.0,61.0,5.0,1.0,0.0,27.0,28.0,34.0,40.0,1.0,3.0,5.0,,,,90.0,82.0,6.9,11.0,0.0249666,0,,6.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
12436986,home,Chelsea,Tosin Adarabioyo,tosin-adarabioyo,T. Adarabioyo,D,4,196,10523,M,tosinadarabioyo,352668,EUR,875059200,D,4,4,False,76.0,66.0,9.0,4.0,1.0,47.0,51.0,19.0,25.0,5.0,6.0,2.0,,,,90.0,88.0,7.7,10.0,0.0170898,1,,6.0,,,7.0,1.0,1.0,,,,6.0,1.0,1.0,0.038,1.0,,,,,,,,,,,,,,,,,
12436986,home,Chelsea,Levi Colwill,levi-colwill,L. Colwill,D,6,187,17899,M,LColwill,996911,EUR,1046217600,D,6,6,False,81.0,78.0,1.0,1.0,0.0,47.0,49.0,31.0,33.0,2.0,5.0,9.0,1.0,,,90.0,96.0,8.3,5.0,0.0251633,1,,3.0,,1.0,2.0,2.0,2.0,1.0,,1.0,1.0,,,0.1439,1.0,1.0,1.0,1.0,1.0,0.2808,,,,,,,,,,,,
12436986,home,Chelsea,Marc Cucurella,marc-cucurella,M. Cucurella,D,3,175,37239,M,cucurella3,794939,EUR,901065600,D,3,3,False,59.0,55.0,2.0,,0.0,16.0,18.0,39.0,41.0,,8.0,6.0,1.0,,,90.0,87.0,8.7,7.0,0.0612999,1,,1.0,,,1.0,1.0,6.0,5.0,2.0,2.0,,,,0.3658,,,1.0,1.0,1.0,0.9109,,,1.0,1.0,,,,,,,,
12436986,home,Chelsea,Enzo Fernández,enzo-fernandez,E. Fernández,M,8,177,121227,M,Enzo8,974505,EUR,979689600,M,8,8,False,65.0,57.0,5.0,4.0,0.0,17.0,17.0,42.0,50.0,,5.0,7.0,2.0,,,89.0,79.0,8.8,11.0,0.543024,1,,,,,,,2.0,1.0,2.0,,,2.0,,0.0755,7.0,2.0,1.0,,1.0,0.2714,,,1.0,1.0,True,2.0,,,,,,
12436986,home,Chelsea,Moisés Caicedo,moises-caicedo,M. Caicedo,M,25,178,79319,M,MoisesCaicedo55,987650,EUR,1004659200,M,25,25,False,54.0,52.0,7.0,6.0,0.0,23.0,23.0,29.0,31.0,,2.0,4.0,,,,83.0,62.0,6.8,4.0,0.0357611,1,,4.0,2.0,1.0,,1.0,2.0,,1.0,1.0,,,,0.0257,,,,,,,,,,,,,1.0,,,,,
12436986,home,Chelsea,Jadon Sancho,sancho-jadon,J. Sancho,M,19,180,68579,M,JSancho,851100,EUR,953942400,M,19,19,False,38.0,33.0,1.0,,0.0,14.0,17.0,19.0,22.0,1.0,3.0,3.0,1.0,,,68.0,43.0,7.1,8.0,0.396411,0,,2.0,,1.0,,,,,,,,1.0,,,2.0,1.0,,,,,,,2.0,1.0,,,,,,,,
12436986,home,Chelsea,Cole Palmer,cole-palmer,C. Palmer,M,10,185,363781,M,ColdPalmer,982780,EUR,1020643200,M,20,20,False,47.0,39.0,5.0,3.0,0.0,5.0,7.0,35.0,41.0,,3.0,,1.0,,,90.0,67.0,7.3,13.0,0.0983859,7,,4.0,,3.0,,1.0,,,1.0,,,,4.0,1.3003,1.0,1.0,3.0,,,0.95,,,3.0,2.0,,1.0,,2.0,,,,
12436986,home,Chelsea,Christopher Nkunku,christopher-nkunku,C. Nkunku,F,18,175,49218,M,Nkunku,769333,EUR,879465600,M,18,18,False,27.0,24.0,,,1.0,6.0,6.0,18.0,22.0,1.0,3.0,4.0,2.0,,,83.0,37.0,8.7,7.0,0.152022,4,,2.0,,1.0,,,,,,,,,1.0,0.4238,2.0,1.0,2.0,1.0,,0.3496,,,1.0,,,,1.0,,1.0,,,
