match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_jerseyNumber,stat_aerialLost,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_aerialWon,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_totalOffside,stat_challengeLost,stat_shotOffTarget,stat_keyPass,stat_totalCross,stat_blockedScoringAttempt,stat_fouls,stat_accurateCross,stat_totalContest,stat_wonContest,stat_goalAssist,stat_bigChanceCreated,stat_bigChanceMissed,player_sofascoreId,stat_goodHighClaim,stat_errorLeadToAGoal,stat_hitWoodwork
10909918,home,Blackpool,Chris Maxwell,,,chris-maxwell,C. Maxwell,G,186.0,23,M,47866,EUR,649296000.0,G,1,1,False,True,32.0,8.0,28.0,4.0,6.0,7.0,2.0,25.0,14.0,3.0,4.0,90.0,42.0,6.9,24.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10909918,home,Blackpool,Andy Lyons,,,lyons-andy,A. Lyons,M,177.0,72,M,932236,EUR,965174400.0,D,24,24,False,,20.0,16.0,3.0,1.0,5.0,8.0,11.0,12.0,5.0,,,90.0,50.0,6.9,12.0,0,2,3.0,5.0,9.0,2.0,2.0,2.0,4.0,4.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,
10909918,home,Blackpool,Marvin Ekpiteta,,,marvin-ekpiteta,M. Ekpiteta,D,193.0,35,M,929867,EUR,809395200.0,D,21,21,False,,16.0,9.0,5.0,,7.0,11.0,2.0,5.0,3.0,,,90.0,34.0,7.7,7.0,1,21,,,3.0,,8.0,1.0,,,,1.0,2.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,
10909918,home,Blackpool,Jordan Thorniley,,,jordan-thorniley,J. Thorniley,D,181.0,21,M,845898,EUR,848793600.0,D,34,34,False,,24.0,14.0,12.0,4.0,9.0,13.0,5.0,11.0,3.0,,,90.0,30.0,6.5,10.0,1,,,1.0,4.0,,2.0,,1.0,,,1.0,2.0,,,,,1.0,1.0,,,,,,,,,,,,,,
10909918,home,Blackpool,James Husband,,,james-husband,J. Husband,D,180.0,22,M,810572,EUR,757555200.0,D,3,3,False,,35.0,24.0,9.0,5.0,12.0,14.0,12.0,21.0,4.0,,,89.0,64.0,7.4,19.0,1,3,2.0,3.0,4.0,,4.0,1.0,2.0,1.0,1.0,2.0,,,,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,
10909918,home,Blackpool,Shayne Lavery,,,shayne-lavery,S. Lavery,F,180.0,93,M,914879,EUR,913075200.0,M,19,19,False,,11.0,7.0,1.0,,,1.0,7.0,16.0,2.0,,,90.0,37.0,6.7,13.0,1,19,,6.0,5.0,2.0,2.0,1.0,4.0,3.0,1.0,,1.0,,,,,2.0,,,6.0,1.0,2.0,,,,,,,,,,
10909918,home,Blackpool,Sonny Carey,,,sonny-carey,S. Carey,M,184.0,144,M,1020336,EUR,979948800.0,M,16,16,False,,39.0,24.0,9.0,2.0,12.0,17.0,13.0,26.0,6.0,,,90.0,55.0,7.0,21.0,0,14,1.0,6.0,7.0,1.0,,3.0,3.0,2.0,1.0,1.0,2.0,,,1.0,,4.0,,1.0,4.0,,,1.0,1.0,1.0,,,,,,,
10909918,home,Blackpool,Charlie Patiño,,,charlie-patino,C. Patino,M,182.0,1422,M,1101040,EUR,1066348800.0,M,28,28,False,,31.0,16.0,4.0,1.0,11.0,13.0,6.0,22.0,3.0,,,68.0,44.0,6.6,20.0,0,6,3.0,9.0,9.0,2.0,1.0,,4.0,3.0,,,4.0,,,,,3.0,,,4.0,,1.0,1.0,1.0,1.0,,,,,,,
10909918,home,Blackpool,CJ Hamilton,,,cj-hamilton,C. Hamilton,M,185.0,40,M,827147,EUR,795916800.0,M,22,22,False,,15.0,9.0,1.0,,1.0,3.0,8.0,16.0,7.0,,,78.0,31.0,7.2,12.0,2,22,4.0,5.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,,1.0,1.0,1.0,,,,,,4.0,1.0,,,,,,,,,,,
10909918,home,Blackpool,Ian Carlo Poveda,,,poveda-ian-carlo,I. C. Poveda,M,167.0,708,M,907464,EUR,950054400.0,F,26,26,False,,14.0,12.0,,,4.0,5.0,10.0,13.0,6.0,,,90.0,39.0,8.8,12.0,4,36,,5.0,7.0,2.0,,,3.0,1.0,6.0,1.0,,2.0,1.0,1.0,,,1.0,2.0,4.0,1.0,3.0,2.0,3.0,3.0,1.0,1.0,,,,,
