match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_totalCross,stat_duelLost,stat_duelWon,stat_dispossessed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_totalTackle,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_challengeLost,stat_wasFouled,stat_fouls,stat_totalOffside,stat_goalAssist,stat_interceptionWon,stat_accurateCross,stat_totalContest,stat_blockedScoringAttempt,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_wonContest,stat_wonTackle,stat_penaltyWon,stat_bigChanceMissed,stat_goals,stat_bigChanceCreated,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_penaltyConceded
10411563,home,Milan,Mike Maignan,mike-maignan,M. Maignan,G,16,190,15444,M,MMaignan,191210,EUR,804729600,G,16,16,False,33.0,31.0,7.0,5.0,30.0,30.0,1.0,3.0,1.0,4.0,1.0,1.0,89.0,36.0,6.4,2.0,0.0,0.0,0.0008292,0,-0.0082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411563,home,Milan,Davide Calabria,davide-calabria,D. Calabria,D,2,177,2430,M,,318607,EUR,849830400,D,2,2,False,66.0,63.0,,,26.0,27.0,37.0,40.0,,1.0,,,84.0,81.0,7.0,5.0,0.0845,0.1901,0.0388689,3,,True,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
10411563,home,Milan,Malick Thiaw,malick-thiaw,M. Thiaw,D,12,194,6237,M,MThiaw,1014286,EUR,997228800,D,28,28,False,110.0,105.0,8.0,5.0,58.0,60.0,47.0,50.0,1.0,6.0,,,90.0,115.0,6.7,5.0,0.0,0.0,0.039353,0,,,,8.0,4.0,,,,,,,5.0,2.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,
10411563,home,Milan,Fikayo Tomori,fikayo-tomori,F. Tomori,D,23,185,7146,M,fikayotomori,788255,EUR,882489600,D,23,23,False,102.0,98.0,7.0,5.0,57.0,59.0,41.0,44.0,2.0,10.0,,,90.0,108.0,7.1,5.0,0.0,0.0,0.0286936,0,,,1.0,2.0,4.0,,,,,,1.0,1.0,3.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,
10411563,home,Milan,Theo Hernández,theo-hernandez,T. Hernández,D,19,184,26616,M,TheoHdez,788027,EUR,876096000,D,19,19,False,79.0,66.0,7.0,4.0,34.0,37.0,33.0,45.0,3.0,6.0,,,90.0,110.0,6.6,20.0,0.0312,0.0,0.168642,1,,,3.0,4.0,5.0,,,,,,,,4.0,1.0,1.0,1.0,,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,
10411563,home,Milan,Rade Krunić,rade-krunic,R. Krunić,M,33,184,2486,M,,155449,EUR,749952000,M,33,33,False,55.0,53.0,2.0,2.0,23.0,23.0,30.0,32.0,,3.0,,,71.0,57.0,7.0,2.0,0.0,0.0,0.0396077,0,,,,,2.0,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
10411563,home,Milan,Sandro Tonali,sandro-tonali,S. Tonali,M,8,181,14225,M,sandrotonali,892673,EUR,957744000,M,8,8,False,75.0,62.0,1.0,1.0,31.0,33.0,32.0,51.0,2.0,3.0,,,90.0,91.0,7.2,22.0,0.0,0.0,0.173611,0,,,9.0,,1.0,,,,,,5.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,
10411563,home,Milan,Junior Messias,junior-messias,J. Messias,F,10,179,1230,M,,888219,EUR,674092800,M,30,30,False,29.0,21.0,1.0,,6.0,8.0,15.0,22.0,1.0,2.0,,,84.0,44.0,6.5,12.0,0.0576,0.0,0.0363464,2,,,1.0,6.0,6.0,,1.0,,,2.0,,3.0,1.0,1.0,2.0,,,,,,3.0,1.0,1.0,,,1.0,1.0,,,,,,,,
10411563,home,Milan,Brahim Díaz,brahim-diaz,B. Díaz,M,21,170,258553,M,Brahim,835485,EUR,933638400,M,10,10,False,26.0,18.0,1.0,,3.0,3.0,15.0,24.0,1.0,3.0,,,72.0,46.0,7.0,18.0,0.0,0.0,0.0189827,0,,,1.0,6.0,10.0,2.0,,,,3.0,,1.0,1.0,,5.0,1.0,,,,,3.0,,5.0,,,1.0,2.0,1.0,,,,,,,
10411563,home,Milan,Rafael Leão,rafael-leao,R. Leão,M,10,188,75751,M,RLeão,851284,EUR,928972800,M,17,17,False,29.0,20.0,2.0,1.0,2.0,4.0,18.0,27.0,,3.0,,,90.0,62.0,8.0,20.0,1.137,1.3977,0.0406327,4,,,2.0,7.0,8.0,1.0,,2.0,,2.0,1.0,,,1.0,3.0,,,,1.0,,8.0,2.0,3.0,,,3.0,2.0,,1.0,2.0,,,,,
