match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_keeperSaveValue,stat_totalShots,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_shotValueNormalized,captain,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_onTargetScoringAttempt,player_firstName,stat_shotOffTarget,stat_dispossessed,player_lastName,stat_bigChanceMissed,stat_bigChanceCreated,stat_hitWoodwork,stat_totalOffside,stat_accurateCross,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_goals
14073464,home,Middlesbrough,Tom Glover,tom-glover,T. Glover,G,23,196.0,123,M,801462,EUR,882921600,G,23,23,False,22.0,18.0,7.0,3.0,0.0,18.0,18.0,4.0,8.0,1.0,1.0,90.0,29.0,5.5,5.0,-0.0002,0,0.0,0.01,-0.32,-0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14073464,home,Middlesbrough,Luke Ayling,luke-ayling,L. Ayling,D,12,183.0,340,M,102624,EUR,683078400,D,12,12,False,54.0,45.0,6.0,2.0,0.0,26.0,32.0,22.0,5.0,,,78.0,75.0,7.0,13.0,,1,0.17,0.08,0.33,,19.0,2.0,2.0,1.0,4.0,4.0,1.0,2.0,2.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,0.02,,,,,,,,,,,,,,,,,,
14073464,home,Middlesbrough,Alfie Jones,alfie-jones,A. Jones,D,5,191.0,116,M,845426,EUR,876182400,D,5,5,False,54.0,51.0,2.0,1.0,0.0,39.0,41.0,13.0,5.0,,,90.0,70.0,6.6,5.0,,0,0.14,0.03,-0.18,,12.0,,,1.0,2.0,2.0,,,,,4.0,2.0,2.0,,2.0,,,True,2.0,1.0,1.0,,,,,,,,,,,,,,
14073464,home,Middlesbrough,Neto Borges,neto-borges,N. Borges,D,21,183.0,243,M,920008,EUR,842572800,D,30,30,False,68.0,57.0,4.0,1.0,0.0,38.0,43.0,25.0,8.0,,,90.0,89.0,6.1,13.0,,0,0.25,0.12,-0.53,,19.0,1.0,2.0,,2.0,4.0,,,,,2.0,,,1.0,,1.0,,,2.0,3.0,1.0,,,,,,,,,,,,,,
14073464,home,Middlesbrough,Callum Brittain,callum-brittain,C. Brittain,D,2,178.0,64,M,828620,EUR,889660800,M,2,2,False,60.0,53.0,6.0,3.0,0.0,21.0,24.0,36.0,5.0,,,90.0,87.0,6.6,16.0,,1,0.18,0.45,-0.16,,32.0,6.0,3.0,,8.0,7.0,2.0,4.0,3.0,,1.0,,1.0,1.0,2.0,,-0.16,,1.0,3.0,3.0,1.0,,,,,,,,,,,,,
14073464,home,Middlesbrough,Abdoulaye Kanté,abdoulaye-kante,A. Kanté,M,14,180.0,293,M,1512625,EUR,1120867200,M,42,42,False,38.0,37.0,1.0,1.0,0.0,18.0,19.0,19.0,6.0,,,61.0,50.0,6.6,3.0,,2,0.27,0.06,-0.02,,19.0,,,,3.0,4.0,,1.0,,,,,1.0,3.0,2.0,,-0.21,,1.0,1.0,1.0,,Abdoulaye Kante,2.0,,,,,,,,,,,
14073464,home,Middlesbrough,Law McCabe,mccabe-law,L. McCabe,M,49,173.0,38,M,1469341,EUR,1137369600,M,28,28,False,67.0,55.0,4.0,3.0,0.0,24.0,27.0,40.0,3.0,,,78.0,75.0,7.2,13.0,,2,0.33,0.26,-0.1,,31.0,,,1.0,1.0,3.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,3.0,-0.14,,,,,,,1.0,,,,,,,,,,,
14073464,home,Middlesbrough,George McCormick,george-mccormick,G. McCormick,D,3,,19,M,1637690,EUR,1106784000,M,40,40,False,34.0,21.0,2.0,1.0,0.0,12.0,14.0,20.0,4.0,,,60.0,44.0,6.0,18.0,,0,-0.31,0.05,-0.12,,9.0,1.0,1.0,,3.0,1.0,,1.0,,,1.0,,2.0,,1.0,,,,,1.0,1.0,,,,1.0,,,,,,,,,,
14073464,home,Middlesbrough,Morgan Whittaker,morgan-whittaker,M. Whittaker,M,11,183.0,925,M,990222,EUR,978825600,F,11,11,False,42.0,34.0,2.0,1.0,0.0,10.0,11.0,31.0,2.0,,,90.0,76.0,7.1,28.0,,5,0.3,0.31,0.16,,24.0,8.0,1.0,,6.0,5.0,,3.0,2.0,,,,5.0,,,1.0,-0.54,,,3.0,2.0,3.0,,2.0,4.0,,1.0,,,,,,,,
14073464,home,Middlesbrough,Delano Burgzorg,delano-burgzorg,D. Burgzorg,M,11,185.0,220,M,914276,EUR,910396800,F,10,10,False,25.0,25.0,,,0.0,7.0,7.0,18.0,3.0,,,90.0,36.0,7.4,3.0,,3,0.07,0.31,0.16,,18.0,,1.0,,1.0,5.0,,1.0,1.0,1.0,,,3.0,4.0,,2.0,-0.21,,,,,1.0,,1.0,,,,1.0,1.0,4.0,,,,,
14073464,home,Middlesbrough,Tommy Conway,tommy-conway,T. Conway,F,9,185.0,633,M,1104987,EUR,1028592000,F,9,9,False,25.0,20.0,,,0.0,10.0,11.0,14.0,1.0,,,61.0,35.0,6.3,11.0,,0,-0.11,-0.52,-0.03,,10.0,,2.0,,4.0,1.0,,2.0,,,,,3.0,1.0,,1.0,,,,,,,Tommy Conway,,,,,,,,,,,,
