match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_duelLost,stat_challengeLost,stat_totalContest,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,player_sofascoreId,stat_unsuccessfulTouch,stat_aerialLost,stat_shotOffTarget,stat_expectedGoals,stat_shotValueNormalized,stat_totalCross,stat_accurateCross,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_keyPass,stat_dispossessed,stat_wonContest,stat_goals,stat_totalOffside,stat_blockedScoringAttempt,captain,stat_hitWoodwork,stat_bigChanceCreated,stat_savedShotsFromInsideTheBox,stat_lastManTackle,stat_errorLeadToAGoal
14572629,home,Roma,Mile Svilar,svilar-mile,M. Svilar,G,99,189,4533,M,793986,EUR,935712000,G,99,99,False,21.0,13.0,14.0,6.0,0.0,11.0,15.0,2.0,6.0,1.0,2.0,9.0,1.0,1.0,1.0,2.0,2.0,90.0,35.0,6.7,9.0,0.00189859,41.009788370146,7.0,24.045,7.035,0.0022,0,-0.1568,0.08,0.02,-0.03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572629,home,Roma,Daniele Ghilardi,daniele-ghilardi,D. Ghilardi,D,87,189,1175,M,1384847,EUR,1041811200,D,87,87,False,41.0,29.0,4.0,,0.0,14.0,19.0,15.0,22.0,3.0,11.0,10.0,1.0,,,,,90.0,55.0,7.4,13.0,0.0123828,95.890881161491,7.0,44.415,25.305,,0,,0.17,0.09,0.35,,,,6.0,1.0,1.0,1.0,1.0,1.0,7.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,
14572629,home,Roma,Evan Ndicka,evan-ndicka,E. Ndicka,D,5,190,9187,M,848287,EUR,935107200,D,5,5,False,43.0,37.0,3.0,1.0,0.0,25.0,27.0,12.0,16.0,2.0,6.0,5.0,1.0,,,,,90.0,57.0,6.9,8.0,0.00412868,136.69303335771,13.0,56.385,17.01,,0,,0.07,0.05,-0.13,,,,1.0,1.0,,7.0,,1.0,3.0,3.0,,evanndicka,2.0,,,,,,,,,,,,,,,,,,,,
14572629,home,Roma,Gianluca Mancini,gianluca-mancini,G. Mancini,D,23,190,4065,M,611210,EUR,829699200,D,23,23,False,49.0,45.0,5.0,2.0,0.0,26.0,27.0,19.0,22.0,3.0,4.0,5.0,1.0,,,,,90.0,66.0,6.7,6.0,0.0117638,77.451838325835,10.0,58.59,13.755,,1,,0.2,0.07,-0.08,,,,5.0,1.0,,4.0,,2.0,,,2.0,,,2.0,1.0,0.0318,-0.09,,,,,,,,,,,,,,,,
14572629,home,Roma,Zeki Çelik,zeki-celik,Z. Çelik,D,19,180,2952,M,893008,EUR,856137600,M,19,19,False,31.0,25.0,1.0,1.0,1.0,8.0,8.0,17.0,23.0,2.0,4.0,4.0,,,,,,78.0,50.0,7.3,10.0,0.0512346,96.427685302487,11.0,16.8,11.97,,1,,0.0,0.3,0.23,,,,3.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,,1.0,,,0.0147,-0.14,2.0,1.0,1.0,0.2945,1.0,,,,,,,,,,,
14572629,home,Roma,Neil El Aynaoui,neil-el-aynaoui,N. El Aynaoui,M,8,186,16268,M,1128530,EUR,994032000,M,8,8,False,48.0,44.0,3.0,2.0,0.0,18.0,19.0,26.0,29.0,1.0,6.0,8.0,1.0,,,,,90.0,72.0,8.2,8.0,0.0174011,157.48730734165,15.0,84.63,28.98,,1,,0.28,0.09,0.15,,Neil,El Aynaoui,6.0,1.0,2.0,4.0,,2.0,3.0,1.0,1.0,,1.0,1.0,,0.0802,0.53,,,1.0,0.7895,,2.0,1.0,1.0,,,,,,,,
14572629,home,Roma,Manu Koné,manu-kone,M. Koné,M,17,186,6978,M,974087,EUR,990057600,M,17,17,False,19.0,17.0,,,0.0,5.0,6.0,12.0,13.0,,,,,,,,,27.0,20.0,6.6,2.0,0.0211433,28.073371388601,5.0,14.385,5.67,,0,,0.11,0.04,0.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
14572629,home,Roma,Wesley,wesley-franca,Wesley,D,43,178,26920,M,1134200,EUR,1062806400,M,43,43,False,28.0,17.0,4.0,,0.0,5.0,9.0,12.0,19.0,2.0,6.0,4.0,3.0,,,,,90.0,64.0,6.5,26.0,0.0210541,99.863867876759,10.0,35.49,29.715,,0,,-0.07,0.05,0.3,,,,9.0,2.0,,,1.0,3.0,1.0,1.0,2.0,WesleyFranca03,8.0,1.0,,,,,,,,,4.0,,,1.0,,,,,,,
14572629,home,Roma,Matías Soulé,matias-soule,M. Soulé,F,18,182,12547,M,1082406,EUR,1050364800,F,18,18,False,37.0,30.0,3.0,2.0,0.0,7.0,8.0,23.0,29.0,,2.0,6.0,1.0,,,,,62.0,48.0,6.6,10.0,0.0759971,177.73507492544,19.0,73.605,29.4,,3,,0.03,0.31,0.25,,,,4.0,,1.0,1.0,1.0,,,,,matiassoule11,,1.0,1.0,0.1576,-0.51,,,1.0,0.1332,1.0,3.0,1.0,,,1.0,,,,,,
14572629,home,Roma,Lorenzo Pellegrini,lorenzo-pellegrini,L. Pellegrini,M,7,186,5682,M,555540,EUR,835142400,F,7,7,False,35.0,30.0,1.0,,0.0,8.0,9.0,22.0,26.0,,6.0,3.0,4.0,,,,,62.0,53.0,7.0,13.0,0.116074,78.41612385213,13.0,1.47,9.345,,1,,0.21,0.02,-0.01,,,,1.0,,,,,,2.0,1.0,,lorepelle7,2.0,1.0,,0.0466,-0.08,7.0,1.0,,,4.0,,,,,1.0,True,,,,,
14572629,home,Roma,Paulo Dybala,paulo-dybala,P. Dybala,F,21,177,117206,M,256219,EUR,753321600,F,21,21,False,26.0,23.0,,,0.0,5.0,6.0,18.0,20.0,,1.0,2.0,1.0,,,,,78.0,35.0,6.5,8.0,0.0397647,63.816502948652,8.0,11.025,10.08,,1,,-0.18,0.24,-0.06,,,,3.0,1.0,1.0,,,,,,,LaJoya,4.0,1.0,,0.0598,0.09,,,1.0,0.5734,2.0,,,,1.0,,,,,,,
14572629,home,Roma,Bryan Cristante,bryan-cristante,B. Cristante,M,4,186,2776,M,186855,EUR,794188800,M,4,4,True,51.0,42.0,8.0,5.0,0.0,23.0,24.0,19.0,27.0,3.0,6.0,3.0,1.0,,,,,63.0,57.0,6.8,10.0,0.019389,138.50189504017,16.0,77.385,15.435,,1,,0.26,0.17,-0.2,,,,7.0,3.0,1.0,1.0,,,1.0,,2.0,,1.0,2.0,,0.0324,-0.27,,,,,,,1.0,,,1.0,,,,,,
14572629,home,Roma,Evan Ferguson,evan-ferguson,E. Ferguson,F,11,188,8315,M,999231,EUR,1098144000,F,11,11,True,6.0,4.0,,,0.0,,,4.0,6.0,2.0,3.0,1.0,1.0,,,,,28.0,10.0,6.7,3.0,0.0155463,24.48595625311,3.0,-1.47,2.1,,0,,0.18,0.04,0.13,,,,3.0,,,,,,,,,EvanFerguson9,,3.0,,,,,,,,1.0,,,,,,,,,,,
14572629,home,Roma,Stephan El Shaarawy,stephan-el-shaarawy,S. El Shaarawy,F,22,178,5701,M,45925,EUR,720144000,F,92,92,True,6.0,4.0,,,0.0,2.0,3.0,2.0,3.0,,1.0,,1.0,,,,,28.0,14.0,8.2,2.0,0.174824,43.839668259685,2.0,36.75,20.58,,4,,0.41,0.33,0.2,,,,1.0,,,1.0,,,,,1.0,stewel92,,,2.0,0.4197,0.47,,,2.0,0.3139,,,,1.0,,,,1.0,,,,
14572629,home,Roma,Konstantinos Tsimikas,konstantinos-tsimikas,K. Tsimikas,D,12,178,16094,M,786259,EUR,831859200,D,12,12,True,3.0,2.0,,,0.0,2.0,2.0,0.0,1.0,,,,,,,,,12.0,6.0,6.3,1.0,0.0615112,12.45718122209,1.0,12.39,12.39,,0,,0.15,0.05,-0.18,,,,1.0,,,1.0,,,,,,TK21,,1.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,
14572629,home,Roma,Leon Bailey,leon-bailey,L. Bailey,M,31,178,7654,M,808590,EUR,871084800,F,31,31,True,6.0,4.0,,,1.0,1.0,2.0,3.0,4.0,1.0,3.0,2.0,1.0,,,,,12.0,11.0,6.5,4.0,0.107791,44.530786683146,2.0,39.585,32.55,,0,,-0.46,0.28,-0.08,,,,2.0,2.0,,,,,1.0,1.0,,leonbailey,2.0,,,,,,,,,2.0,,,,,,,,1.0,,,
14572629,home,Roma,Pierluigi Gollini,pierluigi-gollini,P. Gollini,G,95,194,1277,M,329175,EUR,795484800,G,95,95,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572629,home,Roma,Giorgio De Marzi,giorgio-de-marzi,G. D. Marzi,G,70,186,309,M,1652568,EUR,1176854400,G,70,70,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572629,home,Roma,Devyne Rensch,devyne-rensch,D. Rensch,D,2,182,2450,M,982778,EUR,1042848000,D,2,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572629,home,Roma,Mario Hermoso,mario-hermoso,M. Hermoso,D,22,184,2636,M,353130,EUR,803433600,D,22,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572629,home,Roma,Jan Ziółkowski,jan-ziolkowski,J. Ziółkowski,D,24,194,4010,M,1499991,EUR,1117929600,D,24,24,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,Jan Ziólkowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572629,home,Roma,Niccolò Pisilli,niccolo-pisilli,N. Pisilli,M,61,180,2285,M,1175821,EUR,1095897600,M,61,61,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
