match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,player_jerseyNumber,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_wasFouled,stat_fouls,stat_keyPass,stat_outfielderBlock,stat_accurateCross,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_shotOffTarget,captain,stat_punches,stat_bigChanceCreated,stat_ownGoals,stat_bigChanceMissed
12448323,home,RKC Waalwijk,Jeroen Houwen,jeroen-houwen,J. Houwen,G,188,36,M,339367,EUR,824601600,G,1,1,False,20.0,13.0,12.0,5.0,0.0,9.0,11.0,4.0,9.0,5.0,2.0,3.0,90.0,24.0,7.2,7.0,0.00208563,0,0.3021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12448323,home,RKC Waalwijk,Faissal Al Mazyani,faissal-al-mazyani,F. A. Mazyani,D,179,681,M,1195771,EUR,1106006400,D,33,33,False,49.0,41.0,4.0,3.0,0.0,31.0,33.0,10.0,17.0,9.0,,,90.0,81.0,7.7,15.0,0.0118983,1,,Faissal Al Mazyani,,33,1.0,1.0,1.0,3.0,6.0,1.0,3.0,2.0,1.0,7.0,4.0,3.0,3.0,1.0,0.0612,,,,,,,,,,,,,,,
12448323,home,RKC Waalwijk,Julian Lelieveld,julian-lelieveld,J. Lelieveld,D,184,104,M,798179,EUR,880329600,D,2,2,False,42.0,37.0,10.0,6.0,0.0,22.0,23.0,15.0,19.0,4.0,,,77.0,56.0,7.1,6.0,0.0143906,0,,,,2,,1.0,,3.0,4.0,,,,,4.0,1.0,2.0,2.0,1.0,,2.0,2.0,1.0,,,,,,,,,,,,
12448323,home,RKC Waalwijk,Liam van Gelderen,liam-van-gelderen,L. v. Gelderen,D,178,172,M,910049,EUR,985305600,D,4,4,False,34.0,30.0,4.0,2.0,0.0,26.0,28.0,4.0,6.0,5.0,,,90.0,48.0,7.6,5.0,0.00298578,0,,,,4,,3.0,1.0,4.0,6.0,,1.0,1.0,,4.0,2.0,3.0,2.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,
12448323,home,RKC Waalwijk,Juan Familia-Castillo,juan-castillo,J. Familia-Castillo,D,175,185,M,856735,EUR,947721600,D,5,5,False,17.0,14.0,2.0,2.0,0.0,6.0,6.0,9.0,14.0,4.0,,,63.0,35.0,7.1,8.0,0.112882,0,,,,5,3.0,1.0,,3.0,3.0,,,,,2.0,1.0,2.0,2.0,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,
12448323,home,RKC Waalwijk,Kevin Felida,kevin-felida,K. Felida,M,172,104,M,896215,EUR,942278400,M,35,35,False,41.0,34.0,,,0.0,17.0,21.0,18.0,21.0,6.0,,,84.0,55.0,7.0,9.0,0.0216455,0,,,,6,1.0,,1.0,2.0,6.0,1.0,3.0,2.0,,,,3.0,1.0,1.0,,,,,,1.0,,,,,,,,,,
12448323,home,RKC Waalwijk,Tim van de Loo,tim-van-de-loo,T. v. d. Loo,M,180,36,M,1174460,EUR,1045872000,M,22,22,False,29.0,18.0,6.0,1.0,0.0,8.0,10.0,10.0,20.0,8.0,,,90.0,51.0,7.9,17.0,0.027227,1,,Tim van de Loo,,22,1.0,2.0,,4.0,4.0,1.0,2.0,2.0,,1.0,5.0,2.0,2.0,4.0,0.0258,,,1.0,1.0,,1.0,1.0,1.0,0.2575,,,,,,
12448323,home,RKC Waalwijk,Yassin Oukili,oukili-yassin,Y. Oukili,M,195,495,M,1010846,EUR,978480000,M,6,6,False,31.0,22.0,3.0,3.0,0.0,12.0,13.0,10.0,18.0,6.0,,,90.0,44.0,6.9,12.0,0.0213792,4,,,,5,,1.0,1.0,7.0,4.0,1.0,1.0,,1.0,2.0,,1.0,1.0,1.0,0.1794,2.0,3.0,1.0,,,1.0,,,,3.0,,,,,
12448323,home,RKC Waalwijk,Mohamed Ihattaren,mohamed-ihattaren,M. Ihattaren,M,182,2918,M,929633,EUR,1013472000,M,52,52,False,37.0,23.0,2.0,,0.0,12.0,16.0,13.0,31.0,4.0,,,84.0,62.0,7.3,23.0,0.311862,1,,,,52,10.0,,,,4.0,,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0271,,,1.0,1.0,2.0,,,,,,,,,,
12448323,home,RKC Waalwijk,Oskar Zawada,oskar-zawada,O. Zawada,F,192,705,M,318745,EUR,823132800,F,9,9,False,21.0,14.0,1.0,,0.0,9.0,10.0,5.0,11.0,4.0,,,90.0,33.0,6.8,12.0,0.0476307,1,,,,19,,4.0,4.0,7.0,7.0,,1.0,,,1.0,,1.0,1.0,2.0,0.0918,2.0,,,,,2.0,,,,1.0,True,,,,
