match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_ballRecovery,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_keyPass,stat_aerialWon,stat_challengeLost,stat_onTargetScoringAttempt,stat_goals,stat_interceptionWon,stat_fouls,stat_expectedGoalsOnTarget,stat_dispossessed,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_outfielderBlock,stat_wasFouled,stat_accurateCross,player_sofascoreId,stat_hitWoodwork,stat_goalAssist,stat_bigChanceCreated,captain,stat_totalOffside,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
11396352,home,RB Leipzig,Janis Blaswich,janis-blaswich,J. Blaswich,G,28,193,639,M,96832,EUR,673142400,G,21,21,False,28.0,26.0,8.0,6.0,23.0,24.0,3.0,4.0,1.0,1.0,11.0,1.0,3.0,3.0,90.0,37.0,6.5,2.0,0.00104758,0,-0.8052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396352,home,RB Leipzig,Benjamin Henrichs,benjamin-henrichs,B. Henrichs,D,39,182,1142,M,319857,EUR,856656000,D,39,39,False,56.0,39.0,9.0,1.0,22.0,26.0,17.0,34.0,,1.0,8.0,,,,90.0,82.0,7.3,25.0,0.215237,2,,,,4.0,6.0,3.0,2.0,2.0,1.0,4.0,3.0,2.0,0.0683,2.0,,,,,,,,,,,,,,,,,,,,,,
11396352,home,RB Leipzig,Lukas Klostermann,lukas-klostermann,L. Klostermann,D,16,188,717,M,319853,EUR,833760000,D,16,16,False,55.0,53.0,1.0,1.0,30.0,31.0,23.0,24.0,,2.0,3.0,,,,90.0,62.0,7.4,2.0,0.0131197,1,,,,,2.0,,,,3.0,1.0,1.0,,0.5335,,1.0,1.0,1.0,1.0,1.0,1.0,0.961,,,,,,,,,,,,,,,
11396352,home,RB Leipzig,Mohamed Simakan,mohamed-simakan,M. Simakan,D,3,187,5879,M,945063,EUR,957312000,D,2,2,False,65.0,62.0,2.0,1.0,34.0,34.0,28.0,31.0,,4.0,2.0,,,,83.0,82.0,7.5,7.0,0.0119126,2,,,,,3.0,1.0,,,5.0,1.0,1.0,1.0,1.0648,,1.0,,1.0,1.0,1.0,1.0,0.4741,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,
11396352,home,RB Leipzig,David Raum,david-raum,D. Raum,D,22,180,2192,M,856076,EUR,893203200,D,22,22,False,53.0,51.0,3.0,2.0,27.0,29.0,27.0,36.0,1.0,3.0,2.0,,,,90.0,80.0,7.4,14.0,0.294607,0,,,,12.0,1.0,1.0,1.0,,1.0,,,1.0,,5.0,,,,,1.0,2.0,,,,,,,3.0,,,,,,,,,
11396352,home,RB Leipzig,Amadou Haidara,amadou-haidara,A. Haidara,M,21,174,6620,M,822708,EUR,886204800,M,8,8,False,28.0,23.0,3.0,1.0,8.0,12.0,15.0,16.0,,2.0,6.0,,,,58.0,33.0,6.7,5.0,0.249177,1,,,,,3.0,,,,1.0,2.0,,,0.0713,1.0,1.0,,,,,2.0,,,,1.0,,,,amadou_haidara04,,,,,,,,
11396352,home,RB Leipzig,Xaver Schlager,xaver-schlager,X. Schlager,M,24,174,1069,M,791079,EUR,875404800,M,24,24,False,73.0,67.0,9.0,7.0,20.0,22.0,47.0,51.0,,1.0,5.0,,,,90.0,77.0,7.1,7.0,0.0733342,0,,,,,2.0,1.0,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,
11396352,home,RB Leipzig,Christoph Baumgartner,christoph-baumgartner,C. Baumgartner,M,14,180,2738,M,825956,EUR,933465600,M,14,14,False,26.0,19.0,2.0,1.0,6.0,7.0,13.0,21.0,1.0,2.0,1.0,,,,66.0,40.0,7.2,12.0,0.0770804,2,,,,2.0,5.0,1.0,1.0,,,2.0,1.0,2.0,0.1081,2.0,1.0,,1.0,,,,0.2739,1.0,,1.0,,1.0,,,,,,,,,,
11396352,home,RB Leipzig,Xavi Simons,xavi-simons,X. Simons,M,7,179,50786,M,997183,EUR,1050883200,M,20,20,False,41.0,32.0,5.0,2.0,9.0,9.0,24.0,34.0,1.0,4.0,3.0,,,,83.0,61.0,7.8,15.0,0.204976,4,,,,2.0,6.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,0.2517,2.0,,,2.0,,,1.0,0.169,,,,,4.0,1.0,XaviSimons,1.0,,,,,,,
11396352,home,RB Leipzig,Loïs Openda,lois-openda,L. Openda,F,20,177,15660,M,835480,EUR,950659200,F,17,17,False,21.0,16.0,2.0,1.0,1.0,1.0,15.0,20.0,,2.0,,,,,83.0,29.0,7.4,7.0,0.0668067,3,,,,,3.0,,,1.0,2.0,,,,0.2472,1.0,3.0,,1.0,,,,0.1357,2.0,,1.0,,,,l_openda,,1.0,1.0,,,,,
