match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_errorLeadToAShot,stat_wasFouled,stat_crossNotClaimed,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_penaltyConceded,stat_fouls,stat_keyPass,stat_aerialWon,stat_dispossessed,stat_outfielderBlock,stat_bigChanceCreated,stat_accurateCross,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_expectedGoals,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,player_sofascoreId,stat_bigChanceMissed,stat_hitWoodwork,stat_totalOffside,stat_penaltyWon
12530742,home,Trabzonspor,Uğurcan Çakır,ugurcan-cakir,U. Çakır,G,1,192,4886,M,754330,EUR,828662400,G,1,1,False,True,41.0,27.0,19.0,6.0,0.0,25.0,26.0,2.0,15.0,1.0,13.0,1.0,1.0,1.0,3.0,1.0,4.0,90.0,52.0,6.9,14.0,0.00096647,0,0.7771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530742,home,Trabzonspor,Pedro Malheiro,pedro-malheiro,P. Malheiro,D,79,179,416,M,1131249,EUR,980035200,D,79,79,False,,33.0,30.0,4.0,4.0,0.0,14.0,15.0,16.0,19.0,3.0,3.0,,,,,,,90.0,48.0,6.6,7.0,0.00931677,0,,,,1.0,2.0,5.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,
12530742,home,Trabzonspor,Stefan Savić,stefan-savic,S. Savić,D,15,186,1710,M,76265,EUR,663292800,D,15,15,False,,54.0,48.0,6.0,4.0,0.0,29.0,29.0,19.0,25.0,2.0,4.0,,,,,,,69.0,59.0,6.9,7.0,0.00978119,0,,,,,,3.0,1.0,2.0,1.0,,,,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
12530742,home,Trabzonspor,Arseniy Batagov,arsenii-batahov,A. Batagov,D,44,185,941,M,981395,EUR,1015286400,D,44,44,False,,57.0,45.0,8.0,3.0,1.0,29.0,34.0,16.0,23.0,1.0,6.0,,,,,,,90.0,63.0,6.9,12.0,0.451654,0,,,,,2.0,4.0,1.0,3.0,,1.0,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,
12530742,home,Trabzonspor,Mustafa Eskihellaç,mustafa-eskihellac,M. Eskihellaç,D,19,175,571,M,899069,EUR,862790400,D,19,19,False,,36.0,34.0,1.0,,0.0,20.0,20.0,15.0,17.0,6.0,6.0,,2.0,,,,,90.0,59.0,7.2,6.0,0.0485818,1,,,,1.0,1.0,4.0,1.0,5.0,1.0,1.0,1.0,1.0,,,3.0,,2.0,,,1.0,3.0,3.0,1.0,0.0403,,,,,,,,,
12530742,home,Trabzonspor,Batista Mendy,batista-mendy,B. Mendy,M,19,191,1292,M,859021,EUR,947635200,M,6,6,False,,36.0,33.0,2.0,2.0,0.0,13.0,13.0,20.0,23.0,4.0,3.0,,,,,,,80.0,46.0,7.0,4.0,0.0568919,1,,,,,,6.0,1.0,2.0,2.0,2.0,,,,4.0,1.0,2.0,,2.0,,,1.0,,,0.0701,1.0,,,,,,,,
12530742,home,Trabzonspor,John Lundstram,john-lundstram,J. Lundstram,M,5,181,401,M,149815,EUR,761529600,M,5,5,False,,58.0,53.0,7.0,4.0,0.0,27.0,27.0,26.0,32.0,3.0,6.0,,,,,,,90.0,72.0,7.1,7.0,0.0703078,2,,,,1.0,1.0,3.0,2.0,2.0,2.0,,,1.0,,,1.0,1.0,,,,,2.0,2.0,1.0,0.2096,,1.0,0.149,,,,,,
12530742,home,Trabzonspor,Edin Višća,edin-visca,E. Višća,M,7,172,1000,M,109779,EUR,635212800,M,7,7,False,,31.0,23.0,2.0,1.0,1.0,7.0,8.0,18.0,29.0,7.0,,,2.0,,,,,87.0,61.0,9.1,17.0,0.440682,5,,,,6.0,,3.0,,,1.0,,,3.0,,2.0,4.0,1.0,1.0,,1.0,2.0,4.0,4.0,1.0,0.2651,3.0,1.0,0.2954,1.0,,,,,
12530742,home,Trabzonspor,Oleksandr Zubkov,oleksandr-zubkov,O. Zubkov,M,22,182,1318,M,353282,EUR,839030400,M,22,22,False,,41.0,33.0,2.0,1.0,1.0,10.0,14.0,24.0,28.0,4.0,5.0,,2.0,,,,,90.0,60.0,7.5,14.0,0.220091,5,,,,1.0,,5.0,3.0,,1.0,,,2.0,,1.0,3.0,,1.0,,,1.0,3.0,2.0,2.0,0.2343,1.0,2.0,0.521,,,,,,
12530742,home,Trabzonspor,Danylo Sikan,sikan-danylo,D. Sikan,F,14,185,1357,M,945479,EUR,987379200,M,14,14,False,,29.0,24.0,2.0,,0.0,9.0,9.0,15.0,20.0,1.0,5.0,,,,,,,80.0,51.0,6.2,16.0,0.146589,1,,,,,1.0,15.0,1.0,1.0,2.0,,,1.0,,3.0,2.0,1.0,4.0,,,,6.0,,,0.0267,1.0,,,,,,,,
