match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_totalTackle,stat_wonTackle,stat_keyPass,captain,stat_aerialLost,stat_aerialWon,stat_outfielderBlock,stat_interceptionWon,stat_fouls,stat_unsuccessfulTouch,stat_wasFouled,stat_blockedScoringAttempt,player_firstName,player_lastName,stat_totalCross,stat_goals,stat_accurateCross,stat_hitWoodwork,stat_goalAssist,stat_bigChanceCreated,stat_totalOffside
10390069,home,Paris Saint-Germain,Gianluigi Donnarumma,gianluigi-donnarumma,G. Donnarumma,G,25,196,69953,M,donnarumma,824509,EUR,919900800,G,99,99,False,20.0,16.0,7.0,3.0,16.0,16.0,4.0,1.0,13.0,3.0,7.0,1.0,90.0,37.0,8.5,4.0,0.0,0.0,7.566e-05,0,0.9342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10390069,home,Paris Saint-Germain,Achraf Hakimi,hakimi-achraf,A. Hakimi,D,2,181,124757,M,AHakimi,814594,EUR,910137600,D,2,2,False,35.0,32.0,1.0,1.0,14.0,14.0,21.0,,7.0,,,,90.0,57.0,7.5,4.0,0.4398,0.4175,0.0490763,2,,18.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,,,,,,,,,,,,,,,,,,
10390069,home,Paris Saint-Germain,Marquinhos,marquinhos,Marquinhos,D,5,183,36538,M,marquinhosm5,155995,EUR,768873600,D,5,5,False,47.0,43.0,7.0,6.0,35.0,38.0,9.0,5.0,7.0,,,,90.0,56.0,7.3,4.0,0.0316,0.0,0.00312311,1,,8.0,2.0,1.0,,,,,,1.0,,,,,True,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
10390069,home,Paris Saint-Germain,Danilo Pereira,danilo-pereira,D. Pereira,D,2,187,4067,M,DaniloP,99545,EUR,684374400,D,15,15,False,10.0,10.0,,,9.0,9.0,1.0,,,,,,25.0,10.0,6.6,,0.0,0.0,0.00012971,0,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
10390069,home,Paris Saint-Germain,Juan Bernat,juan-bernat,J. Bernat,D,,170,1161,M,,96368,EUR,730944000,D,14,14,False,45.0,45.0,,,28.0,28.0,17.0,3.0,3.0,,,,90.0,61.0,7.3,3.0,0.0,0.0,0.183086,0,,17.0,3.0,10.0,1.0,1.0,2.0,1.0,,,,4.0,2.0,1.0,,,1.0,,,,1.0,4.0,,,,,,,,,,
10390069,home,Paris Saint-Germain,Fabián Ruiz,fabian-ruiz,F. Ruiz,M,8,189,21859,M,fabianruiz52,784655,EUR,828489600,M,8,8,False,65.0,61.0,2.0,1.0,37.0,39.0,26.0,,10.0,,,,90.0,86.0,7.3,7.0,0.1254,0.0,0.165926,2,,24.0,9.0,7.0,3.0,1.0,3.0,2.0,,1.0,,5.0,,1.0,,,,1.0,1.0,4.0,1.0,,1.0,,,,,,,,,
10390069,home,Paris Saint-Germain,Marco Verratti,marco-verratti,M. Verratti,M,6,165,6337,M,marcoverratti,126691,EUR,720921600,M,6,6,False,67.0,62.0,4.0,3.0,24.0,24.0,43.0,1.0,4.0,,,,90.0,87.0,7.1,8.0,0.1924,0.1226,0.0901599,2,,38.0,3.0,7.0,2.0,1.0,2.0,2.0,1.0,,1.0,3.0,2.0,1.0,,,1.0,,2.0,,2.0,1.0,1.0,,,,,,,,,
10390069,home,Paris Saint-Germain,Vitinha,vitinha,Vitinha,M,17,172,50484,M,vitinha,902029,EUR,950400000,M,17,17,False,63.0,62.0,,,23.0,23.0,41.0,2.0,8.0,,,,90.0,77.0,7.1,5.0,0.1409,0.0,0.11593,1,,39.0,1.0,2.0,,,,,,,,2.0,1.0,1.0,,,,,1.0,1.0,2.0,,1.0,,,1.0,,,,,,
10390069,home,Paris Saint-Germain,Neymar,neymar,Neymar,F,10,175,1000788,M,Neymar,124712,EUR,697248000,M,10,10,False,59.0,51.0,3.0,3.0,16.0,19.0,43.0,,2.0,,,,88.0,90.0,7.2,23.0,0.2632,0.8988,0.168419,1,,35.0,9.0,9.0,2.0,4.0,5.0,2.0,,,1.0,1.0,,3.0,,,,,,,4.0,6.0,,,,3.0,1.0,,,,,
10390069,home,Paris Saint-Germain,Lionel Messi,lionel-messi,L. Messi,F,10,169,2023630,M,LM10,12994,EUR,551491200,F,30,30,False,35.0,31.0,3.0,3.0,11.0,12.0,25.0,,4.0,,,,79.0,57.0,7.5,12.0,0.5211,0.4498,0.525125,6,,21.0,8.0,6.0,,4.0,4.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,,,,,,1.0,,3.0,,,,2.0,,1.0,1.0,,,
