match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_aerialLost,stat_wasFouled,player_firstName,player_lastName,stat_wonContest,stat_shotOffTarget,stat_expectedGoals,stat_totalCross,stat_dispossessed,stat_bigChanceCreated,stat_keyPass,stat_bigChanceMissed,stat_penaltyWon,player_sofascoreId,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_totalOffside,stat_expectedGoalsOnTarget,stat_accurateCross,stat_blockedScoringAttempt,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyConceded
12530696,home,Başakşehir FK,Muhammed Şengezer,muhammed-sengezer,M. Şengezer,G,16,185,464,M,827418,EUR,852422400,G,16,16,False,35.0,21.0,22.0,8.0,0.0,15.0,17.0,6.0,18.0,1.0,9.0,2.0,5.0,7.0,90.0,50.0,8.7,15.0,0.00122281,0,2.7603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530696,home,Başakşehir FK,Ömer Ali Şahiner,omer-ali-sahiner,Ö. A. Şahiner,D,42,175,88,M,103912,EUR,694310400,D,42,42,False,48.0,41.0,2.0,,0.0,30.0,31.0,11.0,17.0,5.0,2.0,,,,90.0,67.0,6.8,10.0,0.00372439,0,,True,2.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
12530696,home,Başakşehir FK,Léo Duarte,leo-duarte,L. Duarte,D,5,183,505,M,839982,EUR,837561600,D,5,5,False,66.0,65.0,1.0,1.0,0.0,50.0,50.0,15.0,16.0,4.0,7.0,,,,90.0,76.0,7.1,1.0,0.00835793,0,,,5.0,8.0,7.0,,,,1.0,,,,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12530696,home,Başakşehir FK,Ousseynou Ba,ousseynou-ba,O. Ba,D,27,192,385,M,889430,EUR,816048000,D,27,27,False,94.0,89.0,4.0,3.0,0.0,58.0,59.0,31.0,35.0,9.0,2.0,,,,90.0,106.0,7.3,6.0,0.0153823,0,,,2.0,3.0,3.0,,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
12530696,home,Başakşehir FK,Christopher Operi,christopher-operi,C. Operi,D,21,182,1314,M,858977,EUR,862272000,D,21,21,False,71.0,59.0,5.0,3.0,0.0,33.0,38.0,26.0,33.0,6.0,8.0,,,,90.0,91.0,7.5,13.0,0.018575,1,,,1.0,2.0,5.0,,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,,,1.0,1.0,0.0123,,,,,,,,,,,,,,,,,,
12530696,home,Başakşehir FK,Miguel Crespo,miguel-crespo,M. Crespo,M,13,187,618,M,972410,EUR,842400000,M,13,13,False,31.0,25.0,1.0,1.0,0.0,8.0,10.0,17.0,24.0,1.0,4.0,,,,87.0,44.0,6.9,12.0,0.025264,0,,,3.0,4.0,7.0,,1.0,,1.0,1.0,2.0,1.0,2.0,2.0,,,1.0,,,3.0,1.0,,,,,,,,,,,,,,,,
12530696,home,Başakşehir FK,Berat Ayberk Özdemir,berat-ayberk-ozdemir,B. A. Özdemir,M,2,187,216,M,876857,EUR,895881600,M,2,2,False,57.0,52.0,5.0,3.0,0.0,30.0,30.0,22.0,27.0,,1.0,,,,90.0,66.0,6.6,9.0,0.016949,1,,,,5.0,3.0,2.0,2.0,,1.0,1.0,2.0,1.0,,1.0,,,1.0,1.0,0.0716,,1.0,,,,,,,,,,,,,,,,
12530696,home,Başakşehir FK,Olivier Kemen,olivier-kemen,O. Kemen,M,8,177,827,M,280447,EUR,837820800,M,8,8,False,21.0,16.0,4.0,1.0,0.0,2.0,3.0,14.0,18.0,1.0,2.0,,,,87.0,38.0,6.8,14.0,0.0543181,0,,,,7.0,2.0,1.0,5.0,1.0,,,5.0,2.0,,1.0,,,1.0,,,,,1.0,3.0,,,,,,,,,,,,,,
12530696,home,Başakşehir FK,Yusuf Sarı,yusuf-sari,Y. Sarı,M,7,168,562,M,896364,EUR,911520000,F,26,26,False,26.0,19.0,3.0,1.0,0.0,12.0,12.0,7.0,17.0,,6.0,,,,80.0,41.0,6.9,13.0,0.00489577,1,,,,3.0,4.0,,3.0,1.0,,,1.0,,2.0,2.0,,,2.0,1.0,0.2509,3.0,,,1.0,1.0,1.0,,,,,,,,,,,,
12530696,home,Başakşehir FK,Krzysztof Piątek,krzysztof-piatek,K. Piątek,F,9,183,13169,M,558738,EUR,804556800,F,9,9,False,22.0,17.0,,,0.0,7.0,7.0,10.0,15.0,1.0,1.0,,,,87.0,33.0,7.3,9.0,0.0312615,1,,,4.0,9.0,7.0,,,,1.0,1.0,1.0,1.0,5.0,2.0,,,,,0.7884,,3.0,,,,,pjona_9,1.0,1.0,1.0,1.0,0.8519,,,,,,
