match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,captain,stat_dispossessed,stat_blockedScoringAttempt,stat_fouls,stat_aerialWon,stat_challengeLost,stat_outfielderBlock,stat_onTargetScoringAttempt,stat_errorLeadToAGoal,stat_totalOffside,stat_ownGoals,player_sofascoreId,stat_goodHighClaim,stat_goals,stat_goalAssist,stat_bigChanceCreated
11067357,home,Goiás,Marcelo Rangel,marcelo-rangel,M. Rangel,G,88,186,371,M,870902,EUR,579830400,G,88,88,False,18.0,15.0,7.0,4.0,13.0,14.0,2.0,4.0,1.0,4.0,1.0,3.0,1.0,90.0,24.0,5.5,3.0,0.0,0.0,0.00015327,0,-2.0468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067357,home,Goiás,Dieguinho,dieguinho,Dieguinho,M,20,175,466,M,1016930,EUR,815097600,D,20,20,False,37.0,32.0,4.0,1.0,15.0,15.0,19.0,27.0,2.0,7.0,,,,90.0,66.0,6.9,10.0,0.0202,0.0,0.133609,1,,,,5.0,2.0,3.0,3.0,11.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,7.0,2.0,,,,,,,,,,,,,,,,
11067357,home,Goiás,Lucas Halter,lucas-halter,L. Halter,D,5,187,777,M,905450,EUR,957225600,D,3,3,False,17.0,15.0,1.0,,14.0,15.0,1.0,2.0,2.0,,,,,41.0,24.0,5.2,4.0,0.0686,0.0,0.00031802,1,,,,,,1.0,4.0,1.0,2.0,1.0,,,,,,,,True,1.0,1.0,1.0,,,,,,,,,,,,
11067357,home,Goiás,Bruno Melo,bruno-melo,Bruno Melo,D,26,183,189,M,870851,EUR,720057600,D,19,19,False,50.0,45.0,5.0,3.0,29.0,30.0,16.0,20.0,6.0,6.0,,,,90.0,62.0,6.3,5.0,0.1379,0.0,0.0139435,2,,,,,,,2.0,5.0,,,1.0,,1.0,1.0,,1.0,,,,1.0,1.0,3.0,1.0,1.0,,,,,,,,,
11067357,home,Goiás,Sander,sander,Sander,D,6,177,84,M,795014,EUR,654912000,D,6,6,False,49.0,41.0,2.0,1.0,18.0,22.0,24.0,30.0,4.0,5.0,,,,90.0,76.0,6.6,12.0,0.0,0.0,0.0358446,0,,,,3.0,1.0,,2.0,10.0,2.0,2.0,,1.0,3.0,2.0,1.0,5.0,1.0,,,,1.0,,1.0,,,,,,,,,,
11067357,home,Goiás,Zé Ricardo,ze-ricardo,Zé Ricardo,M,55,180,162,M,943044,EUR,918000000,M,5,5,False,54.0,48.0,4.0,3.0,20.0,20.0,28.0,35.0,,5.0,,,,81.0,69.0,6.6,10.0,0.083,0.267,0.110908,3,,,,1.0,,,8.0,3.0,2.0,1.0,1.0,1.0,,,1.0,2.0,1.0,,1.0,,4.0,,2.0,1.0,2.0,1.0,,,,,,,
11067357,home,Goiás,Everton Morelli,everton-morelli,E. Morelli,M,8,185,105,M,928137,EUR,878601600,M,40,40,False,40.0,39.0,1.0,,24.0,24.0,15.0,17.0,,8.0,,,,90.0,61.0,6.7,5.0,0.0389,0.0,0.0216598,1,,,,1.0,,,6.0,9.0,1.0,1.0,1.0,1.0,4.0,3.0,,4.0,2.0,,3.0,,2.0,,1.0,,,,,,,,,,
11067357,home,Goiás,Guilherme Marques,guilherme-marques,Guilherme Marques,M,12,174,277,M,109610,EUR,674784000,M,60,60,False,10.0,7.0,,,4.0,5.0,3.0,8.0,,3.0,,,,43.0,17.0,6.6,6.0,0.1869,0.0,0.00365591,1,,,,3.0,,3.0,5.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,,,,2.0,,,,,,,,,,,,
11067357,home,Goiás,Julián Palacios,julian-palacios,J. Palacios,M,20,172,145,M,1005177,EUR,918086400,M,10,10,False,33.0,24.0,1.0,,5.0,8.0,21.0,29.0,,3.0,,,,81.0,63.0,7.0,21.0,0.0322,0.0,0.236503,1,,,,4.0,2.0,1.0,8.0,12.0,5.0,4.0,,,3.0,2.0,5.0,5.0,3.0,,3.0,1.0,1.0,,2.0,,,,,,,,,,
11067357,home,Goiás,Vinícius,vinicius,Vinícius,F,7,180,199,M,124807,EUR,744336000,M,7,7,False,23.0,16.0,,,1.0,3.0,15.0,23.0,1.0,2.0,,,,59.0,35.0,6.4,11.0,0.0202,0.167,0.0167235,1,,,,3.0,,,2.0,3.0,1.0,1.0,,,,,1.0,2.0,,,,,,,2.0,,1.0,,,,,,,,
