match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_duelWon,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_wasFouled,player_firstName,player_lastName,stat_fouls,stat_challengeLost,stat_totalOffside,captain,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,stat_bigChanceMissed,stat_goodHighClaim,stat_blockedScoringAttempt
10909926,home,Liverpool,Alisson,alisson,Alisson,G,1,193,64485,M,AlissonBecker,243609,EUR,717984000,G,1,1,False,31.0,24.0,10.0,4.0,23.0,26.0,1.0,5.0,11.0,1.0,1.0,3.0,3.0,3.0,90.0,41.0,6.0,8.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10909926,home,Liverpool,Trent Alexander-Arnold,trent-alexander-arnold,T. Alexander-Arnold,D,12,180,211619,M,TrentAA,795064,EUR,907718400,D,66,66,False,55.0,36.0,14.0,5.0,9.0,11.0,29.0,51.0,7.0,,,,,,85.0,78.0,7.8,25.0,1,1.0,7.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,
10909926,home,Liverpool,Joël Matip,joel-matip,J. Matip,D,,195,3344,M,joelmatip,51501,EUR,681609600,D,32,32,False,77.0,65.0,6.0,2.0,30.0,32.0,35.0,45.0,4.0,,,,,,90.0,91.0,6.7,13.0,1,,,,4.0,,,,1.0,2.0,2.0,,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,
10909926,home,Liverpool,Ibrahima Konaté,ibrahima-konate,I. Konaté,D,5,195,27486,M,ibrahimakonate,826215,EUR,927590400,D,5,5,False,62.0,56.0,4.0,4.0,35.0,39.0,21.0,23.0,6.0,,,,,,90.0,80.0,7.0,9.0,1,,,,5.0,1.0,,,1.0,3.0,3.0,,3.0,1.0,5.0,3.0,1.0,2.0,,2.0,1.0,,,1.0,,,,,,,,,
10909926,home,Liverpool,Andrew Robertson,andrew-robertson,A. Robertson,D,26,178,24708,M,andyrobertson94,262911,EUR,763344000,D,26,26,False,77.0,68.0,3.0,1.0,22.0,27.0,49.0,58.0,7.0,,,,,,90.0,113.0,6.5,20.0,0,,8.0,3.0,3.0,1.0,1.0,,,1.0,,,1.0,1.0,3.0,1.0,,,,2.0,,,,,2.0,1.0,,,,,,,
10909926,home,Liverpool,Jordan Henderson,jordan-henderson,J. Henderson,M,6,183,6336,M,jordanhenderson,42694,EUR,645580800,M,14,14,False,35.0,29.0,4.0,3.0,7.0,8.0,22.0,31.0,1.0,,,,,,68.0,44.0,6.4,12.0,1,,4.0,,1.0,1.0,,,1.0,,,,,,3.0,,1.0,,,1.0,1.0,,,1.0,1.0,,True,,,,,,
10909926,home,Liverpool,Fabinho,fabinho,Fabinho,M,8,187,9249,M,Fabinho,243585,EUR,751334400,M,3,3,False,36.0,28.0,2.0,2.0,12.0,15.0,16.0,21.0,7.0,,,,,,75.0,39.0,6.5,9.0,0,,,,2.0,,,,,1.0,1.0,,,1.0,3.0,,,1.0,,1.0,,,,1.0,2.0,,,,,,,,
10909926,home,Liverpool,Thiago Alcântara,thiago-alcantara,Thiago,M,,174,8198,M,thiago6,53825,EUR,671328000,M,6,6,False,92.0,86.0,16.0,14.0,32.0,33.0,54.0,59.0,6.0,,,,,,90.0,105.0,7.3,10.0,0,,,,8.0,1.0,,,,6.0,5.0,,2.0,1.0,7.0,,,,,1.0,1.0,,,2.0,1.0,,,1.0,,,,,
10909926,home,Liverpool,Mohamed Salah,mohamed-salah,M. Salah,M,11,175,564007,M,MoSalah,159665,EUR,708566400,F,11,11,False,27.0,22.0,1.0,1.0,2.0,3.0,20.0,25.0,2.0,,,,,,85.0,46.0,7.0,15.0,2,,1.0,,3.0,4.0,,,1.0,1.0,,2.0,,1.0,7.0,,,1.0,,2.0,1.0,,,,,,,3.0,1.0,1.0,,,
10909926,home,Liverpool,Darwin Núñez,darwin-nunez,D. Núñez,F,7,188,70302,M,Darwin,924871,EUR,930182400,F,27,27,False,16.0,15.0,1.0,1.0,3.0,3.0,13.0,15.0,2.0,,,,,,90.0,29.0,6.9,6.0,2,,2.0,1.0,2.0,,,,1.0,,,,5.0,1.0,9.0,,1.0,,,4.0,1.0,,,2.0,2.0,,,,1.0,1.0,1.0,,
