match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_aerialLost,stat_challengeLost,stat_dispossessed,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,stat_totalContest,stat_keyPass,stat_shotOffTarget,captain,stat_totalCross,stat_accurateCross,stat_wonContest,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,player_sofascoreId,stat_goodHighClaim,stat_goalAssist,stat_bigChanceCreated,stat_goals,stat_lastManTackle,stat_errorLeadToAShot,stat_totalOffside,stat_bigChanceMissed
11352303,home,Burnley,Zeki Amdouni,,,zeki-amdouni,Z. Amdouni,F,25,183,2739,M,990550,EUR,975888000,F,25,25,False,11.0,10.0,,,3.0,3.0,7.0,8.0,1.0,4.0,,,,,61.0,25.0,6.9,7.0,0.0318,0.0198,0.00499923,1,,1.0,5.0,6.0,1.0,1.0,3.0,,2.0,,1.0,,,2.0,4.0,,,,,,2.0,,1.0,,,,,,,,,
11352303,home,Burnley,Jacob Bruun Larsen,,,jacob-bruun-larsen,J. B. Larsen,M,7,183,710,M,809276,EUR,906163200,F,34,34,True,5.0,3.0,,,,,3.0,5.0,1.0,,,,,,29.0,9.0,6.7,3.0,0.0241,0.0,0.0138621,1,,2.0,2.0,2.0,,,1.0,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,
11352303,home,Burnley,Anass Zaroury,,,anass-zaroury,A. Zaroury,F,9,176,4199,M,877036,EUR,973555200,F,19,19,True,8.0,8.0,1.0,1.0,4.0,4.0,6.0,8.0,,1.0,,,,,33.0,14.0,6.5,2.0,0.0447,0.0,0.0589821,1,,,1.0,1.0,,,,1.0,,,,,,1.0,,1.0,,,4.0,2.0,,1.0,,zaroury,,,,,,,,
11352303,home,Burnley,Manuel Benson,,,manuel-benson,M. Benson,M,14,166,3203,M,552632,EUR,859507200,F,10,10,True,4.0,4.0,,,1.0,1.0,3.0,4.0,,,,,,,16.0,9.0,5.9,5.0,0.0,0.0,0.00123024,0,,,6.0,,,,,,2.0,,,,,,4.0,,,,1.0,,,,,,,,,,,,,
11352303,home,Burnley,Josh Brownhill,,,josh-brownhill,J. Brownhill,M,8,179,817,M,358394,EUR,819331200,M,8,8,True,2.0,2.0,,,2.0,2.0,,,,,,,,,8.0,2.0,6.5,,0.0,0.0,5.9e-07,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352303,home,Burnley,Nathan Redmond,,,nathan-redmond,N. Redmond,M,15,173,419,M,115346,EUR,762912000,M,15,15,True,2.0,1.0,1.0,,1.0,1.0,,1.0,,,,,,,8.0,2.0,6.5,1.0,0.0,0.0,1.8e-06,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352303,home,Burnley,Arijanet Murić,,,arijanet-muric,A. Murić,G,49,198,1886,M,888971,EUR,910396800,G,49,49,True,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352303,home,Burnley,Hjalmar Ekdal,,,hjalmar-ekdal,H. Ekdal,D,18,187,549,M,875360,EUR,908928000,D,18,18,True,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352303,home,Burnley,Jack Cork,,,jack-cork,J. Cork,M,,185,85,M,20993,EUR,614736000,M,4,4,True,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352303,home,Burnley,Jóhann Guðmundsson,,,johann-gudmundsson,J. Guðmundsson,M,7,186,451,M,49805,EUR,656985600,M,7,7,True,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352303,away,Manchester City,Ederson,,,ederson,Ederson,G,31,188,48699,M,254491,EUR,745545600,G,31,31,False,70.0,57.0,28.0,16.0,46.0,50.0,11.0,20.0,,9.0,1.0,1.0,1.0,1.0,90.0,78.0,7.4,13.0,0.0,0.0,0.0145515,0,0.0198,,,1.0,,,,,,,,,,1.0,,,,,,,,,,Ederson93,1.0,,,,,,,
11352303,away,Manchester City,Kyle Walker,,,kyle-walker,K. Walker,D,2,183,26779,M,44614,EUR,643852800,D,2,2,False,64.0,59.0,5.0,2.0,38.0,41.0,21.0,23.0,1.0,9.0,,,,,89.0,81.0,6.9,8.0,0.0,0.0,0.0434716,0,,1.0,2.0,3.0,,,1.0,1.0,,,,,,2.0,1.0,1.0,,,,,,,,KyleWalker2,,,,,,,,
11352303,away,Manchester City,Manuel Akanji,,,manuel-akanji,M. Akanji,D,25,187,22699,M,383560,EUR,806112000,D,25,25,False,101.0,89.0,6.0,2.0,69.0,75.0,20.0,27.0,2.0,2.0,,,,,90.0,109.0,7.1,13.0,0.0,0.0,0.0092708,0,,4.0,3.0,7.0,3.0,1.0,,,1.0,2.0,,1.0,,,,,,,1.0,,,,,manuel_akanji,,,,,,,,
11352303,away,Manchester City,Nathan Aké,,,nathan-ake,N. Aké,D,6,180,21292,M,149663,EUR,793065600,D,6,6,False,68.0,64.0,2.0,1.0,47.0,49.0,17.0,19.0,1.0,5.0,,,,,79.0,80.0,7.4,4.0,0.3107,0.0,0.00782667,1,,3.0,1.0,7.0,3.0,3.0,,,1.0,,,,2.0,1.0,,,,,,,,1.0,,nathanake,,,,,,,,
