match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_unsuccessfulTouch,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,captain,stat_bigChanceCreated,stat_outfielderBlock,stat_keyPass,stat_totalCross,stat_accurateCross,stat_challengeLost,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_dispossessed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_fouls,player_firstName,player_lastName,stat_goals,stat_penaltyWon,stat_totalOffside,stat_bigChanceMissed,stat_penaltyFaced,stat_penaltyConceded
10437227,home,Rochdale,Cieran Slicker,cieran-slicker,C. Slicker,G,29,187.0,193,M,1001845,EUR,1032048000.0,G,22,22,False,27.0,14.0,17.0,5.0,11.0,15.0,3.0,12.0,5.0,1.0,1.0,1.0,67.0,36.0,6.9,14.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10437227,home,Rochdale,Benjamin Nelson,benjamin-nelson,B. Nelson,D,4,193.0,230,M,1391844,EUR,1082246400.0,D,16,16,False,35.0,22.0,10.0,3.0,17.0,21.0,5.0,14.0,1.0,,,,90.0,51.0,7.1,15.0,0,3.0,2.0,3.0,5.0,5.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10437227,home,Rochdale,Ethan Ebanks-Landell,ethan-ebanks-landell,E. Ebanks-Landell,D,6,189.0,14,M,143383,EUR,724118400.0,D,6,6,False,22.0,14.0,10.0,3.0,11.0,15.0,3.0,7.0,3.0,,,,90.0,32.0,7.3,9.0,0,3.0,,3.0,1.0,4.0,2.0,,,1.0,True,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,
10437227,home,Rochdale,Cameron John,cameron-john,C. John,D,3,181.0,67,M,920560,EUR,935452800.0,D,24,24,False,42.0,28.0,10.0,3.0,20.0,26.0,9.0,18.0,3.0,,,,90.0,51.0,6.7,16.0,0,1.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,
10437227,home,Rochdale,Femi Seriki,femi-seriki,F. Seriki,D,38,180.0,154,M,966458,EUR,1019952000.0,M,2,2,False,25.0,11.0,4.0,2.0,5.0,12.0,7.0,14.0,4.0,3.0,,,90.0,58.0,7.8,22.0,1,1.0,,3.0,10.0,,1.0,1.0,1.0,6.0,,1.0,1.0,1.0,1.0,1.0,,5.0,3.0,1.0,,,,,,,,,,,,
10437227,home,Rochdale,Tyrese Sinclair,tyrese-sinclair,T. Sinclair,M,37,175.0,34,M,964080,EUR,981244800.0,M,17,17,False,22.0,16.0,3.0,1.0,4.0,5.0,12.0,22.0,5.0,3.0,,,89.0,45.0,6.9,18.0,4,2.0,3.0,5.0,6.0,1.0,1.0,,,2.0,,,,2.0,5.0,,,1.0,1.0,,3.0,2.0,2.0,,,,,,,,,
10437227,home,Rochdale,Toumani Diagouraga,toumani-diagouraga,T. Diagouraga,M,,188.0,12,,10595,EUR,550195200.0,M,20,20,False,30.0,23.0,2.0,1.0,15.0,17.0,8.0,13.0,2.0,2.0,,,90.0,38.0,6.7,10.0,0,,1.0,4.0,3.0,,1.0,2.0,1.0,,,,,1.0,,,,,,,1.0,,,3.0,,,,,,,,
10437227,home,Rochdale,James Ball,james-ball,J. Ball,D,6,190.0,20,M,824598,EUR,817776000.0,M,8,8,False,24.0,18.0,6.0,2.0,13.0,15.0,5.0,10.0,3.0,,,,90.0,38.0,7.2,10.0,2,1.0,4.0,3.0,6.0,4.0,,,,1.0,,,1.0,1.0,1.0,,,1.0,1.0,1.0,2.0,,1.0,,,,1.0,,,,,
10437227,home,Rochdale,Abraham Odoh,abraham-odoh,A. Odoh,M,10,168.0,75,M,988739,EUR,961891200.0,M,11,11,False,24.0,20.0,1.0,,11.0,12.0,9.0,12.0,4.0,2.0,,,90.0,45.0,7.2,7.0,2,2.0,2.0,5.0,9.0,1.0,,3.0,3.0,3.0,,,,1.0,,,,2.0,1.0,,,,2.0,2.0,,,,1.0,3.0,,,
10437227,home,Rochdale,Devante Rodney,devante-rodney,D. Rodney,F,10,178.0,44,M,865679,EUR,895536000.0,F,10,10,False,12.0,9.0,1.0,,2.0,2.0,7.0,10.0,4.0,4.0,,,90.0,30.0,7.2,7.0,7,2.0,1.0,3.0,6.0,,1.0,1.0,,1.0,,,1.0,,,,,3.0,3.0,3.0,,2.0,2.0,1.0,,,1.0,,2.0,2.0,,
