match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_duelLost,stat_shotOffTarget,stat_interceptionWon,stat_ballRecovery,stat_unsuccessfulTouch,stat_fouls,stat_aerialWon,stat_duelWon,stat_challengeLost,stat_totalTackle,stat_wonTackle,stat_keyPass,stat_wasFouled,stat_accurateCross,stat_bigChanceCreated,player_sofascoreId,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,captain,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_aerialLost,stat_dispossessed,stat_goals,stat_outfielderBlock,stat_goalAssist,stat_penaltyWon,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalOffside,stat_penaltyConceded
11801747,home,Roma,Mile Svilar,svilar-mile,M. Svilar,G,99,189,4533,M,793986,EUR,935712000,G,99,99,False,15.0,13.0,6.0,4.0,12.0,13.0,1.0,2.0,1.0,1.0,90.0,16.0,6.4,2.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11801747,home,Roma,Zeki Çelik,zeki-celik,Z. Çelik,D,19,180,2952,M,893008,EUR,856137600,D,19,19,False,40.0,35.0,6.0,4.0,18.0,18.0,17.0,23.0,2.0,,45.0,48.0,6.7,7.0,2,,,1.0,2.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11801747,home,Roma,Bryan Cristante,bryan-cristante,B. Cristante,M,4,186,2776,M,186855,EUR,794188800,D,4,4,False,81.0,77.0,5.0,4.0,56.0,57.0,21.0,24.0,1.0,,90.0,85.0,7.0,4.0,1,,,,2.0,1.0,,11.0,,1.0,2.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11801747,home,Roma,Diego Llorente,diego-llorente,D. Llorente,D,3,185,1163,M,305278,EUR,745459200,D,14,14,False,33.0,30.0,3.0,2.0,19.0,20.0,11.0,14.0,,,45.0,36.0,6.4,4.0,0,,,1.0,3.0,,,1.0,,2.0,2.0,3.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
11801747,home,Roma,Rick Karsdorp,rick-karsdorp,R. Karsdorp,D,,182,704,M,363792,EUR,792460800,M,2,2,False,40.0,38.0,2.0,2.0,17.0,17.0,22.0,26.0,,,74.0,53.0,6.9,5.0,0,,,3.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
11801747,home,Roma,Edoardo Bove,edoardo-bove,E. Bove,M,15,181,2154,M,986352,EUR,1021507200,M,52,52,False,45.0,35.0,2.0,,10.0,14.0,25.0,31.0,,,67.0,54.0,6.9,15.0,0,,,,1.0,,1.0,3.0,5.0,1.0,1.0,4.0,,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
11801747,home,Roma,Leandro Paredes,leandro-paredes,L. Paredes,M,5,180,25645,M,255389,EUR,772848000,M,16,16,False,64.0,57.0,12.0,9.0,23.0,23.0,34.0,43.0,1.0,,90.0,77.0,7.4,9.0,1,,,2.0,3.0,,,9.0,,1.0,,5.0,2.0,2.0,2.0,,1.0,,,LeoParedes,2.0,2.0,1.0,,,,,,,,,,,,,,,
11801747,home,Roma,Lorenzo Pellegrini,lorenzo-pellegrini,L. Pellegrini,M,7,186,5682,M,555540,EUR,835142400,M,7,7,False,43.0,40.0,3.0,2.0,19.0,19.0,23.0,27.0,1.0,,90.0,55.0,7.7,5.0,2,,,3.0,2.0,1.0,,6.0,1.0,1.0,1.0,6.0,1.0,2.0,2.0,3.0,3.0,2.0,,lorepelle7,,,,True,1.0,1.0,1.0,,,,,,,,,,,
11801747,home,Roma,Stephan El Shaarawy,stephan-el-shaarawy,S. El Shaarawy,F,22,178,5701,M,45925,EUR,720144000,M,92,92,False,29.0,26.0,3.0,2.0,9.0,9.0,17.0,21.0,1.0,,90.0,46.0,6.9,7.0,3,,,1.0,4.0,2.0,2.0,4.0,2.0,1.0,,1.0,,1.0,1.0,2.0,,,,stewel92,,,1.0,,1.0,,1.0,2.0,1.0,,,,,,,,,
11801747,home,Roma,Romelu Lukaku,romelu-lukaku,R. Lukaku,F,9,191,56403,M,78893,EUR,737251200,F,90,90,False,24.0,12.0,1.0,,3.0,3.0,9.0,23.0,,,90.0,41.0,6.7,20.0,4,,,2.0,7.0,1.0,,3.0,2.0,,3.0,4.0,,,,2.0,,,1.0,RLukaku,3.0,1.0,2.0,,2.0,1.0,,3.0,2.0,1.0,,,,,,,,
