match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_outfielderBlock,player_firstName,player_lastName,stat_totalCross,stat_dispossessed,stat_keyPass,stat_accurateCross,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_wasFouled,stat_goalAssist,stat_bigChanceCreated,stat_goals,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceMissed
11409068,home,Vitória SC,Bruno Varela,bruno-varela,B. Varela,G,14,191,628,M,138895,EUR,783907200,G,14,14,False,True,28.0,16.0,20.0,8.0,13.0,16.0,3.0,12.0,1.0,1.0,1.0,7.0,1.0,1.0,90.0,35.0,7.0,12.0,0.00114916,0,0.1664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409068,home,Vitória SC,Jorge Fernandes,jorge-fernandes,J. Fernandes,D,44,193,145,M,814673,EUR,859939200,D,44,44,False,,49.0,41.0,6.0,2.0,29.0,30.0,12.0,19.0,3.0,6.0,4.0,4.0,,,90.0,65.0,7.4,10.0,0.00471438,2,,1.0,5.0,3.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,0.1202,0.0174,,,,,,,,,,,,,,,,,,,
11409068,home,Vitória SC,Toni Borevković,toni-borevkovic,T. Borevković,D,24,194,270,M,886843,EUR,866592000,D,24,24,False,,33.0,31.0,1.0,1.0,28.0,30.0,3.0,3.0,,1.0,5.0,4.0,,,90.0,41.0,7.1,2.0,0.00168872,0,,,3.0,1.0,,,1.0,1.0,1.0,,2.0,,,1.0,,,,,,,,,,,,,,,,,,
11409068,home,Vitória SC,Tomás Ribeiro,tomas-ribeiro,T. Ribeiro,D,16,185,137,M,996765,EUR,925430400,D,4,4,False,,43.0,32.0,7.0,1.0,24.0,28.0,8.0,15.0,1.0,3.0,3.0,3.0,,,90.0,51.0,6.9,11.0,0.00434085,0,,,4.0,1.0,,,2.0,2.0,1.0,,3.0,,,1.0,,,,,,,,,,,,,,,,,,
11409068,home,Vitória SC,Bruno Gaspar,bruno-gaspar,B. Gaspar,D,76,180,173,M,252819,EUR,735350400,M,76,76,False,,21.0,18.0,1.0,1.0,5.0,6.0,13.0,18.0,,,2.0,6.0,,,67.0,43.0,7.0,10.0,0.0172913,0,,,1.0,,,,1.0,,,1.0,,,,,,,3.0,1.0,1.0,,,,,,,,,,,,,
11409068,home,Vitória SC,Tiago Silva,tiago-silva,T. Silva,M,77,170,351,M,252095,EUR,738979200,M,10,10,False,,42.0,34.0,2.0,1.0,14.0,19.0,24.0,29.0,1.0,2.0,,8.0,,,67.0,61.0,6.6,17.0,0.133192,0,,2.0,8.0,,,,,1.0,,2.0,2.0,,,,,,6.0,2.0,5.0,4.0,2.0,,,,,,,,,,,
11409068,home,Vitória SC,Tomás Händel,tomas-handel,T. Händel,M,20,180,888,M,1131048,EUR,975283200,M,8,8,False,,45.0,42.0,,,21.0,23.0,22.0,24.0,1.0,4.0,1.0,3.0,,,90.0,59.0,7.0,5.0,0.0435263,1,,,4.0,2.0,,,,1.0,1.0,,1.0,0.1254,,,Tomás Händel,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
11409068,home,Vitória SC,Ricardo Mangas,mangas-ricardo,R. Mangas,D,91,179,1156,M,878496,EUR,890179200,M,19,19,False,,29.0,21.0,3.0,1.0,6.0,9.0,15.0,20.0,4.0,8.0,2.0,3.0,,,90.0,51.0,7.0,12.0,0.0199133,0,,4.0,6.0,2.0,,,1.0,1.0,1.0,1.0,,,,,Ricardo,Mangas,,,,,,,,3.0,,,,,,,,
11409068,home,Vitória SC,Jota Silva,jota-silva,J. Silva,F,26,179,2828,M,1011895,EUR,933465600,F,11,11,False,,14.0,8.0,,,3.0,3.0,5.0,11.0,1.0,5.0,2.0,1.0,,,89.0,35.0,8.3,12.0,0.410982,4,,1.0,6.0,1.0,1.0,2.0,,,,2.0,1.0,0.4781,0.3523,,,,,1.0,2.0,,3.0,1.0,1.0,3.0,2.0,2.0,1.0,,,,,
11409068,home,Vitória SC,Nuno Santos,nuno-santos,N. Santos,M,10,180,2173,M,930552,EUR,920332800,F,77,77,False,,33.0,19.0,,,7.0,9.0,14.0,27.0,,1.0,,3.0,,,82.0,45.0,8.1,19.0,0.133188,1,,,6.0,4.0,1.0,,,,,3.0,2.0,0.396,0.7528,,,,3.0,,2.0,2.0,,,,1.0,1.0,1.0,1.0,,,,,
