match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_aerialWon,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_aerialLost,stat_duelLost,stat_fouls,stat_challengeLost,stat_interceptionWon,player_firstName,player_lastName,stat_dispossessed,stat_totalContest,stat_wonContest,stat_keyPass,stat_blockedScoringAttempt,stat_expectedGoals,stat_shotValueNormalized,captain,stat_accurateCross,stat_bigChanceCreated,stat_totalOffside,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_lastManTackle
14613415,home,Samsunspor,Okan Kocuk,okan-kocuk,O. Koçuk,G,1,187.0,289,M,190179,EUR,806803200,G,1,1,False,28.0,22.0,12.0,6.0,0.0,19.0,20.0,3.0,8.0,1.0,12.0,1.0,1.0,1.0,4.0,90.0,40.0,7.2,6.0,0.00213626,0.0751,0,0.1904,0.07,0.34,0.49,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14613415,home,Samsunspor,Ľubomír Šatka,ubomir-satka,Ľ. Šatka,D,37,185.0,293,M,187231,EUR,817862400,D,37,37,False,64.0,56.0,9.0,4.0,0.0,34.0,37.0,22.0,27.0,3.0,6.0,,,,,90.0,83.0,7.6,10.0,0.0143847,,0,,0.16,0.17,0.33,,1.0,1.0,6.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
14613415,home,Samsunspor,Toni Borevković,toni-borevkovic,T. Borevković,D,24,194.0,271,M,886843,EUR,866592000,D,24,24,False,69.0,65.0,3.0,1.0,0.0,50.0,53.0,15.0,16.0,3.0,5.0,2.0,,,,90.0,78.0,6.9,4.0,0.0044954,,0,,0.14,0.11,0.19,,,,6.0,,1.0,1.0,,,2.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,
14613415,home,Samsunspor,Rick Van Drongelen,rick-van-drongelen,R. V. Drongelen,D,4,185.0,366,M,803023,EUR,914112000,D,4,4,False,90.0,78.0,12.0,5.0,0.0,38.0,42.0,40.0,48.0,6.0,5.0,,,,,90.0,112.0,7.7,15.0,0.0724183,,0,,0.45,0.2,0.23,,,4.0,8.0,,2.0,2.0,,2.0,4.0,6.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
14613415,home,Samsunspor,Josafat Mendes,josafat-mendes,J. Mendes,D,2,177.0,395,M,1133258,EUR,1041292800,M,2,2,False,40.0,35.0,1.0,,0.0,18.0,18.0,17.0,22.0,8.0,5.0,2.0,,,,90.0,62.0,7.3,8.0,0.078055,,0,,0.1,0.36,0.29,,1.0,,2.0,,4.0,,,,1.0,3.0,,,,,,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,
14613415,home,Samsunspor,Celil Yüksel,celil-yuksel,C. Yüksel,M,5,165.0,83,M,806972,EUR,883612800,M,5,5,False,34.0,29.0,4.0,1.0,0.0,17.0,17.0,12.0,17.0,2.0,5.0,2.0,,,,69.0,48.0,6.4,13.0,0.00878031,,1,,-0.01,0.05,-0.03,,3.0,,1.0,,,,,2.0,,6.0,2.0,1.0,,,,2.0,1.0,,,1.0,0.0266,0.0,,,,,,,,,,,
14613415,home,Samsunspor,Olivier Ntcham,olivier-ntcham,O. Ntcham,M,10,180.0,801,M,352676,EUR,823824000,M,10,10,False,67.0,56.0,7.0,3.0,0.0,25.0,27.0,31.0,40.0,3.0,4.0,,,,,90.0,74.0,6.8,14.0,0.0345725,,1,,0.2,0.24,0.16,,,2.0,,,,,,1.0,,4.0,3.0,,,,,1.0,1.0,1.0,,1.0,0.0398,-0.07,True,,,,,,,,,,
14613415,home,Samsunspor,Logi Tomasson,logi-tomasson,L. Tómasson,D,17,182.0,205,M,858266,EUR,968803200,M,17,17,False,19.0,16.0,,,0.0,7.0,7.0,9.0,12.0,2.0,2.0,,,,,69.0,49.0,7.5,15.0,0.366393,,0,,0.6,0.1,0.21,,8.0,1.0,2.0,,1.0,,,3.0,1.0,3.0,1.0,,1.0,,,,1.0,,3.0,,,,,2.0,1.0,2.0,,,,,,,
14613415,home,Samsunspor,Anthony Musaba,anthony-musaba,A. Musaba,F,20,182.0,2507,M,979473,EUR,976060800,F,7,7,False,25.0,16.0,1.0,,0.0,4.0,5.0,12.0,20.0,3.0,1.0,2.0,,,,88.0,39.0,5.9,15.0,0.0254008,,3,,-0.39,0.17,-0.02,,,,,,,,,2.0,,5.0,1.0,,,,,2.0,3.0,1.0,,2.0,0.5226,-0.63,,,,,2.0,1.0,,,,,
14613415,home,Samsunspor,Carlo Holse,carlo-holse,C. Holse,M,21,177.0,633,M,837012,EUR,928281600,F,21,21,False,34.0,26.0,3.0,1.0,0.0,10.0,11.0,16.0,23.0,4.0,3.0,2.0,,,,90.0,54.0,6.8,15.0,0.0183512,,3,,-0.02,0.01,0.19,,1.0,1.0,,1.0,1.0,,,4.0,4.0,7.0,2.0,,1.0,,,1.0,,,,1.0,0.4721,-0.51,,,,,1.0,,2.0,0.3332,,,
