match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,player_firstName,player_lastName,stat_wasFouled,stat_aerialWon,stat_shotOffTarget,stat_expectedGoals,stat_blockedScoringAttempt,stat_dispossessed,stat_outfielderBlock,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,player_sofascoreId,stat_bigChanceCreated,stat_goals,stat_hitWoodwork
12441697,home,Sparta Rotterdam,Nick Olij,nick-olij,N. Olij,G,1,185,555,M,227192,EUR,807235200,G,1,1,False,True,45.0,33.0,25.0,13.0,0.0,23.0,28.0,10.0,17.0,12.0,2.0,90.0,54.0,6.4,12.0,0.00428889,0,-0.6719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12441697,home,Sparta Rotterdam,Saïd Bakari,said-bakari,S. Bakari,D,22,176,127,M,896210,EUR,780192000,D,2,2,False,,35.0,32.0,3.0,1.0,0.0,18.0,18.0,15.0,20.0,6.0,,90.0,57.0,6.2,7.0,0.0231704,0,,3.0,1.0,4.0,9.0,2.0,3.0,2.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
12441697,home,Sparta Rotterdam,Marvin Young,marvin-young,M. Young,D,3,182,187,M,1648759,EUR,1128211200,D,3,3,False,,67.0,58.0,9.0,5.0,0.0,33.0,36.0,25.0,31.0,2.0,,90.0,82.0,7.3,9.0,0.220941,0,,,,4.0,4.0,4.0,,,,3.0,5.0,2.0,2.0,,,1.0,Marvin,Young ,2.0,,,,,,,,,,,,,,,
12441697,home,Sparta Rotterdam,Mike Eerdhuijzen,mike-eerdhuijzen,M. Eerdhuijzen,D,44,194,180,M,947842,EUR,963446400,D,4,4,False,,95.0,84.0,15.0,11.0,0.0,46.0,47.0,38.0,48.0,12.0,,90.0,111.0,7.2,12.0,0.0322776,1,,,,3.0,5.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0,,,1.0,,,,,1.0,1.0,0.0804,,,,,,,,,,,,
12441697,home,Sparta Rotterdam,Patrick van Aanholt,patrick-van-aanholt,P. v. Aanholt,D,14,175,555,M,74577,EUR,651888000,D,5,5,False,,37.0,28.0,4.0,1.0,0.0,11.0,14.0,17.0,24.0,3.0,,69.0,58.0,6.5,14.0,0.0847406,2,,1.0,,1.0,1.0,2.0,,2.0,2.0,,1.0,,,4.0,,1.0,,,,,1.0,0.1151,1.0,,,,,,,,,,,
12441697,home,Sparta Rotterdam,Joshua Kitolano,joshua-kitolano,J. Kitolano,M,8,170,272,M,913584,EUR,984009600,M,8,8,False,,25.0,21.0,,,0.0,9.0,10.0,12.0,17.0,1.0,,69.0,37.0,6.3,10.0,0.0573638,0,,2.0,,1.0,5.0,1.0,1.0,3.0,1.0,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,
12441697,home,Sparta Rotterdam,Gjivai Zechiël,gjivai-zechiel,G. Zechiël,M,21,179,686,M,1433802,EUR,1086048000,M,6,6,False,,39.0,35.0,6.0,6.0,0.0,14.0,14.0,21.0,25.0,4.0,,90.0,59.0,7.4,7.0,0.541514,3,,,,1.0,3.0,8.0,,3.0,2.0,3.0,,3.0,,2.0,1.0,1.0,,,2.0,1.0,2.0,0.1783,1.0,,1.0,,,,,,,,,
12441697,home,Sparta Rotterdam,Mitchell van Bergen,mitchell-van-bergen,M. v. Bergen,F,7,170,248,M,827662,EUR,935712000,M,7,7,False,,18.0,15.0,,,0.0,4.0,4.0,14.0,23.0,3.0,,90.0,41.0,6.7,14.0,0.174642,3,,9.0,3.0,1.0,4.0,1.0,,2.0,,,,1.0,1.0,2.0,,1.0,,,,,1.0,0.1595,2.0,1.0,,,,,,,,,,
12441697,home,Sparta Rotterdam,Kristian Hlynsson,hlynsson-kristian,K. Hlynsson,M,14,176,998,M,1160026,EUR,1074816000,M,10,10,False,,29.0,19.0,6.0,2.0,0.0,5.0,6.0,16.0,27.0,5.0,,90.0,43.0,7.0,14.0,0.0533503,1,,4.0,2.0,1.0,2.0,3.0,,,,1.0,,3.0,2.0,2.0,2.0,3.0,,,,,,0.1717,,,,1.0,0.1423,,,,,,,
12441697,home,Sparta Rotterdam,Shunsuke Mito,shunsuke-mito,S. Mito,M,11,164,867,M,1002479,EUR,1033171200,M,11,11,False,,11.0,8.0,1.0,,0.0,3.0,4.0,5.0,8.0,1.0,,69.0,28.0,6.4,11.0,0.0051801,1,,1.0,,2.0,10.0,5.0,2.0,6.0,4.0,1.0,1.0,,,4.0,4.0,,,,,1.0,1.0,0.0508,,1.0,,,,,,,,,,
