match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_bigChanceCreated,stat_interceptionWon,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_totalOffside,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_totalClearance,stat_outfielderBlock,stat_shotOffTarget,stat_expectedGoals,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_accurateCross,stat_goals,stat_wasFouled,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_clearanceOffLine
12765006,home,Vitória SC,Bruno Varela,bruno-varela,B. Varela,G,14,191,625,M,138895,EUR,783907200,G,14,14,False,True,33.0,31.0,8.0,6.0,0.0,29.0,29.0,2.0,4.0,3.0,1.0,90.0,36.0,6.5,2.0,0.00042108,0,-0.3286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12765006,home,Vitória SC,Bruno Gaspar,bruno-gaspar,B. Gaspar,D,76,180,168,M,252819,EUR,735350400,D,76,76,False,,63.0,57.0,,,1.0,25.0,25.0,32.0,42.0,7.0,,90.0,83.0,7.5,12.0,0.0205332,0,,,,4.0,5.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,
12765006,home,Vitória SC,Toni Borevković,toni-borevkovic,T. Borevković,D,24,194,271,M,886843,EUR,866592000,D,24,24,False,,52.0,49.0,5.0,4.0,0.0,37.0,38.0,12.0,14.0,1.0,,90.0,60.0,6.8,3.0,0.00332564,0,,,,,1.0,2.0,,,,1.0,,,,,,,,1.0,2.0,5.0,1.0,,,,,,,,,,,,,,
12765006,home,Vitória SC,Mikel Villanueva,mikel-villanueva,M. Villanueva,D,17,192,345,M,836279,EUR,734745600,D,3,3,False,,66.0,61.0,5.0,4.0,0.0,44.0,47.0,17.0,19.0,2.0,,90.0,77.0,7.1,7.0,0.00836683,1,,,,,2.0,6.0,1.0,,,,,1.0,1.0,2.0,1.0,,,1.0,5.0,3.0,1.0,1.0,0.0959,,,,,,,,,,,,
12765006,home,Vitória SC,João Mendes,joao-mendes,J. Mendes,D,13,179,180,M,1133568,EUR,955584000,D,13,13,False,,50.0,41.0,10.0,5.0,0.0,25.0,26.0,16.0,26.0,8.0,,90.0,68.0,7.3,12.0,0.0656593,1,,,,2.0,3.0,3.0,,,,3.0,,2.0,2.0,,1.0,1.0,2.0,1.0,,2.0,,,0.0118,2.0,1.0,1.0,0.0191,,,,,,,,
12765006,home,Vitória SC,Tiago Silva,tiago-silva,T. Silva,M,77,170,349,M,252095,EUR,738979200,M,10,10,False,,46.0,42.0,8.0,8.0,0.0,21.0,22.0,22.0,26.0,7.0,,67.0,60.0,7.8,9.0,0.0158688,1,,,,2.0,2.0,3.0,,1.0,,2.0,,2.0,2.0,,,,1.0,,,1.0,,,0.5684,1.0,,1.0,0.9855,1.0,1.0,1.0,,,,,
12765006,home,Vitória SC,Tomás Händel,tomas-handel,T. Händel,M,20,180,931,M,1131048,EUR,975283200,M,8,8,False,,41.0,37.0,3.0,2.0,0.0,21.0,22.0,16.0,19.0,4.0,,76.0,49.0,7.3,5.0,0.230173,1,,Tomás Händel,,,1.0,3.0,,,1.0,2.0,,1.0,,,,,1.0,,1.0,,,1.0,0.0367,1.0,,,,,,1.0,,,,,
12765006,home,Vitória SC,Samu,samu,Samu,M,20,170,224,M,785808,EUR,830044800,M,20,20,False,,30.0,26.0,2.0,1.0,0.0,11.0,12.0,15.0,20.0,,,76.0,42.0,7.6,9.0,0.154742,1,,,,2.0,2.0,1.0,,,,1.0,,1.0,1.0,2.0,1.0,,2.0,1.0,,1.0,,,0.2873,,,1.0,0.2023,,1.0,,,,,,
12765006,home,Vitória SC,Gustavo Silva,gustavo-silva,G. Silva,F,11,180,414,M,1468082,EUR,928195200,F,71,71,False,,14.0,11.0,,,1.0,3.0,5.0,8.0,12.0,3.0,,67.0,27.0,8.1,10.0,0.289393,2,,,,3.0,4.0,5.0,1.0,2.0,1.0,,,2.0,1.0,,,,1.0,,2.0,1.0,,,0.888,1.0,,1.0,0.9934,,1.0,1.0,1.0,,,,
12765006,home,Vitória SC,Nélson Oliveira,nelson-oliveira,N. Oliveira,F,7,186,454,M,42898,EUR,681609600,F,7,7,False,,20.0,18.0,2.0,2.0,0.0,7.0,7.0,11.0,13.0,3.0,,67.0,34.0,6.7,10.0,0.0157473,1,,,,,4.0,4.0,,2.0,,,,1.0,,3.0,,,,,,,,,0.1725,3.0,1.0,,,,,2.0,1.0,,,,
12765006,home,Vitória SC,Kaio César,kaio-cesar,Kaio César,M,37,168,5030,M,1396009,EUR,1076803200,F,11,11,False,,47.0,41.0,7.0,6.0,0.0,14.0,15.0,27.0,33.0,4.0,,90.0,63.0,8.1,10.0,0.0826522,6,,Kaio César,,1.0,2.0,5.0,,,,,,3.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,,,2.0,0.9721,1.0,1.0,4.0,0.936,,,,,3.0,,,
12765006,home,Vitória SC,Zé Carlos,ze-carlos,Z. Carlos,M,6,172,109,M,1138915,EUR,1004400000,M,28,28,True,,14.0,13.0,1.0,1.0,0.0,3.0,3.0,10.0,11.0,1.0,,23.0,19.0,6.4,3.0,0.132654,0,,Zé Carlos,,,2.0,1.0,1.0,,,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,
12765006,home,Vitória SC,Nuno Santos,nuno-santos,N. Santos,M,10,180,2205,M,930552,EUR,920332800,M,77,77,True,,5.0,3.0,1.0,1.0,0.0,,,3.0,5.0,,,23.0,7.0,6.7,2.0,0.110483,1,,,,,2.0,,,,1.0,,,,,,1.0,,1.0,1.0,,,,1.0,0.1152,,,,,,,,,,,,
12765006,home,Vitória SC,Jesús Ramírez,jesus-ramirez,J. Ramírez,F,9,187,1090,M,987597,EUR,894240000,F,9,9,True,,4.0,4.0,,,0.0,2.0,2.0,2.0,2.0,1.0,,23.0,7.0,6.8,1.0,0.0262552,1,,,,,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,0.1949,,,1.0,0.4762,,,1.0,,,,,
12765006,home,Vitória SC,Manuel Silva,manuel-silva,M. Silva,M,16,190,1056,M,1085740,EUR,992304000,M,6,6,True,,13.0,10.0,1.0,,0.0,4.0,4.0,6.0,9.0,3.0,,14.0,16.0,6.8,3.0,0.00341729,0,,,,,2.0,1.0,,,,2.0,,1.0,1.0,,,,1.0,2.0,,,,,,,,,,,,,,,,,
12765006,home,Vitória SC,João Mendes,joao-mendes,J. Mendes,M,10,183,227,M,857376,EUR,782697600,M,17,17,True,,3.0,3.0,,,0.0,,,3.0,6.0,1.0,,14.0,9.0,6.7,4.0,0.0031033,1,,,,3.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,0.0752,1.0,1.0,1.0,0.0669,,,,,,,,
12765006,home,Vitória SC,Charles,charles,Charles,G,27,186,124,M,155985,EUR,760320000,G,27,27,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12765006,home,Vitória SC,Óscar Rivas,oscar-rivas,Ó. Rivas,D,4,190,112,M,1168093,EUR,954115200,D,15,15,True,,,,,,,,,,,,,,,,,,0,,Óscar Rivas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12765006,home,Vitória SC,Alberto Costa,alberto-baio,A. Costa,D,20,185,2739,M,1160957,EUR,1064793600,D,22,22,True,,,,,,,,,,,,,,,,,,0,,Alberto Baio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12765006,home,Vitória SC,Miguel Maga,miguel-maga,M. Maga,D,2,175,183,M,1131047,EUR,1037404800,D,2,2,True,,,,,,,,,,,,,,,,,,0,,Miguel Maga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12765006,home,Vitória SC,Tomás Ribeiro,tomas-ribeiro,T. Ribeiro,D,16,185,136,M,996765,EUR,925430400,D,4,4,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12765006,home,Vitória SC,Telmo Arcanjo,telmo-arcanjo,T. Arcanjo,M,18,180,562,M,1035280,EUR,993081600,M,18,18,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12765006,home,Vitória SC,José Bica,jose-bica,J. Bica,F,9,180,139,M,1106746,EUR,1055721600,F,79,79,True,,,,,,,,,,,,,,,,,,0,,José Bica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12765006,away,NK Celje,Matjaž Rozman,matjaz-rozman,M. Rozman,G,22,192,18,M,41236,EUR,536630400,G,22,22,False,True,37.0,30.0,15.0,8.0,0.0,29.0,33.0,1.0,4.0,11.0,6.0,90.0,53.0,7.0,7.0,0.00060449,0,0.6794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,
12765006,away,NK Celje,David Zec,zec-david,D. Zec,D,26,185,264,M,887911,EUR,947030400,D,6,6,False,,65.0,58.0,6.0,5.0,0.0,48.0,52.0,10.0,13.0,2.0,,90.0,80.0,6.3,9.0,0.0082517,0,,,,,4.0,,,,,3.0,,,,1.0,2.0,,,1.0,,1.0,,,,1.0,,,,,,,,,,,
12765006,away,NK Celje,Damjan Vuklišević,damjan-vuklisevic,D. Vuklišević,D,3,191,33,M,232082,EUR,804297600,D,3,3,False,,70.0,66.0,8.0,5.0,0.0,58.0,61.0,8.0,9.0,2.0,,90.0,82.0,6.6,4.0,0.00314297,0,,,,,1.0,2.0,,,,2.0,,2.0,,,,,,1.0,,4.0,1.0,,,,,,,,,,,,,,
12765006,away,NK Celje,Klemen Nemanič,klemen-nemanic,K. Nemanič,D,81,194,54,M,822439,EUR,847324800,D,81,81,False,,83.0,73.0,8.0,5.0,0.0,53.0,58.0,20.0,25.0,2.0,,90.0,93.0,6.7,10.0,0.0198514,0,,,,,2.0,6.0,1.0,,,3.0,,4.0,3.0,,,1.0,,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,
