match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,player_firstName,player_lastName,stat_challengeLost,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_fouls,stat_totalCross,stat_accurateCross,stat_wasFouled,stat_keyPass,stat_goalAssist,stat_bigChanceCreated,stat_totalOffside,stat_dispossessed,stat_blockedScoringAttempt,stat_goals,captain,stat_goodHighClaim,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
11396420,home,Borussia M'gladbach,Moritz Nicolas,moritz-nicolas,M. Nicolas,G,33,193,411,M,578166,EUR,877392000,G,33,33,False,30.0,23.0,11.0,4.0,21.0,25.0,2.0,5.0,12.0,4.0,5.0,90.0,45.0,7.1,8.0,0.0,0.0,0.001167,0,-0.2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396420,home,Borussia M'gladbach,Nico Elvedi,nico-elvedi,N. Elvedi,D,30,188,1059,M,282229,EUR,844041600,D,30,30,False,73.0,63.0,3.0,,33.0,37.0,30.0,36.0,7.0,,,90.0,88.0,7.1,10.0,0.0196,0.0,0.0128907,1,,1.0,2.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11396420,home,Borussia M'gladbach,Ko Itakura,ko-itakura,K. Itakura,D,4,189,3073,M,790989,EUR,854323200,D,3,3,False,82.0,76.0,6.0,3.0,45.0,48.0,31.0,34.0,9.0,,,90.0,97.0,6.6,8.0,0.3321,0.2961,0.0149676,2,,4.0,1.0,9.0,6.0,2.0,1.0,1.0,1.0,,1.0,4.0,2.0,,,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,
11396420,home,Borussia M'gladbach,Maximilian Wöber,maximilian-wober,M. Wöber,D,39,188,659,M,794962,EUR,886550400,D,39,39,False,89.0,71.0,15.0,6.0,33.0,35.0,40.0,57.0,9.0,,,90.0,119.0,7.3,24.0,0.0,0.0,0.150796,0,,2.0,2.0,3.0,8.0,1.0,,,2.0,,5.0,5.0,2.0,,,,,,,,3.0,2.0,1.0,3.0,,,,,,,,,,,
11396420,home,Borussia M'gladbach,Franck Honorat,franck-honorat,F. Honorat,M,9,180,718,M,280453,EUR,839721600,M,9,9,False,51.0,38.0,6.0,3.0,6.0,8.0,39.0,62.0,9.0,,,90.0,82.0,8.4,27.0,0.0,0.0,1.0456,0,,1.0,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,1.0,,19.0,7.0,,8.0,1.0,1.0,1.0,,,,,,,,
11396420,home,Borussia M'gladbach,Florian Neuhaus,florian-neuhaus,F. Neuhaus,M,10,185,880,M,837205,EUR,858470400,M,10,10,False,34.0,31.0,2.0,2.0,12.0,13.0,20.0,22.0,4.0,,,64.0,48.0,7.2,8.0,0.1808,0.3739,0.0598976,3,,,,4.0,2.0,4.0,1.0,,,2.0,1.0,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,2.0,1.0,,,,,
11396420,home,Borussia M'gladbach,Julian Weigl,julian-weigl,J. Weigl,M,5,186,1190,M,237068,EUR,810518400,M,8,8,False,60.0,53.0,7.0,5.0,17.0,19.0,36.0,41.0,11.0,,,90.0,73.0,6.9,9.0,0.0396,0.0,0.0259788,1,,2.0,2.0,5.0,5.0,1.0,,,2.0,1.0,,1.0,1.0,,,2.0,,,1.0,1.0,,,2.0,,,,,,1.0,,True,,,,
11396420,home,Borussia M'gladbach,Rocco Reitz,rocco-reitz,R. Reitz,M,27,175,1025,M,1048650,EUR,1022630400,M,27,27,False,39.0,32.0,2.0,1.0,10.0,11.0,22.0,29.0,5.0,,,79.0,52.0,6.7,11.0,0.0,0.0,0.0259016,0,,2.0,,5.0,2.0,2.0,1.0,,3.0,,2.0,,,,,,,,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,,,,,,
11396420,home,Borussia M'gladbach,Luca Netz,netz-luca,L. Netz,D,25,180,641,M,979144,EUR,1052956800,M,20,20,False,30.0,19.0,2.0,1.0,9.0,11.0,12.0,24.0,3.0,,,79.0,49.0,7.1,16.0,0.0,0.0,0.102103,0,,,2.0,5.0,6.0,3.0,2.0,,2.0,,,1.0,1.0,,,2.0,,,1.0,2.0,5.0,2.0,1.0,1.0,,1.0,,,,,,,,,
11396420,home,Borussia M'gladbach,Jordan Siebatcheu,jordan-siebatcheu,J. Siebatcheu,F,29,190,661,M,788786,EUR,830476800,F,13,13,False,12.0,8.0,,,1.0,1.0,7.0,11.0,,,,64.0,27.0,6.9,11.0,0.1046,0.0,0.0321462,1,,2.0,4.0,5.0,6.0,,,,1.0,,,1.0,1.0,,,1.0,,,5.0,,,,1.0,1.0,,1.0,,2.0,1.0,,,,,,
