match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_aerialWon,stat_penaltyConceded,stat_fouls,captain,stat_totalCross,stat_outfielderBlock,stat_unsuccessfulTouch,stat_accurateCross,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotOffTarget,stat_keyPass,stat_bigChanceMissed,stat_goals,stat_bigChanceCreated,stat_hitWoodwork,stat_totalOffside,stat_goodHighClaim,stat_punches,stat_errorLeadToAShot,stat_penaltyWon
12421197,home,Sint-Truidense VV,Léo Kokubo,,,leo-kokubo,L. Kokubo,G,16,193.0,966,M,997020,EUR,980208000,G,16,16,False,28.0,24.0,13.0,9.0,0.0,20.0,21.0,4.0,7.0,4.0,1.0,1.0,2.0,1.0,1.0,90.0,33.0,6.9,5.0,0.00067147,0,0.0723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421197,home,Sint-Truidense VV,Wolke Janssens,,,janssens-wolke,W. Janssens,D,22,185.0,37,M,794418,EUR,789782400,D,22,22,False,66.0,54.0,7.0,1.0,0.0,40.0,45.0,14.0,21.0,7.0,,,,,,69.0,73.0,6.1,13.0,0.0115282,0,,1.0,6.0,4.0,4.0,1.0,1.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
12421197,home,Sint-Truidense VV,Rein Van Helden,,,rein-van-helden,R. V. Helden,D,20,187.0,193,M,1047163,EUR,1027468800,D,20,20,False,76.0,71.0,11.0,9.0,0.0,48.0,50.0,23.0,26.0,5.0,,,,,,90.0,83.0,6.4,5.0,0.0241905,0,,3.0,4.0,3.0,,,4.0,,,,,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
12421197,home,Sint-Truidense VV,Bruno Godeau,,,bruno-godeau,B. Godeau,D,31,190.0,68,M,247321,EUR,705456000,D,31,31,False,63.0,53.0,11.0,8.0,0.0,32.0,36.0,21.0,29.0,5.0,,,,,,90.0,79.0,6.6,15.0,0.023688,0,,3.0,7.0,3.0,1.0,1.0,4.0,1.0,1.0,,,2.0,,2.0,True,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,
12421197,home,Sint-Truidense VV,Louis Patris,,,louis-patris,L. Patris,M,27,187.0,275,M,923972,EUR,991872000,M,19,19,False,36.0,25.0,1.0,,0.0,10.0,14.0,17.0,29.0,6.0,,,,,,84.0,68.0,7.4,18.0,0.322004,3,,1.0,4.0,11.0,1.0,,2.0,,8.0,3.0,,2.0,,2.0,,7.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0679,0.2087,,,,,,,,,,,
12421197,home,Sint-Truidense VV,Ryotaro Ito,Ryotaro,Ito,ryotaro-ito,R. Ito,M,13,174.0,672,M,831697,EUR,886723200,M,13,13,False,60.0,54.0,3.0,2.0,0.0,23.0,23.0,31.0,41.0,6.0,,,,,,90.0,76.0,7.2,12.0,0.133612,2,,,4.0,4.0,3.0,1.0,1.0,,,,,,,,,4.0,,1.0,,4.0,4.0,,1.0,0.1204,,1.0,2.0,,,,,,,,,
12421197,home,Sint-Truidense VV,Rihito Yamamoto,,,rihito-yamamoto,R. Yamamoto,M,6,179.0,455,M,1030211,EUR,1008115200,M,6,6,False,38.0,33.0,1.0,1.0,0.0,9.0,9.0,24.0,30.0,3.0,,,,,,84.0,55.0,7.1,7.0,0.0715378,1,,2.0,4.0,9.0,1.0,,2.0,2.0,3.0,1.0,2.0,4.0,,1.0,,1.0,,1.0,,,,,1.0,0.0283,,,1.0,,,,,,,,,
12421197,home,Sint-Truidense VV,Ryoya Ogawa,,,ryoya-ogawa,R. Ogawa,M,7,182.0,155,M,790973,EUR,848793600,M,2,2,False,30.0,25.0,2.0,1.0,0.0,14.0,17.0,11.0,15.0,3.0,,,,,,69.0,54.0,7.1,11.0,0.00972412,2,,,2.0,4.0,1.0,,4.0,1.0,2.0,1.0,,2.0,,1.0,,2.0,,2.0,,,,1.0,,0.5588,0.4086,1.0,,1.0,1.0,,,,,,,
12421197,home,Sint-Truidense VV,Billal Brahimi,,,billal-brahimi,B. Brahimi,F,26,183.0,3098,M,948250,EUR,952992000,F,7,7,False,55.0,47.0,11.0,8.0,0.0,16.0,18.0,37.0,53.0,5.0,,,,,,90.0,82.0,8.3,21.0,0.901078,1,,,1.0,4.0,,1.0,,,,,1.0,,,,,16.0,,2.0,6.0,3.0,3.0,,1.0,0.0851,,,7.0,,,1.0,,,,,,
12421197,home,Sint-Truidense VV,Didier Lamkel Zé,,,didier-lamkel-ze,D. L. Zé,F,60,193.0,628,M,845272,EUR,842918400,F,10,10,False,29.0,22.0,3.0,1.0,0.0,10.0,12.0,12.0,18.0,4.0,,,,,,84.0,39.0,6.7,12.0,0.0124007,1,,5.0,9.0,5.0,,4.0,1.0,,,,1.0,4.0,,,,1.0,,,,,,,,0.068,,1.0,,,,,1.0,1.0,,,,
