match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_totalTackle,stat_wonTackle,stat_aerialLost,stat_duelLost,stat_interceptionWon,stat_fouls,stat_totalOffside,stat_outfielderBlock,stat_challengeLost,stat_shotOffTarget,stat_expectedGoals,stat_keyPass,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,stat_dispossessed,stat_goalAssist,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoalsOnTarget,player_sofascoreId,captain,stat_hitWoodwork,stat_goals,stat_savedShotsFromInsideTheBox,stat_accurateCross
11067608,home,Grêmio,Caíque,,,caique,Caíque,G,97,198,375,M,839514,EUR,870307200,G,31,31,False,21.0,13.0,12.0,4.0,10.0,12.0,3.0,9.0,1.0,1.0,2.0,9.0,1.0,1.0,1.0,2.0,90.0,33.0,7.4,9.0,0.00084368,0,0.3015,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067608,home,Grêmio,Fábio,,,fabio,Fábio,D,2,172,304,M,40677,EUR,647481600,D,2,2,False,15.0,13.0,1.0,1.0,5.0,6.0,8.0,10.0,,1.0,,2.0,,,,,29.0,21.0,6.7,3.0,0.00823954,0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11067608,home,Grêmio,Rodrigo Ely,,,rodrigo-ely,R. Ely,D,5,188,865,M,168745,EUR,752284800,D,5,5,False,27.0,23.0,2.0,1.0,16.0,18.0,7.0,9.0,3.0,4.0,7.0,3.0,,,,,90.0,38.0,7.1,4.0,0.00234137,0,,,1.0,,2.0,4.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
11067608,home,Grêmio,Bruno Alves,,,bruno-alves,B. Alves,D,3,184,261,M,551810,EUR,671760000,D,34,34,False,17.0,15.0,2.0,,9.0,9.0,6.0,8.0,1.0,3.0,5.0,3.0,1.0,,,,90.0,30.0,7.2,2.0,0.00155215,0,,,1.0,1.0,,2.0,2.0,2.0,,1.0,,,,,,,,,,,,,,,,,,
11067608,home,Grêmio,Reinaldo,,,reinaldo,Reinaldo,D,6,178,2574,M,243109,EUR,622944000,D,6,6,False,37.0,27.0,6.0,2.0,7.0,12.0,20.0,27.0,,,,4.0,,,,,90.0,57.0,6.9,15.0,0.0234364,1,,2.0,,,,2.0,,1.0,,1.0,1.0,1.0,0.0182,2.0,,,,,,,,,,,,,,
11067608,home,Grêmio,Mathias Villasanti,,,mathias-villasanti,M. Villasanti,M,20,178,2843,M,1139775,EUR,854064000,M,20,20,False,50.0,44.0,3.0,,17.0,19.0,27.0,31.0,1.0,7.0,1.0,8.0,,,,,90.0,60.0,6.8,7.0,0.0405365,0,,,5.0,3.0,1.0,7.0,,4.0,,,1.0,,,,2.0,1.0,,,,,,,,,,,,
11067608,home,Grêmio,Pepê,,,pepe,Pepê,M,6,183,730,M,946945,EUR,884044800,M,23,23,False,42.0,36.0,4.0,2.0,14.0,15.0,22.0,27.0,,7.0,2.0,5.0,2.0,,,,81.0,54.0,7.5,7.0,0.0738007,1,,,4.0,3.0,,1.0,,1.0,,1.0,,1.0,0.0245,1.0,1.0,1.0,1.0,,,,,,,,,,,
11067608,home,Grêmio,Franco Cristaldo,,,franco-cristaldo,F. Cristaldo,M,10,175,2295,M,558820,EUR,840067200,M,19,19,False,29.0,26.0,4.0,3.0,5.0,6.0,21.0,26.0,,2.0,,2.0,,,,,70.0,44.0,6.6,12.0,0.0451024,0,,3.0,2.0,1.0,,5.0,1.0,,,,2.0,,,2.0,,,3.0,3.0,,,,,,,,,,
11067608,home,Grêmio,Nathan Fernandes,,,nathan-fernandes,N. Fernandes,F,16,178,1314,M,1494695,EUR,1108512000,F,32,32,False,14.0,9.0,1.0,,1.0,1.0,8.0,13.0,,5.0,,2.0,3.0,,,,70.0,28.0,7.0,11.0,0.0244702,2,,,2.0,1.0,,3.0,,1.0,,,1.0,,0.0675,1.0,,,5.0,1.0,1.0,1.0,1.0,0.0226,,,,,,
11067608,home,Grêmio,Luis Suárez,,,luis-suarez,L. Suárez,F,9,182,125903,M,16943,EUR,538444800,F,9,9,False,34.0,21.0,,,6.0,7.0,15.0,27.0,2.0,6.0,,1.0,3.0,,,,90.0,52.0,7.9,18.0,0.381434,7,,,,,1.0,5.0,,2.0,,,2.0,2.0,0.387,2.0,1.0,1.0,4.0,,,2.0,3.0,0.3155,ElPistolero,True,1.0,1.0,,
