match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAShot,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_bestBallCarryProgression,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,stat_aerialLost,stat_interceptionWon,stat_bigChanceCreated,stat_shotOffTarget,stat_blockedScoringAttempt,stat_expectedGoals,stat_shotValueNormalized,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,player_sofascoreId,stat_bigChanceMissed,stat_totalOffside
14062196,home,1. FC Köln,Marvin Schwäbe,,,marvin-schwabe,M. Schwäbe,G,1,189,324,M,187185,EUR,798768000,G,1,1,False,True,55.0,34.0,37.0,16.0,0.0,21.0,24.0,13.0,31.0,1.0,10.0,1.0,1.0,2.0,3.0,90.0,63.0,7.3,21.0,0.0038912,69.521425223366,10.0,35.497077383196,0.2424,0,0.8572,0.14,0.03,-0.1,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14062196,home,1. FC Köln,Alessio Castro-Montes,,,alessio-castro-montes,A. Castro-Montes,M,21,175,290,M,839898,EUR,863827200,D,17,17,False,,26.0,14.0,4.0,,0.0,7.0,15.0,7.0,11.0,2.0,5.0,,,,,90.0,67.0,7.3,27.0,0.0653862,146.91547749245,15.0,78.897217225355,,0,,0.4,0.09,0.22,,10.0,4.0,4.0,9.0,10.0,1.0,3.0,4.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,14.578364816036,34.676587823437,2.0,1.0,,,,,,,,,,,,,
14062196,home,1. FC Köln,Sebastian Sebulonsen,,,sebastian-sebulonsen,S. Sebulonsen,M,28,187,234,M,1020206,EUR,948931200,D,28,28,False,,40.0,30.0,7.0,3.0,0.0,20.0,24.0,10.0,16.0,7.0,5.0,1.0,,,,90.0,68.0,7.0,19.0,0.0463553,103.26130328666,13.0,41.842690202812,,0,,0.23,0.07,-0.05,,3.0,,,2.0,2.0,,2.0,,,,2.0,2.0,2.0,,,,,,1.0,,,,,,,,,,,,,
14062196,home,1. FC Köln,Cenk Özkaçar,,,cenk-ozkacar,C. Özkaçar,D,39,190,731,M,953097,EUR,970790400,D,39,39,False,,39.0,33.0,6.0,2.0,0.0,23.0,24.0,10.0,15.0,5.0,6.0,,,,,90.0,54.0,6.6,9.0,0.00469407,138.70404662108,19.0,60.181861794085,,0,,0.03,0.08,0.2,,,,1.0,6.0,2.0,1.0,,1.0,,,1.0,1.0,2.0,,,,,,,4.0,1.0,,,,,,,,,,,
14062196,home,1. FC Köln,Kristoffer Lund,,,kristoffer-lund,K. Lund,D,32,184,391,M,963043,EUR,1021334400,D,32,32,False,,21.0,12.0,4.0,2.0,0.0,4.0,6.0,8.0,15.0,7.0,2.0,,,,,86.0,69.0,7.6,19.0,0.248942,102.89626310481,10.0,68.82484414886,,3,,0.26,0.27,0.33,,7.0,3.0,1.0,8.0,11.0,,1.0,3.0,2.0,,4.0,3.0,1.0,4.0,1.0,24.768833149943,51.233680491671,2.0,2.0,5.0,3.0,1.0,2.0,1.0,0.1532,-0.26,,,,,,
14062196,home,1. FC Köln,Linton Maina,,,linton-maina,L. Maina,M,37,173,490,M,921033,EUR,930096000,M,37,37,False,,14.0,14.0,,,0.0,6.0,6.0,8.0,8.0,,2.0,,,,,75.0,27.0,7.9,3.0,0.0718099,71.997555169083,7.0,43.895383237897,,3,,0.16,0.28,0.14,,1.0,,,3.0,1.0,,,2.0,,,1.0,1.0,,,1.0,16.62821369867,46.351258275956,3.0,1.0,,,,1.0,1.0,0.1456,0.53,1.0,1.0,0.2175,,,
14062196,home,1. FC Köln,Eric Martel,,,martel-eric,E. Martel,M,6,186,936,M,988639,EUR,1020038400,M,6,6,False,,34.0,27.0,1.0,,0.0,15.0,19.0,12.0,15.0,3.0,2.0,,,,,90.0,47.0,6.7,8.0,0.00830144,86.160700303178,9.0,0.11937400015475,,1,,0.0,0.02,0.16,,,,2.0,5.0,5.0,1.0,,,,,2.0,1.0,1.0,1.0,,20.955634169339,24.952637555978,1.0,,4.0,,,1.0,,0.026,-0.15,,,,,,
14062196,home,1. FC Köln,Tom Krauß,,,tom-krauss,T. Krauß,M,5,182,398,M,930272,EUR,993168000,M,5,5,False,,25.0,21.0,2.0,1.0,1.0,3.0,4.0,18.0,21.0,3.0,1.0,,,,,90.0,50.0,7.8,10.0,0.0553812,24.501326655627,5.0,10.283511981203,,1,,0.38,0.04,0.37,,,,,4.0,7.0,1.0,1.0,,,1.0,5.0,4.0,4.0,2.0,2.0,,,,2.0,,1.0,,,1.0,0.0348,0.01,,,,,,
14062196,home,1. FC Köln,Jakub Kamiński,,,jakub-kaminski,J. Kamiński,M,16,178,5205,M,801263,EUR,1023235200,M,16,16,False,,21.0,20.0,1.0,,0.0,7.0,7.0,13.0,14.0,1.0,,,,,,75.0,35.0,6.8,6.0,0.0552643,108.55710221261,10.0,49.045217392113,,1,,-0.02,0.36,0.29,,1.0,,,7.0,3.0,2.0,1.0,2.0,,1.0,2.0,,1.0,1.0,1.0,13.706506004617,61.657563834145,5.0,,1.0,,,,1.0,0.0292,-0.23,,,,jakub.kaminskii,,
14062196,home,1. FC Köln,Ragnar Ache,,,ragnar-ache,R. Ache,F,9,182,1324,M,877544,EUR,901584000,F,9,9,False,,14.0,6.0,,,0.0,1.0,2.0,5.0,12.0,1.0,,,,,,86.0,27.0,6.9,13.0,0.0150147,10.272760114446,2.0,-4.1559974355171,,2,,-0.16,0.0,0.0,,,,9.0,4.0,11.0,,,,,,1.0,1.0,5.0,2.0,1.0,,,,,3.0,,,1.0,,0.2554,-0.43,1.0,,0.2853,,1.0,1.0
