match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_keyPass,stat_totalShots,player_jerseyNumber,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_bigChanceMissed,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_aerialWon,stat_bigChanceCreated,stat_outfielderBlock,stat_wasFouled,player_firstName,player_lastName,stat_fouls,stat_accurateCross,stat_onTargetScoringAttempt,stat_goals,stat_wonContest,stat_blockedScoringAttempt,player_sofascoreId,stat_totalOffside,captain,stat_penaltyWon,stat_penaltyFaced,stat_errorLeadToAShot,stat_hitWoodwork,stat_penaltyConceded
12624453,home,Al-Shabab,Abdullah Al-Mayouf,abdullah-al-mayouf,A. Al-Mayouf,G,187.0,197,M,118159,EUR,538358400,G,33,33,False,40.0,26.0,17.0,4.0,0.0,24.0,28.0,2.0,12.0,2.0,8.0,3.0,6.0,3.0,2.0,90.0,53.0,8.1,14.0,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624453,home,Al-Shabab,Mohammed Al-Thani,mohammed-al-thain,M. Al-Thani,M,174.0,72,M,954643,EUR,855532800,D,71,71,False,26.0,21.0,1.0,,0.0,12.0,13.0,9.0,14.0,3.0,5.0,,,,,85.0,47.0,6.4,10.0,,1,17,1.0,1.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
12624453,home,Al-Shabab,Nader Al Sharari,nader-abdullah-al-sharari,N. A. Sharari,D,184.0,534,M,923040,EUR,831513600,D,5,5,False,54.0,54.0,,,0.0,49.0,49.0,5.0,5.0,7.0,5.0,,,,,90.0,67.0,7.8,,1.0,0,4,,,,5.0,,,,,,1.0,1.0,1.0,,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
12624453,home,Al-Shabab,Wesley Hoedt,wesley-hoedt,W. Hoedt,D,188.0,354,M,336813,EUR,762912000,D,4,4,False,56.0,51.0,12.0,9.0,0.0,33.0,34.0,18.0,22.0,7.0,5.0,,,,,90.0,77.0,8.2,5.0,,1,4,,,1.0,6.0,1.0,,,1.0,1.0,1.0,5.0,3.0,,,,4.0,1.0,,,,,,,,,,,,,,,,
12624453,home,Al-Shabab,Robert Renan,robert-renan,R. Renan,D,186.0,3212,M,1191278,EUR,1065830400,D,30,30,False,56.0,49.0,6.0,5.0,0.0,37.0,41.0,12.0,17.0,5.0,5.0,,,,,90.0,86.0,8.1,10.0,,1,30,2.0,,3.0,8.0,2.0,,,1.0,1.0,2.0,5.0,4.0,,2.0,,3.0,1.0,Robert Renan,,1.0,,,,,,,,,,,,,
12624453,home,Al-Shabab,Cristian Guanca,cristian-guanca,C. Guanca,M,177.0,565,M,789438,EUR,733190400,M,11,11,False,53.0,45.0,4.0,1.0,0.0,24.0,27.0,22.0,29.0,,5.0,,,,,90.0,64.0,8.0,12.0,4.0,3,10,3.0,,5.0,1.0,3.0,1.0,1.0,,,,1.0,1.0,,,2.0,,,,,,1.0,3.0,1.0,,,,,,,,,,
12624453,home,Al-Shabab,Glen Kamara,glen-kamara,G. Kamara,M,183.0,804,M,292665,EUR,814838400,M,14,14,False,53.0,49.0,,,0.0,28.0,30.0,21.0,23.0,1.0,5.0,,,,,90.0,66.0,7.0,7.0,,0,4,,,5.0,4.0,2.0,1.0,2.0,,,3.0,2.0,2.0,1.0,,,,1.0,,,1.0,,,,1.0,,,,,,,,,
12624453,home,Al-Shabab,Musab Al Juwayr,musab-fahd-aljuwayr,M. A. Juwayr,M,175.0,850,M,1106234,EUR,1056067200,M,15,15,False,61.0,54.0,5.0,4.0,1.0,33.0,37.0,21.0,24.0,1.0,6.0,,,,,84.0,80.0,8.0,13.0,4.0,2,10,,,2.0,8.0,,1.0,1.0,1.0,1.0,,7.0,6.0,3.0,,,1.0,1.0,Musab Fahz Aljuwayr,,,,1.0,,,,,,,,,,,
12624453,home,Al-Shabab,Daniel Podence,daniel-podence,D. Podence,F,165.0,3019,M,308764,EUR,814233600,F,56,56,False,22.0,12.0,3.0,1.0,0.0,5.0,7.0,7.0,16.0,1.0,2.0,,,,,67.0,34.0,6.6,15.0,1.0,2,56,1.0,,4.0,1.0,,2.0,3.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,
12624453,home,Al-Shabab,Abderrazak Hamdallah,abderrazak-hamdallah,A. Hamdallah,F,182.0,11081,M,826961,EUR,661392000,F,9,9,False,14.0,13.0,,,0.0,7.0,7.0,6.0,7.0,,2.0,,,,,89.0,22.0,7.5,2.0,,5,9,,1.0,2.0,2.0,1.0,,,,4.0,,,,1.0,,,,2.0,,,,,1.0,1.0,,,abderrazak_hamdallah,1.0,,,,,,
