match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_aerialLost,stat_aerialWon,stat_dispossessed,stat_outfielderBlock,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_interceptionWon,stat_fouls,stat_keyPass,player_sofascoreId,captain,stat_bigChanceMissed,stat_totalOffside,stat_bigChanceCreated,stat_hitWoodwork,stat_punches,stat_goals,stat_goalAssist
10389747,home,Stade Rennais,Steve Mandanda,steve-mandanda,S. Mandanda,G,30,185,792,M,27029,EUR,480816000,G,30,30,False,55.0,34.0,31.0,12.0,26.0,28.0,8.0,27.0,18.0,1.0,3.0,3.0,1.0,1.0,90.0,67.0,7.0,21.0,0.0,0.0,0.00248727,0,0.3732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10389747,home,Stade Rennais,Djed Spence,djed-spence,D. Spence,D,24,184,4534,M,945798,EUR,965779200,D,90,90,False,43.0,39.0,,,17.0,19.0,23.0,25.0,9.0,,,,,,90.0,63.0,6.6,7.0,0.0,0.0,0.0701038,0,,,,1.0,1.0,3.0,5.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
10389747,home,Stade Rennais,Warmed Omari,omari-warmed,W. Omari,D,17,185,538,M,999030,EUR,956448000,D,23,23,False,59.0,52.0,9.0,5.0,43.0,47.0,9.0,12.0,6.0,,,,,,90.0,69.0,6.6,9.0,0.0,0.0,0.00479519,0,,,,,,3.0,3.0,,,,1.0,,,1.0,,2.0,3.0,1.0,1.0,,,,,,,,,,,,,,,
10389747,home,Stade Rennais,Arthur Theate,arthur-theate,A. Theate,D,3,186,2210,M,965778,EUR,959212800,D,5,5,False,52.0,50.0,5.0,4.0,36.0,37.0,14.0,15.0,7.0,,,,,,90.0,62.0,7.1,4.0,0.3662,0.0349,0.00436438,3,,,,,,2.0,6.0,1.0,,,,1.0,1.0,2.0,,1.0,5.0,,,1.0,1.0,1.0,2.0,,,,,,,,,,,
10389747,home,Stade Rennais,Adrien Truffert,truffert-adrien,A. Truffert,M,3,176,1506,M,999028,EUR,1006214400,D,3,3,False,46.0,37.0,3.0,3.0,20.0,22.0,18.0,27.0,6.0,,,,,,90.0,74.0,7.0,21.0,0.0,0.0,0.0537757,0,,,,3.0,1.0,4.0,5.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,,,2.0,,,,,,2.0,1.0,3.0,,,,,,,,,
10389747,home,Stade Rennais,Jérémy Doku,jeremy-doku,J. Doku,M,11,173,69678,M,934386,EUR,1022457600,M,10,10,False,8.0,5.0,,,,,5.0,8.0,,,,,,,26.0,16.0,6.5,5.0,0.0,0.0,0.0104419,0,,,,,,2.0,2.0,,3.0,2.0,,,,1.0,,1.0,,,,,,,,,,Dokss,,,,,,,,
10389747,home,Stade Rennais,Baptiste Santamaria,baptiste-santamaria,B. Santamaria,M,22,183,473,M,344751,EUR,794707200,M,8,8,False,51.0,38.0,3.0,2.0,15.0,20.0,23.0,31.0,5.0,,,,,,90.0,66.0,6.4,16.0,0.0,0.0,0.0155811,0,,,,,,7.0,7.0,2.0,1.0,,2.0,,,1.0,3.0,2.0,4.0,1.0,,,,,3.0,1.0,,,,,,,,,,
10389747,home,Stade Rennais,Benjamin Bourigeaud,benjamin-bourigeaud,B. Bourigeaud,M,19,178,962,M,324399,EUR,758505600,M,14,14,False,62.0,49.0,8.0,5.0,22.0,27.0,30.0,41.0,7.0,,,,,,86.0,79.0,7.4,17.0,0.0,0.0,0.260852,0,,,,6.0,3.0,6.0,7.0,2.0,1.0,,1.0,5.0,3.0,,,1.0,2.0,,1.0,,,,,2.0,3.0,,True,,,,,,,
10389747,home,Stade Rennais,Karl Toko Ekambi,karl-toko-ekambi,K. Toko Ekambi,F,9,183,3852,M,842931,EUR,716428800,M,17,17,False,30.0,19.0,1.0,1.0,3.0,4.0,16.0,27.0,7.0,,,,,,90.0,50.0,6.1,21.0,0.3157,0.0,0.204633,3,,,,1.0,,6.0,8.0,,2.0,1.0,1.0,,,2.0,1.0,,6.0,5.0,,2.0,,1.0,,,1.0,karltokoekambi,,1.0,1.0,,,,,
10389747,home,Stade Rennais,Arnaud Kalimuendo,arnaud-kalimuendo,A. Kalimuendo,F,25,175,3552,M,954061,EUR,1011484800,F,9,9,False,15.0,12.0,,,5.0,5.0,7.0,11.0,4.0,,,,,,73.0,25.0,6.6,8.0,0.0961,0.0602,0.0263586,2,,,,1.0,,9.0,2.0,,2.0,1.0,,,,2.0,1.0,4.0,,1.0,,,1.0,1.0,1.0,3.0,,,,,,,,,,
