match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,player_sofascoreId,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_unsuccessfulTouch,stat_penaltyWon,player_firstName,player_lastName,stat_blockedScoringAttempt,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_fouls,stat_bigChanceCreated,stat_totalOffside,stat_keyPass,stat_hitWoodwork,stat_challengeLost,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,captain,stat_goalAssist,stat_penaltyMiss,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_goalsPrevented,stat_outfielderBlock,stat_penaltyConceded
10389994,home,Olympique de Marseille,Pau López,pau-lopez,P. López,G,25,189,1242,M,548848,EUR,787276800,G,16,16,False,19.0,15.0,6.0,2.0,14.0,14.0,1.0,5.0,1.0,6.0,1.0,1.0,90.0,23.0,6.9,4.0,0.0,0.0,0.00020329,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10389994,home,Olympique de Marseille,Chancel Mbemba,chancel-mbemba,C. Mbemba,D,18,182,34725,M,238612,EUR,776304000,D,99,99,False,65.0,58.0,5.0,4.0,26.0,26.0,33.0,40.0,5.0,5.0,1.0,,90.0,77.0,7.6,11.0,0.0307,0.0,0.0506063,1,chancel22,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
10389994,home,Olympique de Marseille,Eric Bailly,eric-bailly,E. Bailly,D,2,187,4273,M,606346,EUR,766108800,D,3,3,False,57.0,48.0,6.0,4.0,29.0,34.0,19.0,23.0,11.0,3.0,1.0,,90.0,75.0,7.3,13.0,0.0457,0.0,0.00723916,1,ericbailly,,,4.0,7.0,6.0,,1.0,1.0,,2.0,4.0,,,,1.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,
10389994,home,Olympique de Marseille,Samuel Gigot,samuel-gigot,S. Gigot,D,2,187,808,M,339231,EUR,750384000,D,4,4,False,39.0,34.0,1.0,1.0,7.0,7.0,27.0,32.0,2.0,4.0,,,45.0,43.0,6.8,5.0,0.0,0.0,0.0110588,0,,,,,1.0,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
10389994,home,Olympique de Marseille,Jonathan Clauss,jonathan-clauss,J. Clauss,M,92,178,2004,M,821728,EUR,717379200,M,7,7,False,40.0,24.0,2.0,,9.0,11.0,16.0,33.0,3.0,5.0,1.0,,89.0,70.0,6.9,24.0,0.0489,0.0,0.116974,1,,4.0,1.0,3.0,,10.0,3.0,1.0,,1.0,,1.0,,,,,2.0,2.0,2.0,3.0,1.0,1.0,3.0,,,,,,,,,,,,,,,
10389994,home,Olympique de Marseille,Valentin Rongier,valentin-rongier,V. Rongier,M,21,172,1149,M,581314,EUR,786758400,M,21,21,False,45.0,41.0,1.0,1.0,13.0,14.0,28.0,31.0,4.0,4.0,,,58.0,62.0,7.1,10.0,0.0383,0.0,0.0417747,1,,,,1.0,,6.0,2.0,2.0,1.0,1.0,2.0,2.0,,,,,,3.0,2.0,2.0,,,1.0,1.0,,,,,,,,,,,,,,
10389994,home,Olympique de Marseille,Pape Gueye,pape-gueye,P. Gueye,M,18,187,36528,M,879694,EUR,917136000,M,22,22,False,52.0,47.0,2.0,2.0,14.0,14.0,33.0,38.0,9.0,7.0,3.0,,75.0,70.0,7.4,8.0,0.3374,0.5572,0.0534914,3,p.gueye24,,,1.0,3.0,6.0,1.0,,,,1.0,2.0,,,,1.0,,3.0,2.0,2.0,,,,,2.0,1.0,2.0,1.0,,,,,,,,,,
10389994,home,Olympique de Marseille,Nuno Tavares,nuno-tavares,N. Tavares,D,17,185,4853,M,944973,EUR,948844800,M,30,30,False,41.0,32.0,2.0,1.0,7.0,11.0,26.0,34.0,10.0,10.0,1.0,,90.0,76.0,7.4,21.0,0.1019,0.2344,0.387934,3,nuno_tavares71,4.0,1.0,1.0,,7.0,2.0,6.0,4.0,1.0,,2.0,,,,1.0,,5.0,3.0,1.0,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,
10389994,home,Olympique de Marseille,Mattéo Guendouzi,matteo-guendouzi,M. Guendouzi,M,6,185,7016,M,852404,EUR,924048000,F,6,6,False,49.0,38.0,2.0,1.0,8.0,9.0,31.0,42.0,3.0,5.0,,,90.0,58.0,6.8,13.0,0.1594,0.0,0.256861,1,MatteoGuendouzi,2.0,1.0,2.0,2.0,7.0,,1.0,,,2.0,,,,,1.0,,1.0,,3.0,,,1.0,,1.0,,,,,,,,,,,,,
10389994,home,Olympique de Marseille,Dimitri Payet,dimitri-payet,D. Payet,M,10,175,8276,M,14216,EUR,543974400,F,10,10,False,25.0,19.0,2.0,,4.0,4.0,18.0,25.0,4.0,4.0,,,59.0,47.0,7.6,11.0,0.4843,0.0951,0.427266,6,payet27,4.0,3.0,,,4.0,1.0,5.0,3.0,4.0,,,,,,1.0,1.0,1.0,1.0,,1.0,,4.0,,1.0,1.0,1.0,,True,1.0,,,,,,,,
