match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_errorLeadToAGoal,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,captain,stat_aerialLost,stat_duelLost,stat_totalContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,player_sofascoreId,stat_aerialWon,stat_dispossessed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,stat_totalCross,stat_challengeLost,stat_outfielderBlock,player_firstName,player_lastName,stat_accurateCross,stat_wonContest,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_goodHighClaim,stat_lastManTackle,stat_bigChanceMissed,stat_totalOffside
14065162,home,Hamburger SV,Daniel Heuer Fernandes,daniel-heuer-fernandes,D. H. Fernandes,G,1,188,402,M,113442,EUR,721612800,G,1,1,False,55.0,32.0,31.0,8.0,0.0,28.0,33.0,4.0,22.0,1.0,9.0,1.0,1.0,1.0,2.0,1.0,1.0,90.0,59.0,5.9,23.0,0.0011141,167.57067621822,23.0,53.97,8.925,-0.0018,0,-0.2176,0.05,-0.04,-0.4,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14065162,home,Hamburger SV,Nicolás Capaldo,nicolas-capaldo,N. Capaldo,M,24,178,897,M,973564,EUR,905731200,D,24,24,False,29.0,22.0,2.0,2.0,0.0,15.0,21.0,7.0,8.0,5.0,5.0,,,,,,,90.0,50.0,6.5,11.0,0.00246523,41.405825654857,7.0,10.815,11.445,,0,,0.05,0.05,-0.13,,True,1.0,4.0,2.0,2.0,5.0,5.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
14065162,home,Hamburger SV,Luka Vušković,luka-vuskovic,L. Vušković,D,44,193,11576,M,1405212,EUR,1172275200,D,44,44,False,30.0,23.0,6.0,3.0,0.0,17.0,17.0,6.0,13.0,3.0,2.0,,,,,,,90.0,48.0,6.7,8.0,0.00719681,84.172162937519,11.0,34.755,12.18,,2,,0.07,0.16,0.25,,,2.0,4.0,,10.0,,2.0,1.0,,1.0,lukavuskovic,1.0,1.0,1.0,1.0,0.1707,1.0,-0.29,,,,,,,,,,,,,,,,
14065162,home,Hamburger SV,Jordan Torunarigha,jordan-torunarigha,J. Torunarigha,D,25,189,608,M,801003,EUR,870912000,D,25,25,False,30.0,22.0,3.0,2.0,0.0,17.0,21.0,5.0,9.0,2.0,2.0,,,,,,,90.0,43.0,6.4,9.0,0.00266523,66.134130890515,7.0,27.93,15.015,,0,,-0.02,0.06,-0.08,,,2.0,4.0,,6.0,1.0,1.0,1.0,,1.0,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,
14065162,home,Hamburger SV,William Mikelbrencis,william-mikelbrencis,W. Mikelbrencis,D,2,176,203,M,1102528,EUR,1077667200,M,2,2,False,15.0,10.0,1.0,,0.0,5.0,6.0,5.0,9.0,3.0,3.0,,1.0,,,,,67.0,38.0,6.6,12.0,0.00198726,24.3902367709,3.0,17.115,9.87,,0,,-0.07,0.13,0.21,,,1.0,4.0,,3.0,1.0,2.0,2.0,2.0,2.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,
14065162,home,Hamburger SV,Albert Sambi Lokonga,albert-sambi-lokonga,A. S. Lokonga,M,6,183,3617,M,901892,EUR,940550400,M,6,6,False,14.0,12.0,1.0,1.0,0.0,8.0,9.0,4.0,5.0,2.0,2.0,,1.0,,,,,67.0,26.0,6.7,2.0,0.00342624,25.500463052188,3.0,22.68,11.445,,0,,0.04,0.02,0.0,,,1.0,2.0,,3.0,2.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
14065162,home,Hamburger SV,Nicolai Remberg,nicolai-remberg,N. Remberg,M,21,187,305,M,1064305,EUR,961372800,M,21,21,False,31.0,29.0,3.0,3.0,0.0,23.0,23.0,6.0,8.0,7.0,4.0,,2.0,,,,,90.0,43.0,7.1,2.0,0.00842461,53.522312177002,7.0,-20.79,5.04,,0,,0.07,0.04,-0.01,,,,3.0,,3.0,1.0,4.0,1.0,,2.0,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,
14065162,home,Hamburger SV,Miro Muheim,miro-muheim,M. Muheim,D,28,182,740,M,798303,EUR,890697600,M,28,28,False,23.0,11.0,5.0,2.0,0.0,5.0,9.0,6.0,14.0,5.0,7.0,,1.0,,,,,90.0,57.0,7.3,19.0,0.245855,65.226139701446,9.0,24.57,15.96,,1,,0.44,0.03,0.18,,,1.0,2.0,1.0,7.0,2.0,2.0,,,1.0,,1.0,,,1.0,0.0341,3.0,-0.02,9.0,,,,,3.0,1.0,,,,,,,,,
14065162,home,Hamburger SV,Rayan Philippe,rayan-philippe,R. Philippe,F,14,177,575,M,991824,EUR,972000000,F,14,14,False,8.0,6.0,,,0.0,2.0,3.0,4.0,5.0,,2.0,,,,,,,68.0,17.0,6.1,8.0,0.00222202,84.429307498342,8.0,75.495,25.62,,1,,-0.08,0.25,-0.04,,,1.0,5.0,2.0,,,,,3.0,3.0,,,,1.0,,0.043,,-0.3,1.0,,,,,,,,,,,,,,,
14065162,home,Hamburger SV,Robert Glatzel,robert-glatzel,R. Glatzel,F,9,193,991,M,168987,EUR,757987200,F,9,9,False,1.0,1.0,,,0.0,1.0,1.0,,0.0,1.0,,,1.0,,,,,33.0,6.0,7.4,2.0,1.595e-05,38.233741805157,2.0,26.25,30.66,,1,,-0.04,0.09,0.0,,,3.0,3.0,,,,,,1.0,,,,,,,0.2281,,0.51,1.0,,,,,,,1.0,1.0,1.0,0.6699,,,,,
