match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wasFouled,stat_fouls,stat_keyPass,stat_wonTackle,stat_totalCross,stat_dispossessed,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,captain,stat_shotOffTarget,stat_totalOffside,stat_goalAssist,stat_accurateCross,stat_blockedScoringAttempt
10411703,home,Monza,Michele Di Gregorio,,,michele-di-gregorio,M. Di Gregorio,G,16,187,8129,M,L'UomoTigre,844609,EUR,869961600,G,16,16,False,26.0,18.0,14.0,6.0,16.0,17.0,2.0,9.0,1.0,9.0,1.0,1.0,2.0,90.0,36.0,6.6,8.0,0.0,0.0,0.00058385,0,-0.2357,,,,,,,,,,,,,,,,,,,,,,,,,
10411703,home,Monza,Armando Izzo,,,armando-izzo,A. Izzo,D,4,183,521,M,,165583,EUR,699494400,D,55,55,False,28.0,25.0,4.0,2.0,22.0,24.0,3.0,4.0,4.0,5.0,,,,90.0,52.0,7.9,6.0,0.0498,0.4099,0.00084177,1,,1.0,2.0,3.0,6.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,
10411703,home,Monza,Pablo Marí,,,pablo-mari,P. Marí,D,30,191,1707,M,,208988,EUR,746755200,D,3,3,False,42.0,37.0,7.0,3.0,33.0,37.0,4.0,5.0,7.0,7.0,,,,90.0,60.0,7.3,5.0,0.0,0.0,0.00146188,0,,1.0,1.0,1.0,5.0,,,,1.0,1.0,4.0,,,,1.0,,,,,,,,,,,
10411703,home,Monza,Luca Caldirola,,,luca-caldirola,L. Caldirola,D,33,189,134,M,,100565,EUR,665366400,D,5,5,False,22.0,21.0,2.0,1.0,19.0,20.0,2.0,2.0,4.0,4.0,,,,90.0,33.0,6.6,2.0,0.0,0.0,0.00026487,0,,1.0,,3.0,2.0,2.0,,,,2.0,2.0,,,,1.0,,,,,,,,,,,
10411703,home,Monza,Samuele Birindelli,,,samuele-birindelli,S. Birindelli,M,19,175,231,M,,856729,EUR,932342400,M,19,19,False,37.0,25.0,6.0,1.0,11.0,18.0,14.0,21.0,1.0,4.0,,,,71.0,59.0,6.6,21.0,0.0831,0.0676,0.0949677,1,,,,6.0,5.0,1.0,1.0,,,1.0,3.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,,,,,,
10411703,home,Monza,Matteo Pessina,,,matteo-pessina,M. Pessina,M,32,183,659,M,,350210,EUR,861580800,M,32,32,False,47.0,38.0,3.0,1.0,24.0,27.0,14.0,20.0,1.0,5.0,,,,90.0,63.0,7.3,11.0,0.0,0.0,0.0218637,0,,1.0,2.0,6.0,8.0,2.0,,,4.0,2.0,4.0,2.0,3.0,,2.0,,,,,,True,,,,,
10411703,home,Monza,Stefano Sensi,,,stefano-sensi,S. Sensi,M,6,168,1044,M,,294313,EUR,807580800,M,12,12,False,32.0,29.0,4.0,3.0,14.0,14.0,15.0,19.0,,5.0,,,,64.0,38.0,6.2,6.0,0.0,0.0,0.0175914,0,,,,4.0,1.0,2.0,,,,1.0,,1.0,,,,1.0,1.0,1.0,,,,,,,,
10411703,home,Monza,Carlos Augusto,,,carlos-augusto,C. Augusto,D,30,184,7355,M,,929199,EUR,915667200,M,30,30,False,35.0,29.0,8.0,6.0,18.0,23.0,11.0,13.0,2.0,2.0,,,,65.0,52.0,6.7,10.0,0.0779,0.0,0.0189984,1,,,,4.0,4.0,2.0,,,,,1.0,,,,1.0,1.0,1.0,4.0,3.0,,,1.0,1.0,,,
10411703,home,Monza,Patrick Ciurria,,,patrick-ciurria,P. Ciurria,F,26,178,222,M,,346676,EUR,792288000,F,84,84,False,24.0,21.0,1.0,1.0,8.0,10.0,13.0,14.0,,3.0,,,,90.0,40.0,7.5,8.0,0.2378,0.2721,0.0506026,2,,,,,1.0,,1.0,1.0,1.0,1.0,,1.0,,2.0,,,,,,2.0,,1.0,2.0,,,
10411703,home,Monza,Gianluca Caprari,,,gianluca-caprari,G. Caprari,F,24,170,457,M,,148458,EUR,743990400,F,17,17,False,29.0,25.0,3.0,2.0,14.0,14.0,12.0,18.0,1.0,3.0,,,,82.0,44.0,7.2,9.0,0.0752,0.0,0.0672749,2,,,,3.0,3.0,1.0,,,,1.0,,3.0,,2.0,,3.0,2.0,,,1.0,,1.0,2.0,1.0,1.0,1.0
