match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_keyPass,stat_aerialWon,stat_dispossessed,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_fouls,stat_totalClearance,stat_accurateCross,stat_challengeLost,stat_bigChanceCreated,stat_shotOffTarget,stat_blockedScoringAttempt,stat_goals,stat_outfielderBlock,player_firstName,player_lastName,stat_goalAssist,stat_bigChanceMissed,stat_hitWoodwork,captain,stat_totalOffside,stat_penaltyWon,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyConceded,stat_lastManTackle
10382223,home,AFC Ajax,Gerónimo Rulli,geronimo-rulli,G. Rulli,G,1,189,13348,M,gerorulli,128383,EUR,706320000,G,12,12,False,37.0,30.0,11.0,6.0,28.0,32.0,2.0,5.0,7.0,1.0,2.0,90.0,47.0,7.2,7.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382223,home,AFC Ajax,Devyne Rensch,devyne-rensch,D. Rensch,D,2,182,2450,M,,982778,EUR,1042848000,D,15,15,False,77.0,72.0,,,32.0,35.0,40.0,43.0,7.0,,,90.0,90.0,7.4,6.0,0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382223,home,AFC Ajax,Jurriën Timber,jurrien-timber,J. Timber,D,12,179,21701,M,jurrientimber,958959,EUR,992736000,D,2,2,False,108.0,105.0,2.0,1.0,45.0,46.0,60.0,62.0,3.0,,,90.0,120.0,7.0,8.0,2,,4.0,8.0,4.0,,,,,,1.0,,3.0,1.0,2.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
10382223,home,AFC Ajax,Edson Álvarez,edson-alvarez,E. Álvarez,M,11,190,10882,M,EdsonAlvarez19,847151,EUR,877651200,D,4,4,False,73.0,70.0,1.0,,32.0,34.0,38.0,39.0,7.0,,,70.0,82.0,6.8,4.0,0,,4.0,6.0,2.0,,,,1.0,,,,1.0,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,
10382223,home,AFC Ajax,Owen Wijndal,owen-wijndal,O. Wijndal,D,5,174,794,M,,836673,EUR,943747200,D,5,5,False,55.0,53.0,2.0,1.0,15.0,16.0,39.0,40.0,5.0,,,78.0,66.0,7.3,4.0,1,1.0,2.0,2.0,4.0,,,,3.0,3.0,1.0,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
10382223,home,AFC Ajax,Steven Berghuis,steven-berghuis,S. Berghuis,F,23,182,1909,M,,100386,EUR,693100800,M,23,23,False,58.0,53.0,7.0,6.0,10.0,11.0,44.0,49.0,8.0,,,78.0,70.0,7.5,9.0,3,2.0,,2.0,2.0,3.0,2.0,,,,,3.0,,,,2.0,,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,
10382223,home,AFC Ajax,Kenneth Taylor,kenneth-taylor,K. Taylor,M,24,182,3631,M,,959806,EUR,1021507200,M,8,8,False,71.0,67.0,1.0,1.0,31.0,33.0,36.0,39.0,3.0,,,86.0,84.0,7.8,8.0,2,1.0,,2.0,4.0,,,1.0,2.0,1.0,1.0,,1.0,1.0,2.0,2.0,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,
10382223,home,AFC Ajax,Davy Klaassen,davy-klaassen,D. Klaassen,M,18,179,1575,M,,97410,EUR,730252800,M,6,6,False,29.0,27.0,1.0,1.0,9.0,10.0,18.0,19.0,2.0,,,90.0,34.0,7.1,3.0,1,,2.0,3.0,1.0,,,1.0,,,,1.0,1.0,,,1.0,,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,
10382223,home,AFC Ajax,Mohammed Kudus,mohammed-kudus,M. Kudus,M,20,176,89569,M,Kudus,905163,EUR,965174400,F,20,20,False,45.0,40.0,2.0,1.0,9.0,9.0,31.0,36.0,6.0,,,90.0,75.0,7.2,15.0,5,,,6.0,9.0,6.0,4.0,,2.0,2.0,2.0,1.0,1.0,4.0,2.0,4.0,,1.0,,,,2.0,1.0,1.0,,,,,2.0,1.0,,,,,,,,,,
10382223,home,AFC Ajax,Dušan Tadić,dusan-tadic,D. Tadić,F,10,181,12245,M,dusantadic,38560,EUR,595987200,F,10,10,False,54.0,47.0,1.0,1.0,7.0,7.0,42.0,51.0,1.0,,,90.0,75.0,9.3,14.0,4,4.0,,2.0,3.0,2.0,2.0,,,,1.0,7.0,,2.0,2.0,2.0,,1.0,2.0,,1.0,,2.0,2.0,,,,1.0,1.0,,True,2.0,,,,,,,,
