match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_bigChanceCreated,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keyPass,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_totalClearance,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_accurateCross,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_challengeLost,stat_dispossessed,stat_blockedScoringAttempt,stat_wasFouled,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_outfielderBlock,captain,stat_goals,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_punches,stat_lastManTackle
12437034,home,Manchester United,André Onana,,,andre-onana,A. Onana,G,24,190,53850,M,AndréOnana24,787498,EUR,828403200,G,24,24,False,44.0,26.0,30.0,12.0,0.0,15.0,18.0,11.0,26.0,1.0,7.0,1.0,1.0,1.0,1.0,90.0,50.0,7.0,18.0,0.1865,1.0,0,0.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437034,home,Manchester United,Diogo Dalot,,,diogo-dalot,D. Dalot,M,2,184,22996,M,DDalot,843200,EUR,921715200,D,20,20,False,36.0,33.0,3.0,2.0,0.0,16.0,17.0,17.0,20.0,,7.0,,,,,90.0,52.0,6.7,6.0,0.0121526,,1,,1.0,1.0,4.0,2.0,4.0,1.0,1.0,3.0,1.0,1.0,0.1672,0.1494,,,,,,,,,,,,,,,,,,
12437034,home,Manchester United,Matthijs de Ligt,,,matthijs-de-ligt,M. de Ligt,D,4,188,32684,M,mdeligt,803031,EUR,934416000,D,4,4,False,43.0,41.0,2.0,1.0,0.0,24.0,25.0,18.0,19.0,,5.0,,,,,90.0,54.0,7.2,2.0,0.0109168,1.0,0,,1.0,2.0,2.0,3.0,5.0,,,3.0,,1.0,,,1.0,3.0,3.0,2.0,,,,,,,,,,,,,,
12437034,home,Manchester United,Jonny Evans,,,jonny-evans,J. Evans,D,,188,4344,M,6jevans,30144,EUR,568166400,D,35,35,False,60.0,55.0,1.0,1.0,0.0,36.0,39.0,19.0,21.0,,6.0,,,,,89.0,66.0,6.8,5.0,0.0120494,,0,,,1.0,2.0,1.0,4.0,,,4.0,,,,,,,2.0,1.0,,,,,,,,,,,,,,
12437034,home,Manchester United,Lisandro Martínez,,,lisandro-martinez,L. Martínez,D,6,175,51689,M,LichaMartínez,859999,EUR,885081600,D,6,6,False,42.0,33.0,5.0,2.0,0.0,10.0,10.0,23.0,32.0,,2.0,,,,,90.0,63.0,7.2,11.0,0.0192439,1.0,1,,,,1.0,2.0,4.0,,1.0,2.0,,,0.021,0.012,,2.0,3.0,2.0,2.0,,,,,,,,,,,,,
12437034,home,Manchester United,Christian Eriksen,,,christian-eriksen,C. Eriksen,M,24,182,20866,M,chriseriksen8,105734,EUR,698025600,M,14,14,False,43.0,41.0,3.0,2.0,0.0,12.0,12.0,31.0,40.0,,2.0,,,,,90.0,62.0,7.2,10.0,0.0769605,4.0,1,,9.0,,1.0,3.0,4.0,,,3.0,,,0.0671,,2.0,,2.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,
12437034,home,Manchester United,Casemiro,,,casemiro,Casemiro,M,18,185,86039,M,Casemiro,122951,EUR,698803200,M,18,18,False,55.0,46.0,5.0,3.0,0.0,14.0,17.0,33.0,39.0,,6.0,,,,,88.0,76.0,8.0,10.0,0.189285,4.0,3,,1.0,,4.0,5.0,11.0,,1.0,4.0,,2.0,0.0743,0.0693,1.0,1.0,5.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,
12437034,home,Manchester United,Marcus Rashford,,,marcus-rashford,M. Rashford,M,14,185,357139,M,Rashford,814590,EUR,878256000,M,10,10,False,45.0,40.0,3.0,2.0,1.0,11.0,12.0,31.0,37.0,1.0,,,,,,90.0,62.0,7.4,14.0,0.354,4.0,2,,4.0,1.0,1.0,5.0,2.0,,,2.0,2.0,,0.0705,,2.0,,1.0,1.0,,1.0,2.0,,3.0,,,,,,,,,
12437034,home,Manchester United,Bruno Fernandes,,,bruno-fernandes,B. Fernandes,M,8,179,235526,M,BrunoFernandes,288205,EUR,778982400,M,8,8,False,57.0,49.0,4.0,1.0,1.0,21.0,24.0,28.0,35.0,1.0,7.0,,,,,90.0,74.0,7.9,14.0,0.0543361,2.0,5,,2.0,,2.0,3.0,6.0,,2.0,2.0,2.0,,0.1174,0.2423,,,4.0,2.0,1.0,2.0,,,,,3.0,,True,,,,,
12437034,home,Manchester United,Alejandro Garnacho,,,alejandro-garnacho,A. Garnacho,F,49,180,138483,M,AleGarnacho,1135873,EUR,1088640000,M,17,17,False,28.0,22.0,4.0,3.0,0.0,8.0,11.0,14.0,18.0,,7.0,,,,,89.0,51.0,8.2,12.0,0.0406417,2.0,8,,1.0,2.0,,9.0,6.0,,5.0,,3.0,,0.3936,0.8693,,2.0,3.0,3.0,5.0,,2.0,1.0,4.0,2.0,1.0,,,1.0,,,,
12437034,home,Manchester United,Rasmus Højlund,,,rasmus-hojlund,R. Højlund,F,19,191,70296,M,RHøjlund,1086417,EUR,1044316800,F,9,9,False,20.0,14.0,,,0.0,5.0,6.0,9.0,14.0,,2.0,,,,,74.0,33.0,7.5,12.0,0.0121086,1.0,2,,,9.0,3.0,11.0,6.0,,1.0,,4.0,,0.4193,0.6502,,,,,,1.0,,1.0,3.0,2.0,1.0,,,1.0,1.0,,,
12437034,home,Manchester United,Joshua Zirkzee,,,joshua-zirkzee,J. Zirkzee,F,11,193,26112,M,JZirkzee,917007,EUR,990489600,F,11,11,True,9.0,5.0,,,0.0,3.0,4.0,2.0,5.0,,1.0,,,,,16.0,14.0,6.3,9.0,0.0175097,,0,,,1.0,2.0,4.0,2.0,,,,2.0,,,,,,,,,2.0,,,1.0,,,,,,,,,
12437034,home,Manchester United,Manuel Ugarte,,,manuel-ugarte,M. Ugarte,M,25,182,19122,M,ugartemanu,846425,EUR,986947200,M,25,25,True,2.0,2.0,,,0.0,1.0,1.0,1.0,1.0,,1.0,,,,,9.0,4.0,6.5,1.0,0.00149714,,0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
12437034,home,Manchester United,Victor Lindelöf,,,victor-lindelof,V. Lindelöf,D,3,187,8884,M,victorlindelof,143334,EUR,774403200,D,2,2,True,1.0,1.0,,,0.0,1.0,1.0,,,,,,,,,8.0,1.0,6.5,,1.062e-05,,0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
