match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,captain,stat_aerialWon,stat_fouls,stat_accurateCross,stat_shotOffTarget,stat_wasFouled,stat_bigChanceCreated,player_firstName,player_lastName,stat_outfielderBlock,stat_hitWoodwork,stat_totalOffside
12450911,home,Paris Saint-Germain,Gianluigi Donnarumma,gianluigi-donnarumma,G. Donnarumma,G,25,196,69953,M,donnarumma,824509,EUR,919900800,G,1,1,False,25.0,23.0,4.0,3.0,0.0,21.0,22.0,2.0,3.0,5.0,1.0,1.0,90.0,29.0,6.7,2.0,0.00095013,0,-0.5412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450911,home,Paris Saint-Germain,Achraf Hakimi,hakimi-achraf,A. Hakimi,D,2,181,124757,M,AHakimi,814594,EUR,910137600,D,2,2,False,124.0,115.0,,,0.0,13.0,15.0,102.0,118.0,5.0,,,90.0,160.0,8.6,25.0,0.1914,3,,9.0,1.0,6.0,5.0,2.0,2.0,4.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,0.783,1.1984,2.0,,,,,,,,,,,,
12450911,home,Paris Saint-Germain,Marquinhos,marquinhos,Marquinhos,D,5,183,36538,M,marquinhosm5,155995,EUR,768873600,D,5,5,False,125.0,123.0,4.0,4.0,0.0,46.0,47.0,77.0,78.0,5.0,,,90.0,136.0,7.6,2.0,0.0461329,0,,,2.0,4.0,4.0,,,,,,,,,2.0,2.0,3.0,2.0,,,,,True,1.0,2.0,,,,,,,,,
12450911,home,Paris Saint-Germain,Willian Pacho,willian-pacho,W. Pacho,D,51,187,25491,M,pachowilliam,979480,EUR,1003190400,D,51,51,False,114.0,110.0,2.0,2.0,0.0,55.0,58.0,55.0,56.0,8.0,,,90.0,125.0,7.2,6.0,0.022175,0,,,2.0,3.0,6.0,1.0,,,,,,,,1.0,2.0,4.0,2.0,2.0,,,,,2.0,,,,,,,,,,
12450911,home,Paris Saint-Germain,Nuno Mendes,nuno-mendes,N. Mendes,D,25,180,37370,M,nunomendes_5,989768,EUR,1024444800,D,25,25,False,70.0,61.0,2.0,1.0,0.0,21.0,21.0,42.0,57.0,2.0,,,90.0,111.0,7.0,23.0,0.274989,2,,8.0,,9.0,7.0,,7.0,3.0,2.0,,1.0,,,1.0,,1.0,1.0,,0.0724,0.105,2.0,,2.0,1.0,2.0,1.0,2.0,,,,,,
12450911,home,Paris Saint-Germain,João Neves,joao-neves,J. Neves,M,87,174,37142,M,joao_neves,1190933,EUR,1096243200,M,87,87,False,75.0,71.0,2.0,1.0,0.0,20.0,20.0,51.0,56.0,6.0,,,61.0,91.0,7.6,7.0,0.0401857,3,,1.0,,2.0,3.0,,2.0,,,1.0,1.0,,,,,1.0,1.0,,0.474,0.3316,3.0,,1.0,,,2.0,1.0,1.0,,,,,
12450911,home,Paris Saint-Germain,Vitinha,vitinha,Vitinha,M,17,172,50484,M,vitinha,902029,EUR,950400000,M,17,17,False,169.0,158.0,12.0,11.0,0.0,31.0,33.0,127.0,137.0,3.0,,,90.0,183.0,8.6,16.0,0.838617,3,,1.0,,2.0,2.0,1.0,,2.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,3.0,0.3354,0.3328,6.0,,,,,1.0,,1.0,,,,,
12450911,home,Paris Saint-Germain,Fabián Ruiz,fabian-ruiz,F. Ruiz,M,8,189,21859,M,fabianruiz52,784655,EUR,828489600,M,8,8,False,110.0,101.0,4.0,2.0,0.0,33.0,34.0,69.0,80.0,8.0,,,90.0,129.0,7.3,15.0,0.188066,2,,4.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,,2.0,,,2.0,,,2.0,0.1155,,2.0,,,,1.0,,,,,,1.0,,
12450911,home,Paris Saint-Germain,Kang-in Lee,kang-in-lee,K. Lee,M,19,173,19307,M,kanginlee,917087,EUR,982540800,F,19,19,False,82.0,73.0,2.0,1.0,0.0,11.0,12.0,66.0,84.0,2.0,,,73.0,109.0,7.9,23.0,0.662057,3,,14.0,,5.0,2.0,1.0,2.0,3.0,1.0,,1.0,1.0,,,,,,,0.0771,0.0377,3.0,,,,4.0,1.0,1.0,1.0,,,,1.0,
12450911,home,Paris Saint-Germain,Gonçalo Ramos,goncalo-ramos,G. Ramos,F,9,185,23725,M,goncaloramos88,934510,EUR,992995200,F,9,9,False,19.0,15.0,,,1.0,,1.0,15.0,18.0,,,,90.0,28.0,8.2,6.0,0.535048,3,,,3.0,4.0,4.0,,1.0,,,,2.0,,,2.0,,1.0,1.0,1.0,0.1952,0.5069,4.0,,3.0,,,1.0,,2.0,,,,,1.0
