match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_interceptionWon,stat_ballRecovery,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,stat_accurateOppositionHalfPasses,stat_totalCross,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_outfielderBlock,stat_unsuccessfulTouch,stat_keyPass,stat_fouls,player_lastName,stat_accurateCross,stat_aerialLost,stat_blockedScoringAttempt,stat_expectedGoals,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_penaltyConceded,stat_bigChanceMissed,stat_shotOffTarget,captain,stat_totalOffside,stat_punches,stat_penaltyWon,stat_errorLeadToAGoal,stat_hitWoodwork,stat_penaltyMiss
12764120,home,Tottenham Hotspur,Guglielmo Vicario,guglielmo-vicario,G. Vicario,G,1,194.0,7142,M,guglielmovicario,553606,EUR,844646400,G,1,1,False,37.0,33.0,5.0,1.0,0.0,33.0,33.0,4.0,2.0,4.0,2.0,1.0,12.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,90.0,58.0,8.4,4.0,0.00029806,0,0.4298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764120,home,Tottenham Hotspur,Archie Gray,archie-gray,A. Gray,D,14,187.0,5628,M,ArchieGray06,1142335,EUR,1142121600,D,14,14,False,39.0,28.0,3.0,1.0,0.0,12.0,17.0,23.0,,3.0,2.0,,9.0,2.0,2.0,,,,,,,,90.0,63.0,7.2,19.0,0.019483,0,,Archie Gray,16.0,1.0,5.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
12764120,home,Tottenham Hotspur,Radu Drăguşin,radu-dragusin,R. Drăguşin,D,3,191.0,13712,M,radudragusin5,997103,EUR,1012694400,D,6,6,False,13.0,13.0,1.0,1.0,0.0,7.0,7.0,6.0,,,,,1.0,,,,,,,,,,7.0,13.0,3.0,,0.00172168,0,,,6.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
12764120,home,Tottenham Hotspur,Micky van de Ven,micky-van-de-ven,M. van de Ven,D,37,193.0,12553,M,mickyvdven,998247,EUR,987638400,D,37,37,False,57.0,54.0,3.0,2.0,0.0,36.0,37.0,20.0,5.0,5.0,1.0,1.0,2.0,,,,,,,,,,90.0,63.0,7.1,3.0,0.00596586,0,,,18.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
12764120,home,Tottenham Hotspur,Ben Davies,ben-davies,B. Davies,D,33,181.0,2686,M,,94758,EUR,735609600,D,33,33,False,79.0,71.0,11.0,4.0,0.0,39.0,39.0,42.0,2.0,4.0,6.0,1.0,5.0,1.0,,,,,,,,,90.0,98.0,7.2,13.0,0.0226378,1,,,33.0,2.0,3.0,,2.0,1.0,1.0,,,1.0,,,,1.0,1.0,1.0,0.0228,,,,,,,,,,,,,
12764120,home,Tottenham Hotspur,Pape Matar Sarr,pape-matar-sarr,P. M. Sarr,M,29,185.0,32532,M,pape,1002711,EUR,1031961600,M,29,29,False,50.0,46.0,2.0,2.0,0.0,25.0,26.0,25.0,1.0,2.0,,2.0,3.0,,,1.0,,,,,,,90.0,60.0,7.5,8.0,0.0306414,2,,,21.0,1.0,2.0,,1.0,,,,,1.0,,1.0,,,,1.0,0.2176,1.0,1.0,0.9331,,,,,,,,,,
12764120,home,Tottenham Hotspur,Yves Bissouma,yves-bissouma,Y. Bissouma,M,8,181.0,19161,M,YB8,844842,EUR,841363200,M,8,8,False,56.0,47.0,1.0,,0.0,26.0,30.0,26.0,,6.0,3.0,3.0,11.0,1.0,1.0,5.0,,,,,,,71.0,74.0,6.7,15.0,0.0085056,0,,,21.0,,6.0,1.0,2.0,1.0,,,,3.0,,2.0,,,,,,,,,1.0,,,,,,,,,
12764120,home,Tottenham Hotspur,Lucas Bergvall,bergvall-lucas,L. Bergvall,M,15,186.0,9216,M,lucasbergvall,1391251,EUR,1138838400,M,15,15,False,3.0,3.0,,,0.0,2.0,2.0,1.0,,,,1.0,,,,,,,,,,,12.0,6.0,6.6,2.0,0.00070044,0,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
12764120,home,Tottenham Hotspur,Brennan Johnson,brennan-johnson,B. Johnson,F,11,186.0,10644,M,brenjohnson_,1085180,EUR,990576000,F,22,22,False,19.0,15.0,,,0.0,2.0,3.0,16.0,,1.0,,,1.0,,,,,,,,,,45.0,25.0,6.8,6.0,0.0208237,2,,,13.0,,5.0,2.0,1.0,2.0,1.0,,,,,,,,1.0,,0.1849,1.0,1.0,0.5523,,1.0,1.0,,,,,,,
12764120,home,Tottenham Hotspur,Dominic Solanke,dominic-solanke,D. Solanke,F,19,186.0,11216,M,Dom_Solanke,361420,EUR,874195200,F,19,19,False,22.0,19.0,,,1.0,8.0,9.0,13.0,1.0,4.0,1.0,1.0,3.0,2.0,1.0,1.0,,,,,,,85.0,44.0,7.3,14.0,0.0804833,2,,,11.0,,11.0,2.0,4.0,5.0,,,,2.0,1.0,,,,,,0.9337,2.0,1.0,1.3331,,1.0,,,,,,,,
