match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_totalCross,stat_duelLost,stat_duelWon,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_aerialLost,stat_dispossessed,stat_onTargetScoringAttempt,stat_lastManTackle,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_unsuccessfulTouch,stat_wasFouled,stat_challengeLost,stat_totalContest,stat_wonContest,stat_goals,player_sofascoreId,stat_shotOffTarget,stat_keyPass,stat_blockedScoringAttempt,stat_accurateCross,stat_bigChanceCreated,stat_goalAssist,stat_aerialWon,stat_bigChanceMissed,stat_totalOffside,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_errorLeadToAShot
11391318,home,RC Strasbourg,Alaa Bellaarouch,,,alaa-bellaarouch,A. Bellaarouch,G,36,188,1255,M,1000501,EUR,1009843200,G,36,36,False,32.0,22.0,13.0,5.0,19.0,23.0,3.0,9.0,2.0,11.0,1.0,1.0,90.0,41.0,6.8,11.0,0.00067735,0,0.0971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391318,home,RC Strasbourg,Frédéric Guilbert,,,frederic-guilbert,F. Guilbert,D,,178,402,M,372430,EUR,788227200,D,2,2,False,52.0,44.0,8.0,4.0,41.0,42.0,3.0,12.0,5.0,1.0,,,90.0,72.0,7.7,10.0,0.00113807,0,,True,2.0,1.0,5.0,1.0,3.0,5.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11391318,home,RC Strasbourg,Lucas Perrin,,,lucas-perrin,L. Perrin,D,4,187,210,M,941077,EUR,911433600,D,5,5,False,52.0,50.0,2.0,1.0,50.0,50.0,,2.0,4.0,3.0,,,90.0,67.0,7.4,3.0,0.00027819,1,,,,2.0,2.0,1.0,2.0,2.0,,,1.0,1.0,1.0,1.0,0.0248,0.4485,,,,,,,,,,,,,,,,,,,,
11391318,home,RC Strasbourg,Saïdou Sow,Saïdou,Sow,saidou-sow,S. Sow,D,4,185,2742,M,1063237,EUR,1025740800,D,13,13,False,40.0,34.0,4.0,1.0,30.0,30.0,4.0,10.0,3.0,3.0,,,90.0,53.0,7.3,7.0,0.0111175,0,,,,,5.0,1.0,1.0,2.0,1.0,,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,
11391318,home,RC Strasbourg,Marvin Senaya,Marvin Senaya,,marvin-senaya,M. Senaya,D,29,179,213,M,1087805,EUR,980640000,M,28,28,False,21.0,16.0,2.0,,9.0,11.0,7.0,13.0,2.0,3.0,,,90.0,49.0,7.0,14.0,0.0026174,1,,,3.0,10.0,5.0,1.0,,2.0,2.0,1.0,3.0,,1.0,,0.5825,0.9457,1.0,1.0,3.0,5.0,2.0,1.0,,,,,,,,,,,,,,
11391318,home,RC Strasbourg,Andrey Santos,Andrey Santos,,santos-andrey,A. Santos,M,17,180,27949,M,1105779,EUR,1083542400,M,8,8,False,30.0,24.0,2.0,1.0,19.0,22.0,5.0,8.0,1.0,1.0,,,89.0,51.0,7.4,11.0,0.308665,3,,,,5.0,9.0,,,5.0,3.0,1.0,,1.0,2.0,,0.1705,0.2031,2.0,4.0,1.0,2.0,,,andreysantos_5,1.0,1.0,,,,,,,,,,,
11391318,home,RC Strasbourg,Habib Diarra,Habib,Diarra,habib-diarra,H. Diarra,M,19,179,12696,M,1128532,EUR,1073088000,M,19,19,False,28.0,27.0,3.0,3.0,22.0,23.0,5.0,5.0,,4.0,,,90.0,37.0,6.8,3.0,0.143126,1,,,,5.0,5.0,,,2.0,1.0,2.0,1.0,,,,0.0878,,,2.0,,3.0,1.0,,,,1.0,1.0,,,,,,,,,,
11391318,home,RC Strasbourg,Thomas Delaine,,,thomas-delaine,T. Delaine,M,,180,116,M,153218,EUR,701395200,M,3,3,False,15.0,10.0,1.0,,6.0,9.0,5.0,7.0,2.0,,,,90.0,29.0,6.8,7.0,0.345359,0,,,1.0,3.0,3.0,,,2.0,1.0,2.0,,,,,,,1.0,1.0,,1.0,,,,,2.0,,1.0,1.0,,,,,,,,
11391318,home,RC Strasbourg,Dilane Bakwa,,,dilane-bakwa,D. Bakwa,M,29,179,2042,M,963298,EUR,1030320000,F,26,26,False,27.0,21.0,1.0,1.0,8.0,10.0,14.0,22.0,1.0,5.0,,,90.0,56.0,7.9,20.0,0.307255,3,,,5.0,6.0,6.0,1.0,,,,,,2.0,,,0.2729,,4.0,3.0,1.0,5.0,2.0,,,,5.0,3.0,1.0,1.0,1.0,1.0,,,,,,
11391318,home,RC Strasbourg,Kévin Gameiro,,,kevin-gameiro,K. Gameiro,F,9,172,598,M,3504,EUR,547516800,F,9,9,False,15.0,10.0,1.0,,4.0,4.0,6.0,11.0,,4.0,,,75.0,19.0,6.8,7.0,0.197801,0,,,,2.0,2.0,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,
11391318,home,RC Strasbourg,Emmanuel Emegha,,,emanuel-emegha,E. Emegha,F,10,195,9578,M,1048333,EUR,1044230400,F,10,10,False,6.0,3.0,1.0,,,,3.0,6.0,,1.0,,,53.0,15.0,6.5,7.0,0.00442442,3,,,,2.0,1.0,,,,,,1.0,,1.0,,0.8015,0.1771,3.0,,,1.0,,,,2.0,,,,,,1.0,1.0,1.0,,,,
11391318,home,RC Strasbourg,Jeremy Sebas,Jeremy Sebas,,sebas-jeremy,J. Sebas,F,14,187,144,M,1498433,EUR,1050278400,F,40,40,True,2.0,2.0,,,,,2.0,2.0,,2.0,,,37.0,11.0,7.4,3.0,0.00170915,2,,,,6.0,3.0,,,,,2.0,1.0,3.0,2.0,,0.6977,1.2142,,1.0,,2.0,2.0,1.0,,,,,,,,,,,,,,
11391318,home,RC Strasbourg,Junior Mwanga,,,junior-mwanga,J. Mwanga,M,18,184,472,M,1197153,EUR,1052611200,D,18,18,True,5.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,,,15.0,15.0,6.8,4.0,0.00252754,0,,,,3.0,4.0,,1.0,3.0,1.0,,1.0,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,
11391318,home,RC Strasbourg,Aboubacar Ali Abdallah,Aboubacar Ali Abdallah,,aboubacar-ali-abdallah,A. A. Abdallah,F,10,182,117,M,1807613,EUR,1143936000,F,33,33,True,,,,,,,,,,,,,8.0,2.0,6.5,,,0,,,,3.0,1.0,,,,,1.0,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
11391318,home,RC Strasbourg,Alexandre Pierre,Alexandre Pierre,,alexandre-pierre,A. Pierre,G,16,190,1367,M,1091596,EUR,983059200,G,30,30,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391318,home,RC Strasbourg,Ismael Doukouré,Ismael Doukoure,,ismael-doukoure,I. Doukouré,D,6,183,1100,M,1049517,EUR,1059004800,D,29,29,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391318,home,RC Strasbourg,Abakar Sylla,Abakar Sylla,,abakar-sylla,A. Sylla,D,4,188,887,M,1170197,EUR,1040774400,D,24,24,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391318,home,RC Strasbourg,Steven Baseya,Steven Baseya,,steven-baseya,S. Baseya,D,14,189,123,M,1506777,EUR,1105660800,D,25,25,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391318,home,RC Strasbourg,Jean-Eudes Aholou,,,jean-eudes-aholou,J. Aholou,M,6,187,438,M,156004,EUR,764121600,M,6,6,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391318,home,RC Strasbourg,Jessy Deminguet,,,jessy-deminguet,J. Deminguet,M,20,178,128,M,902657,EUR,884131200,M,7,7,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391318,away,Stade Rennais,Steve Mandanda,,,steve-mandanda,S. Mandanda,G,30,185,792,M,27029,EUR,480816000,G,30,30,False,15.0,15.0,,,15.0,15.0,,,1.0,7.0,,,90.0,28.0,7.5,,0.00011852,0,0.9886,True,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,4.0,5.0,
11391318,away,Stade Rennais,Guéla Doué,,,guela-doue,G. Doué,D,22,187,10608,M,1002033,EUR,1034812800,D,17,17,False,46.0,40.0,4.0,3.0,14.0,15.0,26.0,32.0,1.0,2.0,,,90.0,68.0,7.0,13.0,0.214479,0,,,1.0,5.0,5.0,,,2.0,1.0,2.0,,3.0,,,,,2.0,1.0,,1.0,1.0,,,,2.0,,,,,1.0,,,,,,
11391318,away,Stade Rennais,Warmed Omari,,,omari-warmed,W. Omari,D,17,185,538,M,999030,EUR,956448000,D,23,23,False,65.0,61.0,3.0,2.0,31.0,33.0,30.0,32.0,3.0,7.0,,,90.0,74.0,6.9,5.0,0.0122968,0,,,,1.0,5.0,1.0,,2.0,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,3.0,,,,,,
11391318,away,Stade Rennais,Christopher Wooh,,,christopher-wooh,C. Wooh,D,3,190,3805,M,930231,EUR,1000771200,D,4,4,False,48.0,43.0,3.0,1.0,26.0,27.0,17.0,21.0,2.0,5.0,,,90.0,58.0,6.8,6.0,0.00564922,3,,,,4.0,5.0,2.0,,1.0,1.0,1.0,,,,,0.1455,,,1.0,2.0,1.0,,,chriswooh,2.0,,1.0,,,,4.0,,,,,,
11391318,away,Stade Rennais,Arthur Theate,,,arthur-theate,A. Theate,D,3,186,2210,M,965778,EUR,959212800,D,5,5,False,39.0,35.0,2.0,2.0,11.0,12.0,25.0,30.0,1.0,3.0,,,75.0,54.0,7.1,9.0,0.457638,0,,,3.0,3.0,6.0,,,4.0,2.0,1.0,,,,,,,2.0,1.0,1.0,2.0,1.0,,,,1.0,,1.0,1.0,,,,,,,,
