match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,player_lastName,stat_wasFouled,stat_outfielderBlock,stat_dispossessed,stat_totalOffside,stat_blockedScoringAttempt,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_bigChanceCreated,player_sofascoreId,stat_goalAssist,stat_bigChanceMissed
11598407,home,Salford City,Alex Cairns,alex-cairns,A. Cairns,G,21,183.0,151,M,162417,EUR,726105600.0,G,1,1,False,True,44.0,26.0,31.0,13.0,20.0,24.0,6.0,20.0,4.0,3.0,5.0,90.0,56.0,6.8,20.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11598407,home,Salford City,Tosin Olopade,tosin-olopade,T. Olopade,D,24,177.0,20,M,1527716,EUR,1102982400.0,D,50,50,False,,21.0,15.0,1.0,1.0,11.0,15.0,5.0,9.0,1.0,,,89.0,54.0,5.8,16.0,0,Tosin Olopade,3.0,1.0,2.0,1.0,9.0,4.0,2.0,4.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,
11598407,home,Salford City,Adrian Mariappa,adrian-mariappa,A. Mariappa,D,25,180.0,90,M,10597,EUR,511574400.0,D,5,5,False,,50.0,50.0,,,49.0,49.0,1.0,1.0,5.0,,,90.0,58.0,6.4,,0,Adrian,,,,1.0,,4.0,,,,2.0,2.0,2.0,1.0,,,,Mariappa,1.0,,,,,,,,,,,,,
11598407,home,Salford City,Curtis Tilt,curtis-tilt,C. Tilt,D,26,194.0,55,M,856303,EUR,681264000.0,D,16,16,False,,42.0,40.0,,,35.0,35.0,5.0,7.0,8.0,,,90.0,50.0,6.2,3.0,0,,,,,,,1.0,,,,4.0,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,
11598407,home,Salford City,Kevin Berkoe,kevin-berkoe,K. Berkoe,M,30,178.0,26,M,987543,EUR,994291200.0,D,23,23,False,,22.0,17.0,3.0,2.0,12.0,15.0,5.0,7.0,3.0,,,90.0,45.0,6.1,9.0,0,,,,1.0,3.0,6.0,9.0,1.0,3.0,1.0,,1.0,3.0,2.0,1.0,1.0,,,4.0,,1.0,,,,,,,,,,,
11598407,home,Salford City,Ryan Watson,ryan-watson,R. Watson,M,,185.0,9,M,255107,EUR,742003200.0,M,7,7,False,,32.0,29.0,3.0,2.0,14.0,15.0,16.0,18.0,3.0,,,90.0,46.0,6.7,4.0,0,,1.0,1.0,,,3.0,4.0,2.0,1.0,1.0,1.0,3.0,3.0,,,1.0,,,,1.0,,,,,,,,,,,,
11598407,home,Salford City,Elliot Watt,elliot-watt,E. Watt,M,20,175.0,174,M,942060,EUR,952732800.0,M,6,6,False,,69.0,57.0,10.0,4.0,40.0,44.0,17.0,26.0,5.0,,,81.0,77.0,6.8,13.0,0,,1.0,,,,1.0,5.0,1.0,,,,2.0,2.0,1.0,,,,,3.0,,,,,,,,,,,,,
11598407,home,Salford City,Matthew Lund,matthew-lund,M. Lund,M,,170.0,15,M,77153,EUR,659145600.0,M,8,8,False,,31.0,24.0,1.0,1.0,13.0,17.0,11.0,15.0,2.0,,,90.0,40.0,6.4,10.0,0,,1.0,,1.0,,5.0,2.0,2.0,,,,,2.0,,,,1.0,,,,2.0,,,,,,,,,,,
11598407,home,Salford City,Stevie Mallan,stevie-mallan,S. Mallan,M,22,180.0,18,M,757878,EUR,827712000.0,F,14,14,False,,11.0,9.0,1.0,,2.0,3.0,7.0,8.0,1.0,,,90.0,15.0,6.4,4.0,0,,,,1.0,,1.0,1.0,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,
11598407,home,Salford City,Marcus Dackers,marcus-dackers,M. Dackers,F,9,201.0,71,M,1127146,EUR,1042070400.0,F,36,36,False,,12.0,9.0,,,7.0,7.0,2.0,6.0,1.0,,,80.0,22.0,6.3,7.0,0,Marcus Dackers,1.0,,2.0,3.0,4.0,3.0,1.0,1.0,,2.0,1.0,,,2.0,,,,,,,2.0,,,,,,,,,,
