match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,stat_outfielderBlock,stat_totalCross,stat_aerialWon,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,stat_totalOffside,captain,stat_goalAssist,stat_accurateCross,stat_bigChanceCreated,stat_shotOffTarget,stat_dispossessed,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_goals
10411520,home,Monza,Michele Di Gregorio,,,michele-di-gregorio,M. Di Gregorio,G,16,187,8129,M,L'UomoTigre,844609,EUR,869961600,G,16,16,False,44.0,25.0,24.0,7.0,20.0,24.0,5.0,20.0,1.0,3.0,15.0,1.0,1.0,5.0,7.0,2.0,90.0,68.0,9.0,20.0,0.0,0.0,0.00097641,0,0.8513,,,,,,,,,,,,,,,,,,,,,,,,
10411520,home,Monza,Armando Izzo,,,armando-izzo,A. Izzo,D,4,183,521,M,,165583,EUR,699494400,D,55,55,False,38.0,31.0,7.0,3.0,25.0,29.0,6.0,9.0,2.0,1.0,3.0,,,,,,83.0,42.0,6.7,7.0,0.0,0.0,0.0161557,0,,1.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,
10411520,home,Monza,Marlon,,,marlon,Marlon,D,4,182,529,M,,331853,EUR,810432000,D,4,4,False,20.0,19.0,3.0,2.0,14.0,14.0,5.0,6.0,,3.0,5.0,,,,,,90.0,27.0,7.0,1.0,0.0,0.0,0.00313945,0,,2.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,,
10411520,home,Monza,Luca Caldirola,,,luca-caldirola,L. Caldirola,D,33,189,134,M,,100565,EUR,665366400,D,5,5,False,39.0,33.0,3.0,1.0,29.0,33.0,4.0,6.0,3.0,3.0,4.0,2.0,,,,,90.0,49.0,7.0,6.0,0.0,0.0,0.00157931,0,,1.0,3.0,,3.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,
10411520,home,Monza,Patrick Ciurria,,,patrick-ciurria,P. Ciurria,F,26,178,222,M,,346676,EUR,792288000,M,84,84,False,29.0,24.0,,,11.0,13.0,13.0,21.0,4.0,1.0,8.0,1.0,,,,,90.0,49.0,6.7,13.0,0.0,0.0,0.00983076,0,,,3.0,1.0,1.0,1.0,1.0,1.0,,,5.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,
10411520,home,Monza,Nicolò Rovella,,,nicolo-rovella,N. Rovella,M,6,179,2966,M,,937324,EUR,1007424000,M,6,6,False,45.0,40.0,3.0,2.0,27.0,28.0,13.0,19.0,5.0,,6.0,2.0,,,,,76.0,56.0,6.9,10.0,0.0,0.0,0.0127934,0,,,2.0,,,2.0,1.0,1.0,,,2.0,1.0,1.0,,2.0,,,,,,,,,,
10411520,home,Monza,Matteo Pessina,,,matteo-pessina,M. Pessina,M,32,183,659,M,,350210,EUR,861580800,M,32,32,False,58.0,45.0,2.0,,25.0,27.0,21.0,32.0,5.0,1.0,6.0,1.0,,,,,83.0,74.0,7.8,15.0,0.1206,0.0,0.606425,2,,4.0,5.0,,3.0,1.0,1.0,,1.0,1.0,1.0,1.0,3.0,2.0,,,True,1.0,1.0,1.0,2.0,,,,
10411520,home,Monza,Carlos Augusto,,,carlos-augusto,C. Augusto,D,30,184,7355,M,,929199,EUR,915667200,M,30,30,False,41.0,29.0,4.0,3.0,14.0,20.0,16.0,22.0,8.0,3.0,7.0,2.0,,,,,90.0,69.0,7.4,16.0,0.2307,0.0,0.282035,2,,1.0,5.0,2.0,2.0,4.0,1.0,1.0,2.0,,1.0,2.0,,,2.0,,,,1.0,,1.0,1.0,1.0,,
10411520,home,Monza,Dany Mota,,,dany-mota,D. Mota,F,47,180,827,M,,838907,EUR,894067200,F,47,47,False,25.0,22.0,1.0,1.0,10.0,11.0,12.0,15.0,6.0,1.0,2.0,1.0,,,,,90.0,40.0,7.5,9.0,0.5078,0.765,0.0264108,4,,2.0,7.0,,,,,1.0,,,1.0,2.0,7.0,3.0,1.0,,,,,,,,1.0,3.0,1.0
10411520,home,Monza,Andrea Petagna,,,andrea-petagna,A. Petagna,F,37,190,474,M,,295973,EUR,804470400,F,37,37,False,16.0,10.0,,,2.0,3.0,8.0,13.0,2.0,,,1.0,,,,,83.0,27.0,7.2,10.0,0.4279,0.4475,0.0306638,2,,3.0,7.0,,1.0,,,1.0,1.0,,,1.0,1.0,,1.0,1.0,,,,,1.0,2.0,,1.0,1.0
