match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalContest,stat_wonContest,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_shotOffTarget,stat_expectedGoals,stat_blockedScoringAttempt,stat_outfielderBlock,stat_bigChanceCreated,stat_totalOffside,stat_bigChanceMissed,captain,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,player_sofascoreId,stat_punches,stat_clearanceOffLine,stat_goalAssist,stat_goals
11352533,home,Burnley,James Trafford,,,james-trafford,J. Trafford,G,1,197,21722,M,980643,EUR,1034208000,G,1,1,False,80.0,54.0,33.0,9.0,48.0,51.0,6.0,29.0,1.0,1.0,1.0,7.0,1.0,1.0,90.0,84.0,6.2,27.0,0.00257795,0,-1.4552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352533,home,Burnley,Lorenz Assignon,,,lorenz-assignon,L. Assignon,M,22,179,641,M,1009334,EUR,961632000,D,20,20,False,30.0,23.0,1.0,,7.0,9.0,17.0,26.0,7.0,1.0,,6.0,,,90.0,64.0,6.6,22.0,0.0661961,0,,5.0,1.0,1.0,1.0,8.0,1.0,4.0,1.0,2.0,5.0,1.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,,
11352533,home,Burnley,Dara O'Shea,,,dara-oshea,D. O'Shea,D,26,188,660,M,856719,EUR,920505600,D,2,2,False,71.0,62.0,4.0,3.0,35.0,41.0,27.0,31.0,7.0,,,3.0,,,89.0,81.0,6.7,10.0,0.0223073,1,,1.0,,3.0,6.0,5.0,2.0,,4.0,,1.0,1.0,,,,,1.0,0.042,,,,,,,,,,,,,
11352533,home,Burnley,Maxime Estève,Maxime Estève,,maxime-esteve,M. Estève,D,5,192,1470,M,1117223,EUR,1022371200,D,33,33,False,76.0,67.0,2.0,1.0,40.0,44.0,28.0,33.0,6.0,1.0,1.0,7.0,,,90.0,87.0,7.0,9.0,0.0126455,2,,1.0,1.0,1.0,2.0,4.0,,,2.0,,2.0,2.0,,1.0,3.0,,1.0,0.0866,1.0,1.0,,,,,,,,,,,
11352533,home,Burnley,Charlie Taylor,,,charlie-taylor,C. Taylor,D,29,183,248,M,166381,EUR,748224000,D,3,3,False,35.0,27.0,1.0,1.0,10.0,14.0,18.0,27.0,8.0,,,2.0,,,90.0,69.0,7.0,14.0,0.335421,0,,6.0,1.0,2.0,5.0,4.0,1.0,1.0,3.0,,1.0,1.0,,2.0,,1.0,,,,,1.0,1.0,,,,,,,,,
11352533,home,Burnley,Vitinho,,,vitinho,Vitinho,D,2,175,3591,M,914477,EUR,932688000,M,22,22,False,23.0,11.0,2.0,,2.0,4.0,9.0,23.0,2.0,1.0,1.0,3.0,,,76.0,42.0,6.6,21.0,0.00706939,3,,4.0,,,,3.0,1.0,2.0,,,,,3.0,1.0,,,2.0,0.5666,1.0,,,,1.0,,,,,,,,
11352533,home,Burnley,Sander Berge,,,sander-berge,S. Berge,M,16,195,2096,M,793167,EUR,887414400,M,16,16,False,70.0,64.0,1.0,1.0,33.0,34.0,31.0,36.0,12.0,2.0,2.0,6.0,,,90.0,82.0,7.5,7.0,0.0376664,1,,,,7.0,4.0,7.0,,,,,5.0,3.0,1.0,1.0,,1.0,1.0,0.0722,,,,,,,,,,,,,
11352533,home,Burnley,Josh Cullen,,,cullen-josh,J. Cullen,M,24,175,875,M,792122,EUR,828835200,M,24,24,False,93.0,84.0,2.0,1.0,25.0,25.0,59.0,68.0,4.0,,,4.0,,,89.0,102.0,7.0,11.0,0.116711,2,,,,5.0,1.0,7.0,,2.0,1.0,,,,,3.0,,1.0,,0.037,1.0,,,,,True,1.0,0.0775,,,,,
11352533,home,Burnley,Wilson Odobert,,,wilson-odobert,W. Odobert,F,28,182,4519,M,1142679,EUR,1101600000,M,47,47,False,45.0,36.0,2.0,1.0,12.0,16.0,25.0,32.0,5.0,2.0,2.0,6.0,,,90.0,63.0,7.8,14.0,0.339292,6,,3.0,1.0,,1.0,3.0,1.0,1.0,,,1.0,1.0,2.0,1.0,1.0,4.0,2.0,0.4407,3.0,,1.0,,,,1.0,0.0447,,,,,
11352533,home,Burnley,David Datro Fofana,,,david-datro-fofana,D. D. Fofana,F,15,181,7910,M,1090458,EUR,1040515200,F,23,23,False,21.0,15.0,,,5.0,5.0,10.0,16.0,7.0,3.0,,1.0,,,90.0,43.0,6.4,18.0,0.0436367,2,,,,1.0,4.0,7.0,,2.0,,,2.0,,6.0,1.0,1.0,1.0,,0.1099,,,,,1.0,,2.0,0.1635,datro_9,,,,
