match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_shotOffTarget,stat_outfielderBlock,stat_wasFouled,stat_fouls,captain,stat_challengeLost,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_keyPass,stat_dispossessed,stat_goalAssist,stat_bigChanceCreated,stat_bigChanceMissed,stat_totalOffside,stat_hitWoodwork,stat_goals,stat_savedShotsFromInsideTheBox,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_accurateCross
10583913,home,Al-Taawoun,Mailson,mailson,Mailson,G,1,198.0,587,M,883367,EUR,840499200,G,1,1,False,21.0,17.0,7.0,3.0,15.0,17.0,2.0,4.0,1.0,10.0,2.0,1.0,1.0,90.0,32.0,5.9,4.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10583913,home,Al-Taawoun,Tariq Mohammed,tariq-mohammed,T. Mohammed,M,6,170.0,26,M,871619,EUR,810345600,D,5,5,False,38.0,25.0,6.0,2.0,14.0,18.0,11.0,24.0,,5.0,,,,80.0,55.0,6.6,19.0,1,,,4.0,1.0,1.0,2.0,5.0,2.0,1.0,1.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,
10583913,home,Al-Taawoun,Ziyad Al-Sahafi,ziyad-al-sahafi,Z. Al-Sahafi,D,21,182.0,36,M,831259,EUR,782352000,D,44,44,False,42.0,34.0,9.0,6.0,23.0,28.0,11.0,14.0,1.0,7.0,,,,90.0,46.0,6.6,8.0,1,,,,,5.0,1.0,6.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
10583913,home,Al-Taawoun,Hassan Kadesh,hassan-kadesh,H. Kadesh,D,15,179.0,398,M,847235,EUR,712627200,D,14,14,False,35.0,29.0,3.0,2.0,19.0,23.0,10.0,12.0,2.0,4.0,,,,90.0,42.0,6.5,6.0,0,,,,3.0,4.0,4.0,6.0,,,,,1.0,,,1.0,1.0,1.0,True,,,,,,,,,,,,,,,
10583913,home,Al-Taawoun,Saad Yaslam Balobaid,saad-yaslam-balobaid,S. Y. Balobaid,D,31,168.0,155,M,1066588,EUR,948931200,D,31,31,False,47.0,36.0,2.0,,15.0,17.0,21.0,31.0,2.0,9.0,,,,89.0,68.0,7.0,16.0,2,Saad Yaslam Balobaid,,1.0,,2.0,5.0,8.0,3.0,1.0,1.0,1.0,3.0,2.0,,1.0,2.0,2.0,,1.0,1.0,1.0,2.0,,,,,,,,,,,
10583913,home,Al-Taawoun,Ashraf El Mahdioui,ashraf-el-mahdioui,A. E. Mahdioui,M,18,183.0,1641,M,788348,EUR,832896000,M,18,18,False,59.0,53.0,12.0,8.0,26.0,26.0,27.0,33.0,1.0,13.0,,,,90.0,74.0,6.6,12.0,2,,,,,,5.0,2.0,1.0,1.0,,1.0,1.0,,2.0,,,3.0,,1.0,,5.0,2.0,1.0,,,,,,,,,,
10583913,home,Al-Taawoun,Fahad Ayed Al-Rashidi,al-rashidi-fahad-ayed,F. A. Al-Rashidi,F,97,175.0,231,M,974517,EUR,863740800,M,7,7,False,19.0,16.0,,,4.0,4.0,12.0,17.0,,5.0,,,,80.0,34.0,7.0,7.0,5,,,2.0,2.0,,6.0,4.0,1.0,1.0,,,2.0,2.0,4.0,,1.0,1.0,,2.0,1.0,,2.0,1.0,1.0,1.0,1.0,,,,,,,
10583913,home,Al-Taawoun,Alejandro Romero,kaku,Kaku,M,10,171.0,1012,M,788936,EUR,789782400,M,17,17,False,46.0,34.0,7.0,6.0,7.0,10.0,27.0,41.0,,2.0,,,,90.0,56.0,7.2,18.0,2,,,5.0,,,1.0,1.0,,,1.0,,1.0,1.0,,,,,,1.0,1.0,1.0,3.0,,,,,1.0,,,,,,
10583913,home,Al-Taawoun,Álvaro Medrán,alvaro-medran,Á. Medrán,M,10,176.0,321,M,537018,EUR,763689600,M,10,10,False,47.0,35.0,11.0,6.0,12.0,14.0,23.0,34.0,3.0,1.0,,,,89.0,62.0,7.1,14.0,2,,,1.0,,1.0,,3.0,2.0,2.0,,1.0,,,1.0,,,,,,1.0,,2.0,,,,1.0,,,,,,,
10583913,home,Al-Taawoun,Sumaihan Al-Nabit,sumaihan-al-nabit,S. Al-Nabit,M,88,174.0,111,M,893167,EUR,827884800,M,8,8,False,24.0,22.0,1.0,1.0,6.0,6.0,16.0,19.0,,2.0,,,,73.0,36.0,6.4,7.0,1,,,1.0,2.0,,7.0,3.0,3.0,,,,1.0,1.0,,,2.0,3.0,,,1.0,1.0,1.0,,,,,,,,,,,
