match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,player_firstName,player_lastName,stat_aerialWon,stat_errorLeadToAShot,stat_fouls,stat_totalOffside,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_blockedScoringAttempt,stat_expectedGoals,stat_shotOffTarget,stat_hitWoodwork,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_goals,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceMissed
12514229,home,FC Porto,Diogo Costa,diogo-costa,D. Costa,G,99,186,12694,M,diogomcosta99,843115,EUR,937699200,G,99,99,False,True,36.0,30.0,14.0,8.0,0.0,25.0,26.0,5.0,10.0,6.0,2.0,2.0,90.0,41.0,6.9,6.0,0.00227994,0,0.1341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514229,home,FC Porto,Zé Pedro,ze-pedro,Z. Pedro,D,32,187,663,M,,945448,EUR,865555200,D,97,97,False,,57.0,49.0,6.0,4.0,0.0,29.0,31.0,20.0,26.0,4.0,,,90.0,69.0,7.3,9.0,0.0266514,0,,1.0,4.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
12514229,home,FC Porto,Nehuén Pérez,nehuen-perez,N. Pérez,D,18,184,3369,M,,913401,EUR,961804800,D,24,24,False,,47.0,46.0,4.0,3.0,0.0,31.0,31.0,15.0,16.0,2.0,,,62.0,52.0,6.7,1.0,0.0144926,0,,4.0,5.0,3.0,1.0,,,2.0,,1.0,,1.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,
12514229,home,FC Porto,Tiago Djaló,tiago-djalo,T. Djaló,D,35,190,2965,M,,892735,EUR,955238400,D,3,3,False,,73.0,67.0,4.0,3.0,0.0,45.0,47.0,22.0,26.0,11.0,,,90.0,85.0,6.8,8.0,0.0112356,0,,1.0,4.0,2.0,,2.0,1.0,3.0,,2.0,,,,1.0,1.0,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,
12514229,home,FC Porto,Alan Varela,alan-varela,A. Varela,M,22,177,5689,M,alan_varela01,1066560,EUR,994204800,M,22,22,False,,41.0,36.0,1.0,,0.0,12.0,13.0,24.0,31.0,2.0,,,78.0,53.0,6.9,8.0,0.0261189,0,,1.0,3.0,5.0,1.0,,,1.0,1.0,,,3.0,1.0,,2.0,,Alan Varela,,,,1.0,,3.0,,,,,,,,,,,,,,
12514229,home,FC Porto,João Mário,joao-mario,J. Mário,D,17,178,3148,M,,902031,EUR,946857600,M,23,23,False,,32.0,24.0,3.0,3.0,0.0,5.0,6.0,21.0,30.0,5.0,,,78.0,56.0,7.3,14.0,0.110088,1,,1.0,5.0,8.0,3.0,3.0,3.0,1.0,,1.0,,2.0,2.0,1.0,2.0,1.0,,,1.0,,,,4.0,2.0,1.0,1.0,0.0233,,,,,,,,,,
12514229,home,FC Porto,Stephen Eustaquio,stephen-eustaquio,S. Eustaquio,M,6,178,1808,M,,886223,EUR,851126400,M,6,6,False,,39.0,34.0,4.0,2.0,0.0,17.0,18.0,17.0,26.0,6.0,,,90.0,59.0,6.8,14.0,0.0149928,3,,4.0,13.0,6.0,4.0,1.0,,1.0,,2.0,,3.0,2.0,2.0,1.0,,,,2.0,,3.0,,5.0,,1.0,2.0,0.1921,1.0,1.0,,,,,,,,
12514229,home,FC Porto,Rodrigo Mora,mora-rodrigo,R. Mora,M,86,168,13996,M,,1410240,EUR,1178323200,M,86,86,False,,30.0,25.0,1.0,1.0,0.0,7.0,7.0,18.0,26.0,4.0,,,90.0,52.0,6.4,17.0,0.0398237,4,,,10.0,2.0,1.0,3.0,1.0,,,1.0,,,,3.0,1.0,,Rodrigo Mora,,,,3.0,,3.0,,4.0,3.0,0.2233,1.0,,,,,,,,,
12514229,home,FC Porto,Francisco Moura,francisco-moura,F. Moura,D,74,181,1191,M,,985138,EUR,934761600,M,74,74,False,,29.0,24.0,3.0,1.0,0.0,10.0,12.0,14.0,20.0,4.0,,,69.0,45.0,6.8,10.0,0.0836986,0,,,2.0,3.0,1.0,1.0,,,,,,2.0,,1.0,1.0,1.0,,,,,,1.0,3.0,,,,,,,,,,,,,,
12514229,home,FC Porto,Pepê,pepe,Pepê,F,11,175,5029,M,pepe,882664,EUR,856742400,F,11,11,False,,41.0,29.0,1.0,1.0,0.0,3.0,4.0,27.0,42.0,3.0,,,90.0,68.0,7.1,27.0,0.158924,3,,,6.0,6.0,1.0,2.0,1.0,,,,,1.0,,4.0,3.0,2.0,,,1.0,,2.0,,5.0,1.0,3.0,1.0,0.1561,1.0,,1.0,0.1042,,,,,,
