match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,playerName,reason,rescinded,id,isHome,incidentClass,player_id,player_name,length,injury
12514229,FT,1.0,1.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,
12514229,,,,,90,10.0,,1,,,card,Samuel Omorodion,Argument,False,121901230.0,True,yellow,1503836.0,Samu Aghehowa,,
12514229,,,,,90,10.0,,1,,,card,Fábio Vieira,Argument,False,121901229.0,True,yellow,904835.0,Fábio Vieira,,
12514229,,,,,90,8.0,,1,,,card,Ousmane Diomande,Violent conduct,False,121901227.0,False,red,1394342.0,Ousmane Diomande,,
12514229,,,,,90,7.0,,1,,,card,Matheus Reis,Argument,False,121901225.0,False,red,797648.0,Matheus Reis,,
12514229,,,,,90,6.0,,1,,,card,Matheus Reis,Argument,False,121901224.0,False,yellow,797648.0,Matheus Reis,,
12514229,,,,,90,6.0,,1,,,card,Morten Hjulmand,Argument,False,121901221.0,False,yellow,859917.0,Morten Hjulmand,,
12514229,,1.0,1.0,,90,4.0,,1,,,goal,,,,198582293.0,True,regular,867440.0,Danny Namaso,,
12514229,,,,,90,0.0,,1,,,injuryTime,,,,,,,,,5.0,
12514229,,,,,86,,,5,,,substitution,,,,123549109.0,False,regular,,,,False
12514229,,,,,78,,,13,,,substitution,,,,123549107.0,True,injury,,,,True
12514229,,,,,78,,,13,,,substitution,,,,123549106.0,True,regular,,,,False
12514229,,,,,72,,,19,,,card,Rui Silva,Time wasting,False,121901212.0,False,yellow,253809.0,Rui Silva,,
12514229,,,,,71,,,20,,,card,Maximiliano Araújo,Persistent fouling,False,121901204.0,False,yellow,929193.0,Maximiliano Araújo,,
12514229,,,,,69,,,22,,,substitution,,,,123549086.0,False,regular,,,,False
12514229,,,,,69,,,22,,,substitution,,,,123549085.0,False,regular,,,,False
12514229,,,,,69,,,22,,,substitution,,,,123549084.0,True,regular,,,,False
12514229,,,,,62,,,29,,,substitution,,,,123549066.0,True,regular,,,,False
12514229,HT,0.0,1.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,
12514229,,,,,45,0.0,,1,,,injuryTime,,,,,,,,,5.0,
12514229,,0.0,1.0,,42,,,4,,,goal,,,,198579475.0,False,regular,1167818.0,Iván Fresneda,,
12514229,,,,,23,,,23,,,substitution,,,,123548669.0,False,injury,,,,True
12514229,,,,,19,,,27,,,card,Rodrigo Mora,Foul,False,121900994.0,True,yellow,1410240.0,Rodrigo Mora,,
12514229,,,,,-5,,,6,,,card,Martin Anselmi,Argument,False,121901187.0,True,yellow,,,,
