match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_aerialWon,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_lastManTackle,stat_unsuccessfulTouch,stat_fouls,captain,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_goals,stat_goalAssist,stat_bigChanceCreated,stat_shotOffTarget,stat_keyPass,stat_dispossessed,player_sofascoreId,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_crossNotClaimed,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_punches,stat_errorLeadToAShot,stat_clearanceOffLine
11352378,home,Sheffield United,Ivo Grbić,,,ivo-grbic,I. Grbić,G,13,195,1121,M,283847,EUR,821923200,G,13,13,False,23.0,12.0,21.0,10.0,4.0,6.0,8.0,17.0,4.0,9.0,2.0,3.0,3.0,90.0,31.0,6.5,11.0,0.00082981,0,-1.4515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352378,home,Sheffield United,Mason Holgate,,,mason-holgate,M. Holgate,D,3,187,413,M,781544,EUR,845942400,D,30,30,False,25.0,18.0,4.0,1.0,9.0,10.0,10.0,16.0,1.0,4.0,,,,76.0,32.0,6.3,9.0,0.141109,0,,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352378,home,Sheffield United,Anel Ahmedhodžić,,,anel-ahmedhodzic,A. Ahmedhodžić,D,21,190,1549,M,825899,EUR,922406400,D,15,15,False,21.0,18.0,3.0,2.0,13.0,14.0,5.0,7.0,7.0,4.0,,,,90.0,40.0,7.0,4.0,0.00368863,0,,,,2.0,6.0,7.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,
11352378,home,Sheffield United,Jack Robinson,,,jack-robinson,J. Robinson,D,6,180,148,M,98454,EUR,746841600,D,19,19,False,28.0,20.0,7.0,3.0,10.0,14.0,11.0,16.0,1.0,3.0,,,,89.0,41.0,6.8,12.0,0.0172007,2,,2.0,1.0,1.0,3.0,3.0,,,,,3.0,,,1.0,,1.0,2.0,True,2.0,1.0,0.0423,0.6111,,,,,,,,,,,,,,,
11352378,home,Sheffield United,Jayden Bogle,,,bogle-jayden,J. Bogle,D,2,178,805,M,929132,EUR,964656000,M,20,20,False,25.0,21.0,1.0,1.0,10.0,12.0,11.0,14.0,2.0,4.0,,,,90.0,41.0,7.4,10.0,0.0131947,1,,1.0,,,1.0,3.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,4.0,1.0,,1.0,,0.0893,0.2256,1.0,,,,,,,,,,,,,,
11352378,home,Sheffield United,Gustavo Hamer,,,gustavo-hamer,G. Hamer,M,8,169,1011,M,837495,EUR,867110400,M,8,8,False,39.0,27.0,3.0,,12.0,13.0,16.0,32.0,,6.0,,,,90.0,62.0,7.4,22.0,0.106595,2,,6.0,1.0,1.0,5.0,7.0,,1.0,,2.0,2.0,4.0,2.0,2.0,,3.0,2.0,,1.0,,0.0668,0.3379,,1.0,1.0,1.0,1.0,,,,,,,,,,
11352378,home,Sheffield United,Oliver Arblaster,Oliver Arblaster,,oliver-arblaster,O. Arblaster,M,4,180,217,M,1191153,EUR,1073520000,M,24,24,False,51.0,44.0,8.0,6.0,16.0,17.0,28.0,35.0,2.0,6.0,,,,90.0,69.0,7.5,11.0,0.120124,0,,1.0,,3.0,8.0,5.0,,2.0,2.0,,1.0,2.0,2.0,2.0,,,2.0,,,,,,,,,,5.0,3.0,,,,,,,,,
11352378,home,Sheffield United,Ben Osborn,Ben,Osborn,ben-osborn,B. Osborn,M,23,176,72,M,282665,EUR,776044800,M,23,23,False,33.0,28.0,4.0,2.0,14.0,15.0,14.0,23.0,,8.0,,,,90.0,53.0,6.9,13.0,0.00754473,1,,5.0,,3.0,5.0,6.0,1.0,3.0,2.0,1.0,,3.0,2.0,,,2.0,,,,,0.0614,,,,,1.0,,,,,,,,,,,
11352378,home,Sheffield United,Auston Trusty,,,auston-trusty,A. Trusty,D,6,188,817,M,822459,EUR,902880000,M,5,5,False,18.0,17.0,3.0,3.0,12.0,13.0,5.0,7.0,1.0,6.0,,,,87.0,31.0,6.9,7.0,0.00080596,0,,2.0,,2.0,3.0,4.0,,1.0,1.0,,2.0,1.0,1.0,1.0,,3.0,1.0,,,,,,,,,,,,,,,,,,,,
11352378,home,Sheffield United,Ben Brereton Díaz,,,ben-brereton-diaz,B. Brereton Díaz,M,25,188,6380,M,867583,EUR,924393600,F,11,11,False,12.0,9.0,,,2.0,2.0,8.0,11.0,,1.0,,,,90.0,21.0,6.6,8.0,0.261899,2,,1.0,1.0,1.0,5.0,1.0,1.0,,,1.0,,2.0,,,,2.0,1.0,,1.0,,0.2894,,,,1.0,,1.0,,ben.brereton,1.0,,,,,,,
