match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_fouls,captain,stat_interceptionWon,player_firstName,player_lastName,stat_bigChanceMissed,stat_shotOffTarget,stat_unsuccessfulTouch,stat_totalCross,stat_accurateCross,stat_keyPass,stat_goalAssist,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_wasFouled,stat_dispossessed,stat_totalOffside,stat_goals,stat_lastManTackle,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,player_sofascoreId,stat_hitWoodwork
11399405,home,Sparta Rotterdam,Nick Olij,nick-olij,N. Olij,G,1,185,555,M,227192,EUR,807235200,G,1,1,False,45.0,26.0,33.0,15.0,11.0,12.0,15.0,33.0,14.0,1.0,3.0,6.0,90.0,58.0,7.6,22.0,0.0,0.0,0.0102736,0,-0.0748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11399405,home,Sparta Rotterdam,Saïd Bakari,said-bakari,S. Bakari,D,22,176,127,M,896210,EUR,780192000,D,2,2,False,22.0,14.0,3.0,,9.0,15.0,5.0,7.0,5.0,,,,90.0,37.0,6.4,10.0,0.0,0.0,0.0201628,0,,3.0,1.0,9.0,5.0,4.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11399405,home,Sparta Rotterdam,Bart Vriends,bart-vriends,B. Vriends,D,3,188,217,M,41495,EUR,673747200,D,3,3,False,30.0,25.0,7.0,3.0,22.0,23.0,3.0,7.0,5.0,,,,90.0,53.0,7.2,5.0,0.0,0.0,0.00156886,0,,2.0,4.0,3.0,8.0,1.0,,,13.0,1.0,4.0,2.0,,True,1.0,,,,,,,,,,,,,,,,,,,,,,
11399405,home,Sparta Rotterdam,Tijs Velthuis,tijs-velthuis,T. Velthuis,D,5,190,110,M,961674,EUR,1010793600,D,4,4,False,25.0,21.0,4.0,,21.0,22.0,,3.0,4.0,,,,90.0,38.0,6.3,5.0,0.1342,0.0,0.00014755,1,,2.0,1.0,4.0,4.0,1.0,,,7.0,,3.0,2.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
11399405,home,Sparta Rotterdam,Django Warmerdam,django-warmerdam,D. Warmerdam,D,3,180,44,M,356018,EUR,810000000,D,5,5,False,22.0,12.0,9.0,3.0,11.0,17.0,2.0,7.0,7.0,,,,90.0,38.0,6.5,11.0,0.0,0.0,0.099078,0,,,,1.0,1.0,1.0,,,1.0,,1.0,,,,2.0,,,,,,2.0,1.0,,,,,,,,,,,,,,,
11399405,home,Sparta Rotterdam,Joshua Kitolano,joshua-kitolano,J. Kitolano,M,8,170,272,M,913584,EUR,984009600,M,8,8,False,12.0,8.0,2.0,1.0,5.0,7.0,3.0,5.0,2.0,,,,83.0,17.0,6.4,5.0,0.0,0.0,0.0126767,0,,,,3.0,1.0,2.0,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
11399405,home,Sparta Rotterdam,Jonathan de Guzmán,jonathan-de-guzman,J. d. Guzmán,M,13,173,79,M,13028,EUR,558489600,M,6,6,False,22.0,16.0,8.0,6.0,8.0,9.0,9.0,14.0,4.0,,,,65.0,31.0,7.3,6.0,0.0127,0.1874,0.0425125,1,,2.0,,7.0,1.0,3.0,,,2.0,,1.0,,3.0,,1.0,,,,,,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,
11399405,home,Sparta Rotterdam,Vito van Crooij,vito-van-crooij,V. van Crooij,M,32,172,213,M,385708,EUR,822873600,M,7,7,False,21.0,13.0,,,8.0,9.0,6.0,14.0,1.0,,,,83.0,38.0,7.1,12.0,0.1198,0.0,0.12483,2,,6.0,3.0,7.0,5.0,,,,2.0,1.0,1.0,,1.0,,1.0,,,,1.0,,2.0,1.0,3.0,1.0,1.0,,1.0,1.0,,,,,,,,,
11399405,home,Sparta Rotterdam,Arno Verschueren,arno-verschueren,A. Verschueren,M,32,182,168,M,578344,EUR,870652800,M,10,10,False,18.0,9.0,2.0,1.0,5.0,11.0,5.0,10.0,5.0,,,,90.0,36.0,6.9,17.0,0.0,0.0,0.0531182,0,,2.0,3.0,7.0,6.0,2.0,2.0,,1.0,,3.0,3.0,1.0,,2.0,,,,,4.0,3.0,1.0,2.0,,,,,,,,,,,,,,
11399405,home,Sparta Rotterdam,Koki Saito,koki-saito,K. Saito,M,14,170,1063,M,905356,EUR,997401600,M,11,11,False,13.0,10.0,,,6.0,8.0,4.0,5.0,4.0,,,,65.0,23.0,6.5,9.0,0.0558,0.0,0.0145548,1,,,,5.0,3.0,,3.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,2.0,3.0,2.0,,,,,,,
