match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_jerseyNumber,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,player_firstName,player_lastName,stat_aerialWon,stat_unsuccessfulTouch,stat_wasFouled,stat_totalCross,stat_onTargetScoringAttempt,stat_goals,stat_goalAssist,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_keyPass,stat_accurateCross,captain,stat_shotOffTarget,stat_totalOffside,player_sofascoreId,stat_errorLeadToAShot,stat_outfielderBlock,stat_clearanceOffLine
12049873,home,Luton Town,Tim Krul,tim-krul,T. Krul,G,193,419,M,18154,EUR,576028800,G,23,23,False,32.0,14.0,25.0,8.0,11.0,16.0,3.0,16.0,11.0,9.0,9.0,1.0,1.0,90.0,47.0,7.6,18.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12049873,home,Luton Town,Reece Burke,reece-burke,R. Burke,D,189,100,M,372342,EUR,841622400,D,16,16,False,40.0,35.0,8.0,5.0,19.0,23.0,16.0,17.0,4.0,,,,,90.0,54.0,5.9,7.0,0,32,1.0,4.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12049873,home,Luton Town,Teden Mengi,teden-mengi,T. Mengi,D,183,755,M,979233,EUR,1020124800,D,15,15,False,33.0,25.0,13.0,6.0,19.0,20.0,6.0,13.0,7.0,,,,,90.0,47.0,6.0,9.0,0,15,,2.0,4.0,,,5.0,4.0,2.0,1.0,2.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
12049873,home,Luton Town,Amari'i Bell,amarii-bell,A. Bell,D,179,286,M,369674,EUR,768096000,D,29,29,False,25.0,24.0,1.0,,14.0,14.0,10.0,11.0,3.0,,,,,39.0,28.0,6.3,1.0,0,17,,2.0,1.0,2.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
12049873,home,Luton Town,Chiedozie Ogbene,ogbene-chiedozie,C. Ogbene,M,181,754,M,849309,EUR,862444800,M,7,7,False,19.0,14.0,1.0,1.0,4.0,7.0,10.0,13.0,6.0,,,,,62.0,31.0,6.3,11.0,0,19,,,3.0,,,,,1.0,,,,,2.0,3.0,,1.0,,,,,,,,,,,,,,,,,
12049873,home,Luton Town,Jordan Clark,jordan-clark,J. Clark,M,183,143,M,150477,EUR,748656000,M,18,18,False,38.0,36.0,8.0,6.0,19.0,19.0,17.0,19.0,11.0,,,,,62.0,43.0,8.2,2.0,2,18,,1.0,1.0,1.0,,,,1.0,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,
12049873,home,Luton Town,Ross Barkley,ross-barkley,R. Barkley,M,188,2396,M,98435,EUR,755049600,M,6,6,False,47.0,44.0,1.0,1.0,16.0,18.0,28.0,29.0,7.0,,,,,90.0,62.0,8.3,7.0,5,6,,4.0,5.0,,3.0,,,2.0,,1.0,,,2.0,1.0,,,3.0,,2.0,1.0,1.0,3.0,1.0,2.0,4.0,,,,,,,,
12049873,home,Luton Town,Alfie Doughty,alfie-doughty,A. Doughty,M,183,521,M,945792,EUR,945734400,M,45,45,False,42.0,39.0,5.0,4.0,21.0,21.0,19.0,25.0,4.0,,,,,90.0,58.0,6.8,11.0,0,14,,6.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,,,1.0,1.0,,4.0,,,,,,2.0,,,3.0,1.0,,,,,,,
12049873,home,Luton Town,Carlton Morris,carlton-morris,C. Morris,F,185,1057,M,358222,EUR,819072000,F,9,9,False,15.0,10.0,,,6.0,9.0,4.0,6.0,2.0,,,,,90.0,23.0,5.9,8.0,3,9,1.0,3.0,2.0,,1.0,,,,,1.0,,,1.0,2.0,1.0,,1.0,,,,,,2.0,1.0,1.0,,True,1.0,1.0,,,,
12049873,home,Luton Town,Tahith Chong,tahith-chong,T. Chong,M,185,1636,M,825845,EUR,944265600,F,14,14,False,23.0,17.0,2.0,2.0,7.0,9.0,11.0,16.0,2.0,,,,,90.0,39.0,6.1,13.0,1,24,,4.0,2.0,1.0,1.0,,,1.0,,,,,1.0,3.0,,2.0,1.0,,,2.0,,,1.0,,,1.0,,,,,,,
