match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_progressiveBallCarriesCount,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_duelLost,stat_challengeLost,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_aerialLost,stat_totalContest,stat_wonContest,stat_outfielderBlock,player_sofascoreId,stat_interceptionWon,stat_bestBallCarryProgression,stat_totalProgressiveBallCarriesDistance,stat_totalCross,stat_accurateCross,stat_shotOffTarget,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_dispossessed,captain,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_errorLeadToAShot,stat_totalOffside,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_ownGoals,stat_bigChanceMissed
14083303,home,Villarreal,Luiz Júnior,Luiz Lúcio Reis Júnior,,luiz-junior,L. Júnior,G,1,192.0,2350,M,1066603,EUR,979430400,G,1,1,False,23.0,18.0,6.0,2.0,0.0,17.0,19.0,1.0,4.0,1.0,1.0,3.0,7.0,1.0,1.0,1.0,90.0,32.0,6.6,5.0,0.00029769,16.54775979949,3.0,14.015888756886,0.0,0.0287,0,-0.0469,0.0,0.01,-0.05,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083303,home,Villarreal,Santiago Mouriño,,,santiago-mourino,S. Mouriño,D,15,186.0,2593,M,1468046,EUR,1013558400,D,15,15,False,56.0,48.0,4.0,1.0,0.0,29.0,33.0,19.0,23.0,6.0,7.0,9.0,3.0,,,,73.0,78.0,7.5,9.0,0.00807524,96.691396623189,17.0,47.491356227868,0.0,,0,,0.21,0.06,0.35,,4.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083303,home,Villarreal,Pau Navarro,,,pau-navarro,P. Navarro,D,6,185.0,319,M,1525863,EUR,1114387200,D,6,6,False,71.0,66.0,2.0,,0.0,56.0,57.0,10.0,14.0,4.0,7.0,5.0,5.0,,,,90.0,84.0,6.8,7.0,0.00478653,144.81355001547,24.0,74.760708348913,0.0,,0,,0.06,0.09,-0.09,,5.0,1.0,2.0,,1.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
14083303,home,Villarreal,Renato Veiga,,,renato-veiga,R. Veiga,D,12,190.0,11718,M,1087359,EUR,1059436800,D,12,12,False,75.0,70.0,8.0,3.0,0.0,57.0,57.0,13.0,18.0,2.0,2.0,4.0,3.0,,,,90.0,87.0,6.9,5.0,0.00789095,178.20683520781,23.0,108.64318391527,1.0,,0,,0.18,0.11,-0.02,,1.0,,,,,,1.0,,,1.0,renatoveiga95,2.0,14.834150836963,21.162298929937,,,,,,,,,,,,,,,,,,,
14083303,home,Villarreal,Sergi Cardona,,,sergi-cardona,S. Cardona,D,23,186.0,1119,M,986245,EUR,932256000,D,23,23,False,22.0,21.0,,,0.0,9.0,9.0,12.0,13.0,1.0,5.0,2.0,1.0,2.0,,,90.0,40.0,6.7,8.0,0.0893297,105.41947282022,13.0,59.937457698507,0.0,,1,,0.1,0.08,-0.1,,3.0,,2.0,1.0,1.0,3.0,,,,,,1.0,,,6.0,1.0,1.0,0.0343,1.0,-0.21,,,,,,,,,,,,,
14083303,home,Villarreal,Tajon Buchanan,,,tajon-buchanan,T. Buchanan,M,17,183.0,7471,M,973290,EUR,918432000,M,17,17,False,13.0,12.0,,,1.0,6.0,7.0,6.0,6.0,,2.0,1.0,4.0,1.0,,,64.0,27.0,6.6,6.0,0.2029,196.45246896227,13.0,120.90159677044,5.0,,3,,0.2,0.3,-0.01,,6.0,1.0,,,,1.0,2.0,3.0,1.0,,,,36.136313285129,143.06971708446,3.0,,2.0,0.1685,2.0,-0.54,1.0,1.0,,,,,,,,,,,
14083303,home,Villarreal,Pape Gueye,,,pape-gueye,P. Gueye,M,18,187.0,36528,M,879694,EUR,917136000,M,18,18,False,28.0,22.0,4.0,2.0,0.0,18.0,18.0,4.0,10.0,1.0,6.0,2.0,3.0,3.0,,,90.0,45.0,6.4,10.0,0.00508809,62.460594093853,10.0,8.190703658876,0.0,,0,,-0.08,0.04,-0.08,,7.0,1.0,1.0,,2.0,4.0,,1.0,1.0,,p.gueye24,2.0,,,,,,,,,,,2.0,,,,,,,,,,
14083303,home,Villarreal,Dani Parejo,,,dani-parejo,D. Parejo,M,10,180.0,1999,M,39182,EUR,608688000,M,10,10,False,36.0,33.0,3.0,2.0,0.0,15.0,15.0,18.0,21.0,,1.0,2.0,3.0,,,,65.0,42.0,7.0,3.0,0.0231253,35.764163889925,6.0,4.4305927868712,0.0,,0,,0.18,0.01,0.19,,1.0,1.0,,,,1.0,,1.0,1.0,,,2.0,,,,,,,,,,,,True,,,,,,,,,
14083303,home,Villarreal,Alberto Moleiro,,,alberto-moleiro,A. Moleiro,M,20,172.0,3634,M,1012444,EUR,1064880000,M,20,20,False,17.0,16.0,,,1.0,3.0,3.0,13.0,14.0,,,,2.0,,,,80.0,22.0,8.1,2.0,0.0921233,109.4571992423,10.0,79.208831031693,4.0,,2,,0.25,0.19,-0.04,,1.0,1.0,,,1.0,1.0,,,,,,,25.123767620052,80.638351497093,,,,0.1247,1.0,0.49,1.0,1.0,,,1.0,1.0,0.5103,,,,,,
14083303,home,Villarreal,Nicolas Pépé,,,nicolas-pepe,N. Pépé,F,19,183.0,12582,M,593526,EUR,801705600,F,19,19,False,41.0,32.0,3.0,2.0,0.0,16.0,18.0,16.0,23.0,1.0,8.0,4.0,5.0,2.0,,,90.0,68.0,9.0,17.0,0.219453,179.86884666588,19.0,121.44827508818,2.0,,2,,0.53,0.36,0.32,,2.0,,1.0,1.0,2.0,,,5.0,4.0,,nicolas_pepe19,,22.983493035053,50.439345640781,4.0,,,0.1697,1.0,0.52,,1.0,1.0,,1.0,1.0,0.3601,,,,,,
