match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_ballRecovery,stat_errorLeadToAGoal,stat_unsuccessfulTouch,stat_penaltyConceded,stat_fouls,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelWon,stat_totalContest,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_wasFouled,player_firstName,player_lastName,captain,stat_aerialWon,stat_onTargetScoringAttempt,stat_totalOffside,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_aerialLost,stat_accurateCross,stat_challengeLost,stat_keyPass,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_dispossessed,stat_wonContest,player_sofascoreId,stat_goals,stat_bigChanceMissed,stat_shotOffTarget,stat_penaltyWon
12437560,home,Leganés,Marko Dmitrović,marko-dmitrovic,M. Dmitrović,G,13,194.0,1184,M,94527,EUR,696211200,G,13,13,False,33.0,11.0,26.0,4.0,0.0,8.0,9.0,3.0,24.0,1.0,8.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,90.0,42.0,5.8,23.0,0.00056251,0,-0.3677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437560,home,Leganés,Valentin Rosier,valentin-rosier,V. Rosier,D,19,175.0,797,M,842419,EUR,840412800,D,12,12,False,28.0,24.0,4.0,2.0,0.0,14.0,14.0,10.0,15.0,7.0,6.0,,3.0,,3.0,,,,,,,90.0,70.0,6.6,13.0,0.00677335,0,,1.0,8.0,4.0,6.0,1.0,3.0,7.0,6.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
12437560,home,Leganés,Sergio González,sergio-gonzalez,S. González,D,4,186.0,271,M,377234,EUR,703728000,D,6,6,False,32.0,27.0,8.0,5.0,0.0,17.0,17.0,10.0,15.0,,2.0,,1.0,,,,,,,,,85.0,45.0,7.2,6.0,0.00655763,1,,,2.0,,6.0,3.0,1.0,,,,,,,True,2.0,1.0,1.0,0.0425,0.2952,,,,,,,,,,,,,
12437560,home,Leganés,Matija Nastasić,matija-nastasic,M. Nastasić,D,15,188.0,481,M,98440,EUR,733276800,D,22,22,False,37.0,32.0,4.0,,0.0,26.0,26.0,6.0,11.0,1.0,1.0,,1.0,,,,,,,,,90.0,50.0,6.5,6.0,0.00266075,0,,,1.0,,8.0,2.0,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,
12437560,home,Leganés,Javier Hernández,javier-hernandez,J. Hernández,D,26,181.0,457,M,1031658,EUR,894067200,D,20,20,False,24.0,20.0,1.0,,0.0,10.0,11.0,11.0,16.0,4.0,5.0,,1.0,,1.0,,,,,,,90.0,42.0,6.4,7.0,0.0264719,1,,3.0,3.0,,2.0,,,2.0,,,1.0,,,,,1.0,1.0,0.0258,0.0511,1.0,1.0,2.0,2.0,,,,,,,,,
12437560,home,Leganés,Juan Cruz,juan-cruz,J. Cruz,M,10,179.0,541,M,936234,EUR,956620800,M,11,11,False,11.0,5.0,,,1.0,,,8.0,16.0,5.0,2.0,,3.0,,1.0,,,,,,,90.0,32.0,7.2,13.0,0.501484,1,,5.0,8.0,1.0,,,1.0,5.0,2.0,,1.0,,,,2.0,,1.0,0.0561,,1.0,3.0,2.0,2.0,1.0,1.0,,,,,,,
12437560,home,Leganés,Yvan Neyou,yvan-neyou,Y. Neyou,M,5,180.0,972,M,869931,EUR,852249600,M,17,17,False,27.0,25.0,4.0,3.0,0.0,14.0,14.0,11.0,13.0,6.0,2.0,,,,1.0,,,,,,,75.0,36.0,6.7,3.0,0.0110464,0,,,1.0,,1.0,2.0,1.0,1.0,,,,,,,,,,,,1.0,,3.0,2.0,,,1.0,,,,,,
12437560,home,Leganés,Renato Tapia,renato-tapia,R. Tapia,M,13,185.0,3151,M,352376,EUR,806889600,M,5,5,False,33.0,29.0,5.0,4.0,0.0,22.0,23.0,7.0,10.0,2.0,4.0,,2.0,,1.0,,,,,,,90.0,49.0,7.1,7.0,0.169457,1,,,7.0,2.0,1.0,1.0,,3.0,2.0,,1.0,,,,1.0,,,0.013,,,,1.0,,,1.0,1.0,2.0,,,,,
12437560,home,Leganés,Seydouba Cisse,seydouba-cisse,S. Cisse,M,8,172.0,3843,M,906065,EUR,981763200,M,8,8,False,26.0,21.0,3.0,1.0,0.0,15.0,16.0,6.0,10.0,5.0,5.0,,1.0,,2.0,,,,,,,85.0,36.0,6.3,9.0,0.0117611,0,,,2.0,,1.0,,1.0,,,,,,,,2.0,,,,,1.0,,1.0,,,,1.0,,seydoubacisse32,,,,
12437560,home,Leganés,Darko Brašanac,darko-brasanac,D. Brašanac,M,5,178.0,208,M,94539,EUR,697852800,M,14,14,False,20.0,11.0,,,0.0,3.0,7.0,8.0,13.0,5.0,2.0,,1.0,,3.0,,,,,,,85.0,26.0,6.2,10.0,0.00715737,1,,,1.0,,,,,,,,,,,,1.0,,1.0,0.0339,,2.0,,,1.0,,1.0,,,,,,,
