match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_challengeLost,stat_outfielderBlock,stat_interceptionWon,captain,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_dispossessed,stat_shotOffTarget,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_goals,stat_errorLeadToAShot,stat_goalAssist,stat_totalOffside
11401920,home,Go Ahead Eagles,Jeffrey de Lange,jeffrey-de-lange,J. de Lange,G,12,188,623,M,803034,EUR,891388800,G,1,1,False,31.0,25.0,8.0,2.0,23.0,28.0,2.0,3.0,1.0,1.0,12.0,1.0,2.0,2.0,90.0,43.0,6.5,6.0,0.00148283,0,0.4339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11401920,home,Go Ahead Eagles,Mats Deijl,mats-deijl,M. Deijl,D,20,180,337,M,794013,EUR,868924800,D,2,2,False,59.0,48.0,6.0,1.0,24.0,25.0,25.0,36.0,2.0,9.0,5.0,,,,90.0,79.0,6.8,14.0,0.122703,0,,,,2.0,1.0,1.0,3.0,3.0,2.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,,,,,,,,,,,,,,,
11401920,home,Go Ahead Eagles,Jamal Amofa,jamal-amofa,J. Amofa,D,6,185,110,M,1049653,EUR,911952000,D,25,25,False,38.0,35.0,5.0,2.0,17.0,18.0,18.0,20.0,,2.0,4.0,,,,45.0,43.0,6.5,3.0,0.0247835,0,,Jamal Amofa,,,,,1.0,,,,2.0,2.0,1.0,,,2.0,,,,,,,,,,,,,,,,
11401920,home,Go Ahead Eagles,Joris Kramer,joris-kramer,J. Kramer,D,4,190,140,M,793742,EUR,838944000,D,4,4,False,95.0,77.0,1.0,,47.0,56.0,30.0,39.0,7.0,10.0,14.0,,,,90.0,109.0,7.0,18.0,0.0182809,0,,,,,,6.0,8.0,2.0,2.0,,3.0,1.0,1.0,,,,,2.0,2.0,1.0,,,,,,,,,,,,
11401920,home,Go Ahead Eagles,Bas Kuipers,bas-kuipers,B. Kuipers,D,25,180,146,M,339879,EUR,777081600,D,5,5,False,50.0,34.0,6.0,1.0,15.0,17.0,20.0,43.0,1.0,9.0,7.0,,,,90.0,90.0,7.7,32.0,0.139646,1,,,,10.0,1.0,1.0,6.0,5.0,4.0,,1.0,2.0,2.0,1.0,2.0,4.0,2.0,,2.0,3.0,True,1.0,0.0588,0.3729,,,,,,,,
11401920,home,Go Ahead Eagles,Philippe Rommens,philippe-rommens,P. Rommens,M,88,175,233,M,606190,EUR,872035200,M,10,10,False,85.0,79.0,6.0,6.0,36.0,36.0,46.0,59.0,,4.0,8.0,,,,90.0,105.0,7.9,13.0,0.542984,1,,,,10.0,3.0,1.0,1.0,2.0,2.0,,1.0,2.0,1.0,,,,2.0,,,3.0,,1.0,0.0183,0.0562,,,,,,,,
11401920,home,Go Ahead Eagles,Willum Thor Willumsson,willum-thor-willumsson,W. T. Willumsson,M,19,193,297,M,978823,EUR,909100800,M,18,18,False,43.0,33.0,2.0,1.0,14.0,14.0,19.0,30.0,1.0,2.0,8.0,,,,90.0,61.0,6.8,16.0,0.0304382,2,,,,1.0,,1.0,4.0,2.0,,,1.0,1.0,1.0,2.0,,,1.0,,,,,1.0,0.2982,0.3728,1.0,1.0,,,,,,
11401920,home,Go Ahead Eagles,Evert Linthorst,evert-linthorst,E. Linthorst,M,8,187,123,M,932555,EUR,952041600,M,8,8,False,36.0,31.0,5.0,4.0,7.0,7.0,24.0,30.0,,1.0,2.0,,,,45.0,43.0,6.8,6.0,0.15657,0,,,,1.0,,1.0,2.0,,,,1.0,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,
11401920,home,Go Ahead Eagles,Jakob Breum,jakob-breum,J. Breum,M,7,173,868,M,1029724,EUR,1069027200,F,29,29,False,26.0,22.0,2.0,2.0,7.0,7.0,15.0,19.0,1.0,7.0,1.0,,,,69.0,40.0,7.1,6.0,0.0396455,0,,,,,,,3.0,3.0,2.0,,,1.0,1.0,1.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,
11401920,home,Go Ahead Eagles,Sylla Sow,sylla-sow,S. Sow,F,88,182,143,M,845995,EUR,839462400,F,9,9,False,9.0,8.0,,,4.0,4.0,4.0,5.0,1.0,1.0,,,,,90.0,25.0,6.2,8.0,0.0172887,4,,,,,,5.0,5.0,,,,1.0,,,7.0,,,,,,,,3.0,0.6877,0.4659,,1.0,2.0,,,,,
