match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_dispossessed,stat_interceptionWon,stat_wonTackle,stat_aerialWon,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_challengeLost,stat_shotOffTarget,stat_bigChanceCreated,stat_goals,stat_blockedScoringAttempt,captain,stat_hitWoodwork,stat_penaltyMiss,stat_errorLeadToAGoal,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_penaltyConceded,stat_totalOffside
14573028,home,Lech Poznań,Bartosz Mrozek,bartosz-mrozek,B. Mrozek,G,41,191,721,M,886909,EUR,951264000,G,41,41,False,32.0,25.0,10.0,4.0,0.0,25.0,27.0,5.0,1.0,8.0,1.0,1.0,1.0,1.0,90.0,40.0,6.5,7.0,7.652e-05,-0.0003,0,-0.5821,0.03,0.04,-0.08,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14573028,home,Lech Poznań,Joel Pereira,joel-pereira,J. Pereira,D,2,178,348,M,809489,EUR,843868800,D,2,2,False,52.0,40.0,10.0,7.0,0.0,23.0,27.0,34.0,1.0,4.0,,,,,90.0,84.0,7.0,24.0,0.0965495,,0,,0.42,0.08,-0.22,,,,18.0,9.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
14573028,home,Lech Poznań,Alex Douglas,alex-douglas,A. Douglas,D,3,190,262,M,909618,EUR,998006400,D,3,3,False,43.0,38.0,3.0,,0.0,28.0,31.0,12.0,6.0,4.0,,,,,90.0,56.0,6.5,6.0,0.00255868,,0,,0.04,0.1,-0.08,,,,10.0,,,1.0,2.0,2.0,1.0,1.0,1.0,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
14573028,home,Lech Poznań,Antonio Milić,antonio-milic,A. Milić,D,16,190,335,M,110942,EUR,763257600,D,16,16,False,37.0,33.0,7.0,4.0,0.0,25.0,27.0,10.0,8.0,6.0,,,,,68.0,48.0,7.1,4.0,0.00304561,,1,,0.12,0.06,0.31,,,,8.0,,,,,3.0,,,,,,,,,,,3.0,1.0,1.0,2.0,0.0628,0.0932,0.06,,,,,,,,,,,,,,,
14573028,home,Lech Poznań,Michal Gurgul,gurgul-michal,M. Gurgul,D,15,181,698,M,1423459,EUR,1138579200,D,15,15,False,49.0,38.0,7.0,4.0,0.0,25.0,30.0,21.0,3.0,3.0,,,,,90.0,69.0,7.0,16.0,0.0371815,,0,,0.33,0.1,-0.07,,,,14.0,2.0,1.0,,1.0,2.0,,,,1.0,2.0,,2.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,
14573028,home,Lech Poznań,Timothy Ouma,ouma-timothy,T. Ouma,M,6,183,654,M,1159176,EUR,1086825600,M,6,6,False,41.0,32.0,2.0,,0.0,18.0,21.0,20.0,1.0,10.0,,,,,90.0,56.0,6.4,11.0,0.0128273,,0,,0.13,0.15,-0.23,,Timothy,Ouma,14.0,,,1.0,8.0,4.0,1.0,1.0,2.0,2.0,1.0,3.0,,,4.0,2.0,,,,,,,,4.0,,,,,,,,,,,,,,
14573028,home,Lech Poznań,Filip Jagiełło,filip-jagiello,F. Jagiełło,M,24,182,484,M,335887,EUR,870998400,M,24,24,False,44.0,37.0,5.0,4.0,0.0,13.0,17.0,27.0,1.0,6.0,,,,,68.0,60.0,6.8,13.0,0.0430721,,2,,0.22,0.11,0.16,,,,24.0,,,,4.0,3.0,1.0,,,2.0,2.0,,,3.0,,,1.0,,1.0,2.0,0.0403,0.1972,-0.21,,1.0,,,,,,,,,,,,,
14573028,home,Lech Poznań,Taofeek Ismaheel,ismaheel-taofeek,T. Ismaheel,M,88,175,237,M,985403,EUR,963619200,M,88,88,False,31.0,24.0,,,1.0,6.0,8.0,23.0,,4.0,,,,,81.0,42.0,8.6,12.0,0.190744,,2,,0.43,0.44,-0.03,,,,18.0,,,,2.0,4.0,,,,3.0,1.0,1.0,3.0,1.0,1.0,,3.0,,1.0,,0.1846,0.3171,0.5,,1.0,1.0,1.0,,,,,,,,,,,
14573028,home,Lech Poznań,Luis Palma,luis-palma,L. Palma,M,77,179,4123,M,905421,EUR,948067200,M,77,77,False,38.0,27.0,5.0,2.0,1.0,6.0,11.0,27.0,,2.0,,,,,90.0,54.0,8.2,16.0,0.15971,,3,,0.04,0.38,-0.02,,,,21.0,,,,5.0,6.0,,,1.0,1.0,5.0,1.0,2.0,4.0,,1.0,,,2.0,,0.1973,0.617,0.49,,,1.0,1.0,1.0,,,,,,,,,,
14573028,home,Lech Poznań,Kornel Lisman,kornel-lisman,K. Lisman,M,56,186,218,M,1513549,EUR,1140393600,M,56,56,False,15.0,14.0,,,0.0,1.0,1.0,15.0,,3.0,,,,,76.0,29.0,7.0,10.0,0.142921,,0,,0.32,0.22,-0.1,,Kornel Lisman,,13.0,1.0,,,3.0,5.0,3.0,2.0,,6.0,1.0,,2.0,1.0,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,
