match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,playerName,reason,rescinded,id,isHome,incidentClass,player_id,player_name,length,injury,confirmed,description
11407521,FT,1.0,0.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,,
11407521,,,,,90,6.0,,1,,,card,Jonathan Ikoné,Argument,False,121077382.0,False,yellow,802142.0,Jonathan Ikoné,,,,
11407521,,,,,90,0.0,,1,,,injuryTime,,,,,,,,,7.0,,,
11407521,,,,,85,,,6,,,substitution,,,,122307777.0,True,regular,,,,False,,
11407521,,,,,85,,,6,,,substitution,,,,122307776.0,True,injury,,,,True,,
11407521,,,,,80,,,11,,,substitution,,,,122307773.0,True,injury,,,,True,,
11407521,,,,,80,,,11,,,substitution,,,,122307774.0,False,regular,,,,False,,
11407521,,,,,76,,,15,,,substitution,,,,122307770.0,True,regular,,,,False,,
11407521,,,,,74,,,17,,,substitution,,,,122307765.0,False,regular,,,,False,,
11407521,,,,,69,,,22,,,card,Domenico Berardi,Foul,False,121077353.0,True,yellow,253367.0,Domenico Berardi,,,,
11407521,,,,,67,,,24,,,varDecision,,,,22693.0,False,goalAwarded,795297.0,Lucas Martínez Quarta,,,False,
11407521,,,,,64,,,27,,,inGamePenalty,,goalkeeperSave,,118447003.0,False,missed,36784.0,Giacomo Bonaventura,,,,Goalkeeper save
11407521,,,,,52,,,39,,,substitution,,,,122307664.0,False,regular,,,,False,,
11407521,,,,,52,,,39,,,substitution,,,,122307663.0,False,regular,,,,False,,
11407521,,,,,52,,,39,,,card,Andrea Pinamonti,Argument,False,121077339.0,True,yellow,826198.0,Andrea Pinamonti,,,,
11407521,,,,,50,,,41,,,varDecision,,,,22692.0,True,goalAwarded,924973.0,Kristian Thorstvedt,,,False,
11407521,HT,1.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,,
11407521,,,,,45,0.0,,1,,,injuryTime,,,,,,,,,1.0,,,
11407521,,,,,35,,,11,,,card,Lucas Martínez Quarta,Foul,False,121077297.0,False,yellow,795297.0,Lucas Martínez Quarta,,,,
11407521,,,,,34,,,12,,,card,Matheus Henrique,Off the ball foul,False,121077296.0,True,yellow,912786.0,Matheus Henrique,,,,
11407521,,1.0,0.0,,9,,,37,,,goal,,,,176793790.0,True,regular,826198.0,Andrea Pinamonti,,,,
