match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_challengeLost,stat_totalContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_aerialLost,stat_shotOffTarget,stat_dispossessed,stat_wonContest,stat_goals,stat_outfielderBlock,stat_totalOffside,stat_wasFouled,stat_keyPass,stat_goalAssist,stat_accurateCross,player_firstName,player_lastName,stat_bigChanceMissed,stat_bigChanceCreated,stat_goodHighClaim
11396353,home,FC Bayern München,Manuel Neuer,manuel-neuer,M. Neuer,G,1,193,36498,M,MNeuer,8959,EUR,512265600,G,1,1,False,True,41.0,29.0,19.0,7.0,27.0,29.0,2.0,12.0,1.0,1.0,1.0,8.0,1.0,2.0,1.0,1.0,1.0,90.0,49.0,7.4,12.0,0.00169727,0,0.1548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396353,home,FC Bayern München,Konrad Laimer,konrad-laimer,K. Laimer,D,27,180,7452,M,KonradLaimer,355492,EUR,864691200,D,27,27,False,,26.0,23.0,,,14.0,17.0,9.0,12.0,2.0,9.0,1.0,4.0,,,,,,90.0,63.0,7.3,12.0,0.0166704,2,,3.0,6.0,1.0,2.0,1.0,1.0,1.0,7.0,4.0,1.0,3.0,0.0921,0.0685,,,,,,,,,,,,,,,,
11396353,home,FC Bayern München,Dayot Upamecano,dayot-upamecano,D. Upamecano,D,2,185,14152,M,Upamecano,798583,EUR,909446400,D,2,2,False,,35.0,29.0,4.0,,24.0,28.0,5.0,7.0,2.0,3.0,2.0,4.0,,,,,,90.0,43.0,6.7,8.0,0.00141574,1,,,3.0,,1.0,,,,1.0,,,1.0,0.0377,,1.0,1.0,,,,,,,,,,,,,,
11396353,home,FC Bayern München,Min-jae Kim,min-jae-kim,M. Kim,D,3,190,15013,M,kiminjae3,896569,EUR,848016000,D,3,3,False,,42.0,39.0,1.0,1.0,32.0,34.0,7.0,8.0,1.0,3.0,6.0,6.0,,,,,,90.0,61.0,8.3,5.0,0.00410184,1,,,2.0,,1.0,1.0,,6.0,1.0,1.0,,,0.0944,0.0629,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
11396353,home,FC Bayern München,Alphonso Davies,alphonso-davies,A. Davies,D,19,185,29613,M,ADavies19,843665,EUR,973123200,D,19,19,False,,36.0,33.0,,,19.0,21.0,14.0,17.0,1.0,12.0,1.0,8.0,,,,,,89.0,66.0,8.2,9.0,0.0511455,0,,2.0,4.0,1.0,7.0,,,2.0,4.0,4.0,1.0,,,,,,1.0,5.0,,,,2.0,3.0,,,,,,,
11396353,home,FC Bayern München,Aleksandar Pavlović,aleksandar-pavlovic,A. Pavlović,M,45,186,10825,M,alekspavlovic_,1142251,EUR,1083542400,M,45,45,False,,50.0,43.0,3.0,2.0,18.0,20.0,27.0,38.0,1.0,5.0,1.0,6.0,,,,,,90.0,69.0,7.7,16.0,0.339558,0,,8.0,5.0,2.0,1.0,,,,4.0,3.0,1.0,1.0,,,1.0,,,,,,,,2.0,1.0,2.0,,,,,
11396353,home,FC Bayern München,Raphaël Guerreiro,raphael-guerreiro,R. Guerreiro,D,22,170,7880,M,raphaelguerreiro14,246999,EUR,756518400,M,22,22,False,,51.0,45.0,3.0,1.0,28.0,30.0,17.0,22.0,,5.0,,2.0,,,,,,90.0,65.0,7.1,9.0,0.0528693,1,,1.0,2.0,1.0,2.0,,1.0,2.0,4.0,4.0,1.0,,0.022,,,,,1.0,,,,,,,,,,,,
11396353,home,FC Bayern München,Jamal Musiala,jamal-musiala,J. Musiala,M,10,184,116690,M,Bambi,1010231,EUR,1046217600,M,42,42,False,,37.0,27.0,1.0,,12.0,13.0,15.0,24.0,1.0,11.0,,8.0,,,,,,83.0,63.0,7.1,17.0,0.172671,2,,,7.0,1.0,3.0,,1.0,1.0,7.0,5.0,1.0,,0.3435,,,1.0,5.0,2.0,,,,1.0,2.0,,,,,1.0,,
11396353,home,FC Bayern München,Thomas Müller,thomas-muller,T. Müller,F,13,186,37471,M,esmuellert,35166,EUR,621648000,M,25,25,False,,20.0,17.0,,,1.0,1.0,16.0,19.0,1.0,4.0,,2.0,,,,,,83.0,31.0,7.7,7.0,0.58142,0,,,5.0,2.0,1.0,,,,2.0,1.0,,2.0,,,1.0,,2.0,1.0,,,2.0,,5.0,,,,,,2.0,
11396353,home,FC Bayern München,Leroy Sané,leroy-sane,L. Sané,M,10,184,41295,M,LeroySane,293519,EUR,821318400,M,10,10,False,,36.0,35.0,,,18.0,18.0,17.0,18.0,,8.0,,2.0,,,,,,90.0,59.0,7.6,8.0,0.57982,5,,,6.0,1.0,6.0,2.0,2.0,,,,2.0,,0.5475,0.3527,,1.0,4.0,5.0,,,,3.0,2.0,1.0,,,,1.0,1.0,
11396353,home,FC Bayern München,Harry Kane,harry-kane,H. Kane,F,9,188,299741,M,HurriKane,108579,EUR,743817600,F,9,9,False,,22.0,13.0,6.0,1.0,2.0,4.0,11.0,18.0,1.0,2.0,1.0,3.0,,,,,,90.0,36.0,8.2,11.0,0.0672445,5,,,3.0,1.0,,4.0,1.0,,,,,,1.7343,1.9657,1.0,,1.0,,2.0,,,1.0,,,,,,1.0,,
11396353,home,FC Bayern München,Mathys Tel,mathys-tel,M. Tel,F,11,183,11316,M,m.tel14,1048888,EUR,1114560000,F,39,39,True,,2.0,2.0,,,,,2.0,2.0,,,,1.0,,,,,,10.0,4.0,6.3,2.0,0.0009921,0,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,
