match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_topSpeed,stat_kilometersCovered,stat_numberOfSprints,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_metersCoveredWalkingKm,stat_metersCoveredJoggingKm,stat_metersCoveredRunningKm,stat_metersCoveredHighSpeedRunningKm,stat_metersCoveredSprintingKm,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,stat_aerialWon,stat_interceptionWon,player_sofascoreId,stat_aerialLost,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_expectedGoals,stat_shotValueNormalized,stat_unsuccessfulTouch,stat_expectedGoalsOnTarget,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,captain,stat_totalOffside,stat_bigChanceCreated,stat_goals,stat_errorLeadToAGoal
14566783,home,Villarreal,Arnau Tenas,,,arnau-tenas,A. Tenas,G,25,185.0,5082,M,908714,EUR,991180800,G,25.0,25,False,36.0,30.0,16.0,10.0,0.0,24.0,25.0,6.0,11.0,8.0,1.0,3.0,1.0,1.0,90.0,42.0,6.9,6.0,0.00430527,22.86,5.19069,0.0,28.595925017343,5.0,10.71,5.355,0.1008,0.0,-0.6359,0.11,-0.01,-0.08,0.12,3.67,1.4,0.09,0.02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14566783,home,Villarreal,Santiago Mouriño,,,santiago-mourino,S. Mouriño,D,15,186.0,2618,M,1468046,EUR,1013558400,D,15.0,15,False,41.0,31.0,5.0,1.0,0.0,19.0,21.0,12.0,20.0,5.0,,,,,90.0,65.0,6.4,10.0,0.00634506,31.428,10.62027,11.0,119.75640937971,10.0,87.045,38.325,,0.0,,0.02,0.07,-0.52,,3.05,5.2,1.58,0.6,0.19,7.0,9.0,5.0,5.0,7.0,5.0,2.0,2.0,63.961216530955,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
14566783,home,Villarreal,Rafa Marín,,,rafa-marin,R. Marín,D,4,190.0,2323,M,984623,EUR,1021766400,D,4.0,4,False,52.0,48.0,4.0,2.0,1.0,39.0,41.0,9.0,11.0,5.0,,,,,90.0,67.0,6.7,5.0,0.012124,31.356,10.71302,5.0,86.885581957356,14.0,35.49,11.13,,0.0,,0.08,0.03,-0.18,,2.79,5.81,1.7,0.29,0.13,2.0,3.0,,7.0,1.0,1.0,,2.0,,,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,
14566783,home,Villarreal,Renato Veiga,,,renato-veiga,R. Veiga,D,12,190.0,11674,M,1087359,EUR,1059436800,D,12.0,12,False,53.0,49.0,5.0,3.0,0.0,42.0,44.0,7.0,9.0,2.0,,,,,90.0,67.0,6.3,4.0,0.00431279,30.24,10.97102,6.0,88.284508983139,11.0,8.295,10.815,,3.0,,0.05,0.03,-0.12,,2.85,5.91,1.69,0.4,0.12,4.0,3.0,1.0,5.0,1.0,,,2.0,,,,2.0,,renatoveiga95,1.0,1.0,2.0,1.0,3.0,0.3217,-0.6,,,,,,,,,,,,,
14566783,home,Villarreal,Sergi Cardona,,,sergi-cardona,S. Cardona,D,23,186.0,1112,M,986245,EUR,932256000,D,23.0,23,False,37.0,35.0,3.0,3.0,0.0,22.0,24.0,13.0,13.0,2.0,,,,,90.0,54.0,6.4,4.0,0.0137665,30.348,11.79518,12.0,49.334683201058,8.0,14.49,7.875,,2.0,,0.06,0.03,-0.32,,2.87,5.77,1.98,0.93,0.24,2.0,3.0,1.0,4.0,1.0,1.0,2.0,,,,,,,,1.0,,,2.0,,0.1346,-0.16,1.0,0.762,,,,,,,,,,,
14566783,home,Villarreal,Nicolas Pépé,,,nicolas-pepe,N. Pépé,F,19,183.0,12626,M,593526,EUR,801705600,M,19.0,19,False,19.0,13.0,,,0.0,5.0,6.0,8.0,13.0,7.0,,,,,72.0,42.0,7.4,14.0,0.167947,31.896,8.07765,13.0,324.57750870851,17.0,148.575,58.17,,6.0,,0.15,0.93,-0.02,,2.53,3.64,1.04,0.54,0.33,3.0,7.0,,,2.0,2.0,3.0,,186.00877955756,8.0,3.0,,,nicolas_pepe19,,1.0,1.0,3.0,,0.5397,-0.69,2.0,0.6386,5.0,2.0,3.0,2.0,2.0,2.0,,,,,
14566783,home,Villarreal,Santi Comesaña,,,santi-comesana,S. Comesaña,M,14,187.0,1063,M,843678,EUR,844473600,M,14.0,14,False,44.0,37.0,1.0,,0.0,21.0,22.0,16.0,22.0,2.0,,,,,90.0,54.0,6.6,9.0,0.0260744,31.176,12.74009,14.0,73.573314442493,10.0,27.825,8.4,,0.0,,0.07,0.13,-0.1,,2.76,6.11,2.67,0.92,0.27,4.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,12.660683867785,1.0,1.0,1.0,1.0,,,,,,1.0,,,1.0,,,,1.0,,,,True,1.0,,,
14566783,home,Villarreal,Thomas Partey,,,thomas-partey,T. Partey,M,16,185.0,42257,M,316148,EUR,739929600,M,16.0,16,False,29.0,25.0,3.0,1.0,0.0,15.0,16.0,10.0,13.0,,,,,,74.0,34.0,6.5,4.0,0.0126395,26.172,9.26311,1.0,53.877011259281,8.0,16.59,8.19,,1.0,,0.0,0.04,-0.01,,2.08,5.25,1.57,0.36,0.01,1.0,1.0,,,1.0,1.0,,1.0,,,,,1.0,TPartey5,,,,1.0,1.0,0.0311,0.01,,0.1198,,,,,,,,,,,
14566783,home,Villarreal,Alberto Moleiro,,,alberto-moleiro,A. Moleiro,M,20,172.0,3697,M,1012444,EUR,1064880000,M,20.0,20,False,18.0,17.0,1.0,1.0,0.0,6.0,6.0,11.0,12.0,4.0,,,,,45.0,25.0,6.9,4.0,0.0128529,30.06,6.25063,10.0,34.203956450263,6.0,25.62,14.91,,1.0,,0.17,0.19,-0.04,,1.35,3.01,1.14,0.53,0.23,2.0,2.0,1.0,,,,,,14.936182778742,1.0,2.0,,,,,,1.0,,,0.0758,-0.11,1.0,,1.0,,,3.0,2.0,,,,,,
14566783,home,Villarreal,Ayoze Pérez,,,ayoze-perez,A. Pérez,F,22,180.0,3792,M,345195,EUR,743385600,F,22.0,22,False,15.0,11.0,1.0,,0.0,3.0,4.0,8.0,11.0,1.0,,,,,72.0,25.0,6.9,8.0,0.297835,32.112,8.17778,13.0,54.012115696712,7.0,42.63,9.66,,1.0,,0.4,0.11,-0.06,,2.29,3.89,1.14,0.58,0.28,4.0,3.0,1.0,,,,2.0,1.0,,,4.0,,,,,,1.0,,,0.0666,-0.28,,,3.0,1.0,,3.0,1.0,,,,2.0,,
14566783,home,Villarreal,Tani Oluwaseyi,Tani Oluwaseyi,,oluwaseyi-tani,T. Oluwaseyi,F,21,188.0,2600,M,1172477,EUR,958348800,F,21.0,21,False,9.0,5.0,,,0.0,1.0,2.0,4.0,7.0,,,,,,90.0,15.0,7.4,8.0,0.00312901,32.904,10.486,21.0,83.157483369765,6.0,66.045,39.585,,2.0,,-0.08,0.32,-0.05,,3.27,4.59,1.46,0.71,0.46,6.0,1.0,1.0,,,,,1.0,62.131460301189,2.0,,1.0,,,2.0,,1.0,1.0,,0.0709,0.51,2.0,0.1476,,,1.0,1.0,,,,1.0,,1.0,
14566783,home,Villarreal,Tajon Buchanan,,,tajon-buchanan,T. Buchanan,M,17,183.0,7493,M,973290,EUR,918432000,F,17.0,17,True,16.0,15.0,1.0,1.0,0.0,8.0,9.0,7.0,7.0,5.0,,,,,45.0,27.0,7.0,3.0,0.0171029,32.364,5.82068,9.0,136.11797132932,9.0,87.885,24.465,,2.0,,-0.04,0.35,0.14,,1.66,2.64,0.84,0.48,0.2,2.0,4.0,,,1.0,,,,50.06601664996,2.0,1.0,,1.0,,1.0,,1.0,,,0.045,-0.42,,,2.0,1.0,,4.0,3.0,1.0,,,,,
