match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,player_jerseyNumber,player_sofascoreId,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialLost,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_goalAssist,stat_bigChanceCreated,stat_bigChanceMissed,stat_interceptionWon,stat_blockedScoringAttempt,stat_challengeLost,stat_wasFouled,stat_totalOffside,stat_penaltyWon,stat_penaltyMiss,stat_penaltySave,stat_penaltyFaced,stat_outfielderBlock,stat_penaltyConceded
10665975,home,Al-Hilal,Abdullah Al-Mayouf,abdullah-al-mayouf,A. Al-Mayouf,G,187.0,197,M,118159,EUR,538358400.0,G,1,1,False,True,11.0,10.0,5.0,4.0,7.0,8.0,3.0,3.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,1.0,90.0,19.0,6.6,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10665975,home,Al-Hilal,Saud Abdulhamid,abdulhamid-saud,S. Abdulhamid,D,178.0,8457,M,966849,EUR,932256000.0,D,66,66,False,,59.0,56.0,1.0,1.0,14.0,14.0,44.0,55.0,1.0,8.0,,,,,,,90.0,89.0,6.7,17.0,0,,,23,s.abdulhamed66,10.0,2.0,2.0,5.0,4.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,
10665975,home,Al-Hilal,Hyun Soo Jang,hyun-soo-jang,H. S. Jang,D,187.0,185,M,160875,EUR,686016000.0,D,20,20,False,,69.0,65.0,6.0,6.0,25.0,26.0,40.0,44.0,1.0,9.0,,,,,,,90.0,75.0,7.5,6.0,2,,,20,,1.0,,2.0,4.0,3.0,,,,1.0,,,2.0,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,
10665975,home,Al-Hilal,Mohammed Jahfali,mohammed-jahfali,M. Jahfali,D,185.0,103,M,791561,EUR,656726400.0,D,70,70,False,,77.0,74.0,5.0,4.0,20.0,21.0,54.0,56.0,,7.0,,,,,,,90.0,80.0,7.0,3.0,1,,,70,,,,,4.0,,,,,,,,2.0,1.0,2.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,
10665975,home,Al-Hilal,Nasser Al-Dawsari,nasser-al-dawsari,N. Al-Dawsari,M,178.0,1153,M,872607,EUR,914025600.0,D,16,16,False,,79.0,73.0,4.0,3.0,11.0,11.0,65.0,79.0,,4.0,,,,,,,89.0,106.0,7.1,18.0,1,,,16,,11.0,3.0,,,,,,,,,4.0,,4.0,,,,,,,,,1.0,,,,,,,,,
10665975,home,Al-Hilal,André Carrillo,andre-carrillo,A. Carrillo,M,180.0,14534,M,115182,EUR,676857600.0,M,19,19,False,,82.0,71.0,8.0,6.0,6.0,6.0,68.0,89.0,,5.0,,,,,,,90.0,112.0,8.5,25.0,4,,,19,18andrecarrillo,13.0,3.0,,5.0,7.0,1.0,8.0,5.0,2.0,2.0,,1.0,2.0,,2.0,2.0,1.0,1.0,,1.0,,,,,,,,,,,
10665975,home,Al-Hilal,Gustavo Cuéllar,gustavo-cuellar,G. Cuéllar,M,175.0,1944,M,180059,EUR,719020800.0,M,6,6,False,,108.0,104.0,2.0,2.0,13.0,13.0,91.0,95.0,,15.0,,,,,,,89.0,120.0,7.4,5.0,1,,,6,,,,,1.0,5.0,,1.0,1.0,3.0,3.0,1.0,,1.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,
10665975,home,Al-Hilal,Matheus Pereira,matheus-pereira,M. Pereira,M,175.0,14140,M,377238,EUR,831254400.0,M,15,15,False,,50.0,37.0,2.0,1.0,5.0,5.0,36.0,53.0,,2.0,,,,,,,68.0,74.0,7.8,21.0,4,,,10,matheus_pereira,8.0,4.0,,4.0,5.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,,1.0,1.0,,,1.0,,,2.0,1.0,3.0,1.0,,,,,,
10665975,home,Al-Hilal,Mohamed Kanno,mohamed-kanno,M. Kanno,M,191.0,1575,M,828524,EUR,780192000.0,M,28,28,False,,111.0,100.0,4.0,4.0,13.0,14.0,87.0,97.0,,5.0,,,,,,,90.0,125.0,7.7,14.0,5,,,28,,,,4.0,4.0,8.0,,3.0,1.0,,,1.0,1.0,,,2.0,2.0,,,,,1.0,1.0,1.0,3.0,,1.0,,,,,
10665975,home,Al-Hilal,Moussa Marega,moussa-marega,M. Marega,F,183.0,1093,M,298300,EUR,671587200.0,F,17,17,False,,16.0,10.0,,,1.0,1.0,9.0,15.0,,2.0,,,,,,,68.0,20.0,6.7,8.0,1,,,7,,,,,5.0,,1.0,,,,,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,
